GPU_ID,CUDA_Cores,Base_Clock_MHz,Boost_Clock_MHz,Memory_Type,Memory_Bandwidth_GBps,RT_Cores,Tensor_Cores
119,7680,1426,1815,HBM2,898.6,62,248
120,1408,1893,2368,GDDR6,647.1,102,408
121,4608,1027,1250,GDDR5X,473.4,118,472
122,1024,1762,2077,HBM2,230.2,0,0
123,16384,2214,2380,GDDR6X,235.0,66,264
124,2048,1464,1887,GDDR6X,923.2,0,0
125,10752,1791,2277,GDDR5X,841.0,0,0
126,10752,2277,2491,GDDR5X,418.2,85,340
127,7680,1080,1380,GDDR5X,508.9,0,0
128,1408,1206,1420,GDDR6X,756.9,0,0
129,1408,1823,2213,HBM2,538.6,0,0
130,16384,1686,1830,GDDR6X,677.4,0,0
131,2048,1856,2030,GDDR5,618.8,0,0
132,8704,1065,1319,GDDR6,402.9,22,88
133,16384,2103,2336,GDDR5,481.8,63,252
134,8704,1055,1235,GDDR5X,908.6,0,0
135,2048,1429,1873,GDDR5,892.6,62,248
136,7680,1509,1683,GDDR6X,493.9,122,488
137,1408,1818,2046,GDDR5,462.3,57,228
138,384,2090,2554,HBM2,998.5,0,0
139,384,1214,1557,GDDR6X,227.8,28,112
140,8704,2423,2671,GDDR5,659.1,0,0
141,384,2104,2403,GDDR6X,930.8,0,0
142,3584,2041,2540,GDDR5X,298.1,29,116
143,1024,1825,2041,GDDR6,881.1,111,444
144,8704,1039,1360,GDDR6,573.9,0,0
145,8704,1789,2196,HBM2,259.0,60,240
146,1408,2152,2303,HBM2,928.6,0,0
147,2048,1519,1995,GDDR6,876.7,52,208
148,1408,1888,2220,GDDR5X,727.0,112,448
149,16384,1397,1581,HBM2,533.3,0,0
150,7680,1446,1575,GDDR5,326.5,0,0
151,4608,2101,2545,GDDR6X,304.6,0,0
152,1408,1145,1361,GDDR6X,891.3,73,292
153,1408,1747,2052,GDDR6X,903.3,83,332
154,384,1076,1373,GDDR6X,428.6,21,84
155,7680,1077,1401,GDDR6,642.6,0,0
156,16384,2021,2168,GDDR5,515.1,0,0
157,384,1068,1222,GDDR6,843.2,0,0
158,16384,1478,1735,HBM2,791.5,0,0
159,8704,2224,2471,GDDR5,983.9,0,0
160,16384,1866,2254,HBM2,584.4,87,348
161,384,1662,1929,GDDR6X,752.4,0,0
162,4608,2497,2788,GDDR6X,451.0,0,0
163,3584,1915,2091,GDDR5X,423.2,0,0
164,4608,1720,2044,GDDR6,430.2,0,0
165,3584,2433,2564,GDDR6X,724.8,0,0
166,1024,1924,2258,GDDR5X,240.6,0,0
167,8704,1151,1559,GDDR5,971.6,0,0
168,3584,1482,1840,GDDR5,721.8,0,0
169,7680,2182,2356,GDDR6,901.4,21,84
170,8704,2334,2487,HBM2,574.4,44,176
171,4608,2186,2513,GDDR5X,340.4,0,0
172,1408,1716,2190,GDDR5,408.6,0,0
173,384,1392,1635,GDDR5X,249.7,0,0
174,3584,2035,2390,GDDR6,494.0,0,0
175,4608,1624,1943,GDDR6X,805.9,0,0
176,4608,1117,1442,GDDR5,863.0,0,0
177,8704,1174,1356,HBM2,591.1,0,0
178,16384,1087,1371,GDDR6,778.6,0,0
179,7680,1517,1642,GDDR5,947.7,28,112
180,7680,1562,2018,GDDR6X,895.7,68,272
181,10752,1590,1740,GDDR5X,867.9,116,464
182,2048,1691,1853,GDDR5X,949.9,112,448
183,1024,1891,2169,GDDR5,395.8,25,100
184,3584,1351,1817,HBM2,455.1,0,0
185,7680,1451,1575,HBM2,903.8,0,0
186,10752,1478,1744,GDDR5X,439.9,0,0
187,384,1844,2331,HBM2,624.0,0,0
188,4608,1139,1528,GDDR5X,241.2,0,0
189,2048,1719,2166,GDDR6,442.6,21,84
190,2048,1595,1790,GDDR6,820.4,0,0
191,8704,1699,2120,GDDR6X,809.3,0,0
192,1408,1024,1345,HBM2,663.3,0,0
193,2048,1749,2110,GDDR6,405.9,125,500
194,10752,1732,2198,HBM2,992.3,0,0
195,7680,1206,1558,GDDR5,765.7,21,84
196,8704,1989,2095,HBM2,641.3,0,0
197,7680,2209,2672,GDDR5,934.4,87,348
198,7680,1119,1602,GDDR6X,652.0,0,0
199,7680,1566,1856,GDDR5,762.3,30,120
200,2048,1317,1764,HBM2,580.4,0,0
201,1408,2393,2618,GDDR5X,669.6,116,464
202,7680,2016,2332,GDDR6X,804.5,37,148
203,16384,2432,2690,GDDR6,223.7,0,0
204,16384,1991,2125,HBM2,436.3,0,0
205,1408,2109,2335,GDDR5,273.2,59,236
206,8704,1835,2139,GDDR5,221.0,0,0
207,7680,1582,1715,HBM2,924.2,51,204
208,8704,1219,1385,GDDR6,536.9,81,324
209,2048,1687,1841,GDDR5,959.1,0,0
210,16384,1204,1432,GDDR5X,583.2,0,0
211,16384,2173,2403,GDDR6,853.2,0,0
212,10752,1040,1430,GDDR5X,550.8,0,0
213,2048,1379,1540,GDDR6X,831.3,29,116
214,384,2186,2429,HBM2,675.1,0,0
215,16384,1066,1559,GDDR6X,973.4,62,248
216,10752,1871,2201,GDDR6X,499.3,79,316
217,1024,1174,1650,GDDR5X,478.7,63,252
218,8704,1478,1698,GDDR5,218.1,0,0
219,1408,1496,1766,GDDR6X,385.5,71,284
220,2048,1674,1945,GDDR5,763.8,46,184
221,2048,1686,1890,GDDR6X,622.2,101,404
222,8704,1926,2351,GDDR6,934.9,0,0
223,1408,1560,1716,GDDR6X,534.6,37,148
224,1408,1832,2127,GDDR5X,349.7,0,0
225,7680,2446,2748,GDDR6X,527.3,82,328
226,2048,1438,1647,HBM2,430.9,0,0
227,10752,2235,2481,GDDR5,808.0,0,0
228,384,1675,1914,GDDR5,551.3,0,0
229,7680,1249,1404,GDDR5X,850.8,0,0
230,3584,1434,1640,HBM2,988.4,0,0
231,1408,2052,2205,GDDR5X,769.1,126,504
232,7680,1678,2031,GDDR5,522.3,0,0
233,1024,2096,2379,GDDR6,880.1,0,0
234,3584,1507,1838,HBM2,881.9,0,0
235,1408,1662,1762,GDDR6X,361.9,108,432
236,4608,1997,2356,GDDR5,517.1,59,236
237,1024,1199,1389,GDDR6X,207.4,0,0
238,7680,1134,1556,GDDR5,450.7,58,232
239,16384,1013,1373,GDDR6X,481.0,0,0
240,1024,2345,2501,GDDR5,671.7,69,276
241,10752,1901,2289,GDDR6,823.2,0,0
242,3584,1969,2382,GDDR5X,595.9,34,136
243,4608,1198,1642,HBM2,536.7,0,0
244,384,1393,1508,GDDR5,958.9,70,280
245,1024,1961,2276,GDDR5X,422.0,59,236
246,1024,1465,1739,GDDR5X,246.3,0,0
247,1408,1179,1562,GDDR5,331.1,0,0
248,1024,2157,2268,GDDR6X,417.6,28,112
249,16384,1250,1412,GDDR5,915.4,106,424
250,8704,1546,2014,GDDR5X,944.9,0,0
251,1024,1857,2004,GDDR5,343.5,0,0
252,3584,1491,1812,GDDR5,495.1,57,228
253,8704,2497,2907,HBM2,808.4,51,204
254,384,2426,2526,GDDR6X,879.2,113,452
255,1408,2067,2204,GDDR5X,917.8,86,344
256,7680,1112,1439,GDDR6X,730.0,0,0
257,4608,1477,1685,GDDR5,954.8,0,0
258,1024,1804,2289,GDDR5X,561.5,79,316
259,16384,1060,1494,GDDR6,318.7,111,444
260,1408,1047,1308,GDDR6X,644.8,0,0
261,2048,1196,1625,GDDR6,749.0,0,0
262,8704,2214,2350,GDDR6,298.0,79,316
263,7680,2025,2194,GDDR5X,926.6,55,220
264,3584,1748,2201,GDDR6X,248.8,0,0
265,10752,2192,2687,GDDR6,583.7,0,0
266,384,1478,1665,GDDR6,246.9,0,0
267,2048,1400,1826,GDDR5,811.2,0,0
268,4608,2371,2482,GDDR6,958.0,0,0
269,8704,1057,1179,HBM2,375.0,87,348
270,4608,1089,1248,GDDR5X,819.5,128,512
271,4608,1453,1607,GDDR5X,785.9,0,0
272,16384,2180,2369,HBM2,851.6,0,0
273,16384,1587,2084,HBM2,225.9,97,388
274,1024,1357,1849,GDDR5X,708.9,0,0
275,4608,1385,1528,GDDR5,238.5,0,0
276,1024,2243,2658,HBM2,720.8,0,0
277,3584,2427,2556,GDDR5X,910.3,40,160
278,1408,1911,2184,GDDR5,281.0,46,184
279,3584,1446,1584,GDDR6X,657.4,0,0
280,16384,1720,1858,GDDR5X,336.7,57,228
281,3584,1137,1454,GDDR5X,496.8,0,0
282,2048,2256,2581,GDDR5X,801.8,0,0
283,16384,1341,1465,GDDR6X,854.7,73,292
284,384,1753,2213,HBM2,742.0,0,0
285,1408,1064,1195,GDDR6X,361.5,125,500
286,4608,2285,2592,GDDR5,829.2,99,396
287,1024,2387,2712,GDDR5,828.6,0,0
288,16384,1710,1878,GDDR6X,315.1,0,0
289,8704,2381,2839,GDDR5,470.3,0,0
290,2048,1202,1691,GDDR6X,819.2,61,244
291,7680,2111,2514,GDDR6,856.8,0,0
292,10752,2319,2430,GDDR5X,900.1,45,180
293,4608,2235,2537,GDDR5,744.9,0,0
294,4608,1516,1951,GDDR6,799.2,0,0
295,2048,2286,2644,GDDR5X,415.3,72,288
296,384,1336,1679,GDDR6,770.2,110,440
297,8704,1453,1761,HBM2,517.7,0,0
298,3584,2027,2319,GDDR6,990.7,101,404
299,384,2208,2628,HBM2,523.3,60,240
300,384,1875,2372,GDDR5X,474.5,111,444
301,10752,1272,1411,GDDR5X,792.7,0,0
302,3584,1631,2085,GDDR6,408.4,57,228
303,16384,1107,1562,HBM2,295.9,107,428
304,4608,1614,1941,GDDR6X,314.6,111,444
305,384,1678,1861,GDDR5X,661.0,40,160
306,8704,1575,1690,GDDR5X,784.5,21,84
307,4608,1468,1609,HBM2,670.9,0,0
308,16384,1786,2059,GDDR5X,474.2,82,328
309,1408,1317,1425,HBM2,335.2,0,0
310,384,1993,2354,GDDR5,238.6,34,136
311,2048,2043,2395,GDDR6,536.7,0,0
312,1024,1767,2114,GDDR6,291.2,33,132
313,4608,2055,2273,GDDR5,638.5,0,0
314,1024,2253,2620,GDDR5X,959.6,0,0
315,3584,1396,1516,GDDR5X,899.3,57,228
316,1408,1493,1950,HBM2,414.6,0,0
317,8704,1408,1662,GDDR6X,839.9,0,0
318,16384,1724,2051,GDDR6X,345.0,68,272
319,8704,1069,1273,GDDR6,209.9,106,424
320,1024,1649,2039,GDDR6X,476.6,0,0
321,1408,1758,2045,GDDR6X,895.5,29,116
322,7680,1605,1798,GDDR6X,555.4,0,0
323,384,1154,1418,HBM2,639.3,0,0
324,4608,1545,1666,GDDR5X,875.5,62,248
325,2048,1003,1245,GDDR6,638.2,0,0
326,7680,1160,1504,GDDR5X,296.6,70,280
327,384,2390,2824,HBM2,298.6,0,0
328,384,1830,2103,HBM2,586.3,0,0
329,16384,1909,2137,GDDR6X,534.9,97,388
330,16384,2050,2449,GDDR6,874.5,90,360
331,1408,2472,2832,GDDR5X,603.1,0,0
332,7680,2011,2468,HBM2,428.7,128,512
333,384,1300,1700,GDDR5X,986.8,107,428
334,384,1538,1819,HBM2,894.4,114,456
335,3584,2039,2157,GDDR6X,510.0,0,0
336,4608,2133,2451,HBM2,357.2,112,448
337,10752,1179,1295,GDDR6,645.3,36,144
338,4608,1895,2304,HBM2,874.5,58,232
339,10752,1239,1556,GDDR6X,273.6,0,0
340,16384,1796,2294,GDDR5,291.8,0,0
341,4608,1572,1990,GDDR5,508.7,0,0
342,8704,1730,1948,GDDR5X,456.3,30,120
343,2048,2297,2566,GDDR5,364.5,126,504
344,1024,1110,1281,GDDR6,646.5,93,372
345,384,1584,1731,GDDR5,713.1,99,396
346,3584,1910,2122,GDDR6X,505.1,125,500
347,10752,1442,1795,GDDR6,741.8,0,0
348,16384,1591,1910,GDDR5,443.8,115,460
349,3584,1291,1463,HBM2,881.8,0,0
350,1024,1296,1628,GDDR6,485.7,0,0
351,4608,1925,2147,HBM2,321.9,92,368
352,7680,1415,1658,GDDR6,902.3,0,0
353,16384,1123,1335,GDDR5X,913.0,0,0
354,384,2219,2550,HBM2,370.2,24,96
355,2048,2337,2672,GDDR6,307.1,84,336
356,16384,2026,2428,GDDR5X,557.0,42,168
357,2048,1094,1341,GDDR5,734.9,86,344
358,4608,1155,1642,GDDR6,867.9,0,0
359,1024,1775,2025,GDDR5X,613.1,65,260
360,1408,1660,1851,HBM2,714.8,0,0
361,2048,1622,1854,GDDR5,585.2,81,324
362,1408,1860,2024,HBM2,231.4,0,0
363,16384,2454,2809,GDDR6,957.8,47,188
364,16384,2231,2403,HBM2,411.6,0,0
365,1024,1025,1334,HBM2,747.5,0,0
366,10752,1755,1902,GDDR6X,727.5,97,388
367,10752,1643,2118,GDDR6X,831.6,68,272
368,1024,1425,1875,GDDR6X,406.2,20,80
369,4608,1613,1755,GDDR6X,721.3,52,208
370,2048,1620,2033,GDDR6X,343.0,0,0
371,1408,2282,2645,GDDR5X,557.3,0,0
372,384,1241,1726,GDDR5,843.5,125,500
373,4608,1120,1235,GDDR6X,944.5,0,0
374,384,1303,1665,HBM2,428.8,24,96
375,384,2463,2597,GDDR6,823.7,0,0
376,1024,2379,2698,HBM2,932.0,0,0
377,7680,1862,2066,GDDR6X,605.0,0,0
378,10752,2220,2549,GDDR6X,972.8,92,368
379,16384,2293,2585,GDDR6,254.0,0,0
380,3584,1372,1509,GDDR6,260.8,0,0
381,2048,1748,1927,GDDR5X,898.2,0,0
382,1024,1180,1311,GDDR6X,691.1,0,0
383,16384,2303,2599,HBM2,424.2,48,192
384,384,1754,2011,GDDR5X,565.8,35,140
385,1024,1488,1833,GDDR6,349.7,0,0
386,7680,1316,1696,GDDR6,492.1,0,0
387,1024,2081,2502,HBM2,545.8,68,272
388,1408,2493,2932,HBM2,627.2,60,240
389,1408,1090,1515,GDDR6X,871.2,32,128
390,3584,1516,1780,GDDR6,893.9,0,0
391,3584,1533,1902,GDDR6X,819.8,0,0
392,1408,1961,2432,GDDR6X,705.0,93,372
393,3584,2066,2408,GDDR6X,417.0,76,304
394,3584,2411,2791,GDDR5,368.5,0,0
395,7680,1786,2284,GDDR5,410.0,39,156
396,1408,1197,1632,GDDR5,228.1,0,0
397,1408,2454,2833,GDDR5X,672.7,0,0
398,1024,1663,1909,GDDR6,324.6,0,0
399,8704,2420,2710,GDDR5,812.7,122,488
400,10752,1656,1855,GDDR6X,862.7,0,0
401,16384,2211,2584,GDDR6,718.8,88,352
402,8704,1927,2135,HBM2,593.6,0,0
403,3584,1404,1790,GDDR5,386.2,39,156
404,8704,2045,2157,GDDR5,874.8,0,0
405,3584,2226,2657,GDDR5,979.7,111,444
406,1024,1782,2274,GDDR6X,511.3,0,0
407,8704,1958,2137,GDDR5,890.9,0,0
408,16384,1179,1594,GDDR5,975.1,94,376
409,16384,1508,1995,GDDR5,247.8,102,408
410,4608,2208,2483,GDDR5X,217.1,68,272
411,10752,2046,2221,GDDR5X,634.9,61,244
412,1408,1674,2101,HBM2,493.7,20,80
413,16384,1358,1746,HBM2,855.2,0,0
414,4608,1166,1475,GDDR5,235.0,0,0
415,384,1857,2291,GDDR6X,620.7,109,436
416,2048,1984,2455,GDDR5,574.4,101,404
417,16384,1399,1515,GDDR5,867.6,0,0
418,2048,1290,1652,HBM2,700.3,0,0
419,8704,2054,2324,GDDR5,333.4,0,0
420,8704,2400,2860,HBM2,993.2,0,0
421,16384,1818,2068,HBM2,940.9,0,0
422,3584,1894,2201,GDDR6,205.3,0,0
423,10752,1834,2304,GDDR5X,275.4,0,0
424,3584,2217,2353,GDDR6X,655.3,0,0
425,16384,2229,2367,GDDR6,229.9,123,492
426,7680,1625,2072,GDDR5X,798.1,0,0
427,10752,1847,2077,GDDR5X,322.6,106,424
428,3584,2180,2339,GDDR6,266.0,0,0
429,1408,2143,2435,GDDR5X,590.3,103,412
430,3584,2165,2394,HBM2,271.7,0,0
431,384,2155,2322,GDDR6,693.0,0,0
432,1408,2137,2578,GDDR5,791.7,51,204
433,3584,1675,1784,GDDR5X,792.0,47,188
434,384,1565,2027,HBM2,234.8,41,164
435,384,1100,1464,GDDR6,891.4,22,88
436,8704,2300,2612,GDDR5X,359.1,0,0
437,1408,1028,1401,GDDR6,700.2,50,200
438,384,2416,2895,GDDR5X,321.4,70,280
439,2048,1626,1955,GDDR6X,976.4,97,388
440,2048,2294,2517,HBM2,927.7,0,0
441,10752,2423,2570,GDDR6,871.6,38,152
442,3584,1228,1403,GDDR5X,347.8,0,0
443,384,1539,1914,GDDR6X,307.3,128,512
444,1408,1290,1402,GDDR5,940.3,0,0
445,8704,2301,2596,GDDR6,893.4,0,0
446,7680,1917,2313,HBM2,628.9,0,0
447,7680,2476,2591,GDDR6X,612.9,100,400
448,7680,1442,1909,HBM2,922.9,0,0
449,10752,1203,1468,GDDR6X,219.9,0,0
450,1408,2078,2227,GDDR5,765.0,0,0
451,7680,1826,1943,GDDR5X,929.8,92,368
452,3584,2095,2579,GDDR6,701.2,35,140
453,8704,1815,1917,GDDR6X,390.3,0,0
454,2048,2323,2534,HBM2,856.1,0,0
455,384,2000,2435,GDDR6,464.9,31,124
456,16384,1858,2182,GDDR6X,799.5,66,264
457,7680,2265,2390,GDDR6X,307.6,108,432
458,384,1164,1555,HBM2,989.8,0,0
459,16384,1531,1682,HBM2,597.1,113,452
460,2048,1002,1111,GDDR5,790.0,0,0
461,2048,1017,1197,GDDR6,403.5,0,0
462,4608,1512,1901,HBM2,968.1,126,504
463,1408,1722,2072,HBM2,916.7,0,0
464,4608,1833,1940,HBM2,748.4,0,0
465,10752,2264,2592,GDDR6X,349.9,34,136
466,2048,1557,1988,GDDR6,372.9,0,0
467,8704,1759,2178,HBM2,323.3,63,252
468,1408,1308,1422,GDDR6X,770.9,86,344
469,384,1155,1561,GDDR6,218.0,117,468
470,8704,2007,2216,GDDR5X,418.9,0,0
471,3584,1861,2029,GDDR6,690.6,63,252
472,7680,1081,1351,GDDR5X,763.7,0,0
473,10752,1118,1587,GDDR6X,654.2,0,0
474,8704,1706,2184,GDDR5X,888.9,0,0
475,4608,2183,2635,GDDR6X,590.0,28,112
476,16384,1862,2165,GDDR6X,854.0,121,484
477,16384,1620,1968,HBM2,327.2,0,0
478,7680,1851,2087,GDDR5X,338.5,0,0
479,8704,1264,1746,GDDR5,678.6,0,0
480,1408,2331,2792,GDDR5,805.7,0,0
481,2048,2022,2248,HBM2,835.5,0,0
482,10752,1606,1757,GDDR6,249.9,0,0
483,384,1353,1733,GDDR6X,700.2,111,444
484,1408,1282,1535,GDDR6,872.0,0,0
485,1408,2082,2376,GDDR6X,980.0,37,148
486,7680,1935,2216,GDDR6X,641.6,77,308
487,2048,2068,2275,HBM2,661.1,0,0
488,1024,1213,1605,GDDR6,571.9,30,120
489,1024,2026,2341,HBM2,450.0,26,104
490,7680,1529,2020,GDDR6,431.4,24,96
491,1408,1859,2221,GDDR6,847.1,99,396
492,3584,1378,1724,GDDR6,886.3,21,84
493,1408,1392,1772,GDDR6X,344.6,87,348
494,7680,2156,2351,GDDR6X,780.8,0,0
495,1024,1079,1364,GDDR6X,441.1,0,0
496,7680,1018,1488,GDDR6X,505.6,0,0
497,3584,1502,1708,GDDR5,404.3,94,376
498,10752,1506,1882,GDDR5X,450.6,0,0
499,8704,1527,1917,GDDR6,354.5,23,92
500,1024,1130,1471,GDDR6X,725.1,102,408
501,1024,1958,2427,GDDR6,815.5,108,432
502,384,1387,1812,GDDR5X,552.5,82,328
503,2048,1921,2063,GDDR6X,772.3,0,0
504,384,2345,2504,GDDR5,946.3,105,420
505,8704,1717,1978,GDDR5,632.1,20,80
506,7680,1083,1581,GDDR5,492.3,0,0
507,10752,1059,1312,GDDR5X,439.1,69,276
508,1408,1054,1164,HBM2,390.8,0,0
509,8704,2450,2556,GDDR6,244.8,120,480
510,10752,1223,1554,GDDR5,229.5,0,0
511,1408,1022,1375,GDDR6,856.6,0,0
512,1024,1171,1508,HBM2,376.5,0,0
513,1408,1482,1967,GDDR5X,811.4,0,0
514,1408,2044,2365,GDDR6X,394.9,94,376
515,1024,1010,1181,GDDR5,765.4,95,380
516,3584,1785,2049,GDDR5X,688.4,0,0
517,3584,1522,1623,GDDR5X,353.5,87,348
518,2048,1415,1592,GDDR5X,748.2,0,0
519,3584,1314,1514,HBM2,844.1,0,0
520,8704,1772,1900,GDDR5X,777.1,95,380
521,1024,1489,1628,GDDR6X,895.9,0,0
522,1408,1324,1667,GDDR5X,509.9,0,0
523,1408,1048,1375,GDDR6,309.2,0,0
524,16384,1235,1652,HBM2,924.5,0,0
525,2048,1887,2321,GDDR6,211.6,0,0
526,16384,2419,2884,GDDR5,534.2,0,0
527,1024,1679,1875,HBM2,802.5,108,432
528,384,1720,1941,GDDR6X,886.3,0,0
529,4608,1940,2321,GDDR5,888.3,29,116
530,16384,1814,2231,GDDR5,696.4,0,0
531,8704,1929,2175,GDDR5X,718.5,110,440
532,16384,2307,2688,GDDR5X,456.4,0,0
533,10752,1790,1939,HBM2,742.6,0,0
534,1024,1283,1736,GDDR5,264.1,42,168
535,1408,2312,2620,GDDR5,434.5,107,428
536,3584,1284,1392,GDDR5X,868.0,86,344
537,10752,2263,2541,GDDR6,653.8,0,0
538,384,1223,1436,GDDR5X,694.9,40,160
539,1408,1242,1388,GDDR6,659.6,76,304
540,4608,1222,1501,GDDR5X,626.9,0,0
541,1408,1006,1401,HBM2,465.0,110,440
542,16384,2093,2561,GDDR6,751.3,0,0
543,2048,1669,1805,GDDR5,686.5,44,176
544,8704,2016,2499,HBM2,515.5,0,0
545,1408,2074,2345,GDDR6X,498.3,0,0
546,8704,2112,2378,GDDR6X,430.9,0,0
547,8704,2483,2793,GDDR6,252.9,0,0
548,10752,1693,2020,GDDR5X,359.4,0,0
549,10752,2110,2299,GDDR5,323.2,58,232
550,2048,1043,1448,GDDR6X,995.5,28,112
551,8704,2461,2888,GDDR6,610.0,0,0
