RAM_ID,CAS_Latency,ECC_Support,Buffered,Channels,Heat_Sink,XMP_Profiles
313,CL18,No,No,Dual,Yes,Yes
314,CL18,No,No,Dual,No,No
315,CL15,Yes,No,Quad,Yes,Yes
316,CL38,No,No,Quad,No,Yes
317,CL38,Yes,Yes,Quad,Yes,Yes
318,CL11,Yes,Yes,Single,Yes,No
319,CL36,Yes,No,Quad,No,Yes
320,CL13,No,No,Dual,Yes,No
321,CL16,Yes,Yes,Dual,Yes,Yes
322,CL36,No,No,Dual,Yes,Yes
323,CL11,Yes,No,Dual,Yes,No
324,CL36,No,No,Single,Yes,No
325,CL40,Yes,No,Dual,Yes,Yes
326,CL40,Yes,Yes,Quad,Yes,Yes
327,CL18,Yes,Yes,Dual,Yes,No
328,CL16,Yes,No,Quad,No,No
329,CL16,No,No,Dual,No,Yes
330,CL40,No,No,Quad,No,Yes
331,CL17,No,No,Quad,No,Yes
332,CL38,Yes,No,Quad,Yes,Yes
333,CL11,No,No,Dual,No,Yes
334,CL40,Yes,Yes,Quad,Yes,No
335,CL19,No,No,Quad,Yes,Yes
336,CL17,Yes,Yes,Single,No,No
337,CL13,No,No,Quad,No,No
338,CL11,No,No,Single,No,Yes
339,CL11,No,No,Single,No,Yes
340,CL16,No,No,Single,Yes,No
341,CL18,Yes,Yes,Single,Yes,No
342,CL38,No,No,Dual,Yes,Yes
343,CL15,No,No,Single,No,No
344,CL17,Yes,Yes,Single,No,No
345,CL19,No,No,Dual,Yes,Yes
346,CL15,No,No,Single,Yes,No
347,CL38,Yes,No,Quad,Yes,Yes
348,CL38,No,No,Dual,Yes,No
349,CL17,No,No,Dual,No,No
350,CL18,No,No,Quad,No,Yes
351,CL19,No,No,Dual,No,No
352,CL13,Yes,No,Single,Yes,Yes
353,CL15,Yes,Yes,Dual,No,Yes
354,CL18,No,No,Dual,No,No
355,CL38,No,No,Dual,No,Yes
356,CL15,No,No,Dual,No,Yes
357,CL38,No,No,Single,No,No
358,CL19,Yes,Yes,Quad,No,No
359,CL17,No,No,Single,No,Yes
360,CL36,Yes,No,Single,Yes,No
361,CL15,Yes,No,Dual,Yes,No
362,CL36,Yes,Yes,Single,Yes,No
363,CL11,Yes,No,Quad,No,Yes
364,CL17,Yes,No,Single,Yes,Yes
365,CL40,No,No,Quad,Yes,Yes
366,CL38,No,No,Dual,Yes,Yes
367,CL38,No,No,Single,Yes,No
368,CL15,No,No,Dual,No,No
369,CL18,Yes,No,Single,No,Yes
370,CL38,Yes,No,Single,Yes,Yes
371,CL38,No,No,Single,No,Yes
372,CL11,No,No,Quad,No,No
373,CL16,Yes,No,Single,No,Yes
374,CL40,No,No,Quad,No,No
375,CL40,No,No,Dual,No,No
376,CL38,No,No,Dual,No,No
377,CL17,Yes,No,Single,Yes,No
378,CL36,No,No,Single,Yes,No
379,CL16,Yes,Yes,Dual,Yes,No
380,CL11,No,No,Dual,No,No
381,CL38,Yes,No,Quad,Yes,No
382,CL17,No,No,Single,Yes,No
383,CL19,Yes,Yes,Dual,Yes,No
384,CL17,No,No,Dual,Yes,Yes
385,CL15,No,No,Quad,No,Yes
386,CL11,Yes,Yes,Single,No,Yes
387,CL16,Yes,Yes,Dual,No,Yes
388,CL40,No,No,Single,No,Yes
389,CL11,No,No,Quad,No,Yes
390,CL38,No,No,Quad,Yes,Yes
391,CL18,No,No,Quad,No,Yes
392,CL17,Yes,No,Dual,Yes,Yes
393,CL19,No,No,Quad,No,No
394,CL17,Yes,No,Single,Yes,No
395,CL18,No,No,Dual,No,No
396,CL40,Yes,Yes,Single,Yes,No
397,CL19,No,No,Dual,Yes,Yes
398,CL16,Yes,No,Dual,No,No
399,CL19,Yes,Yes,Dual,No,Yes
400,CL36,No,No,Dual,No,No
401,CL36,Yes,Yes,Single,Yes,Yes
402,CL13,No,No,Dual,Yes,Yes
403,CL38,Yes,No,Dual,Yes,Yes
404,CL17,No,No,Dual,Yes,Yes
405,CL11,No,No,Single,Yes,No
406,CL38,Yes,No,Single,Yes,No
407,CL11,Yes,No,Single,Yes,No
408,CL19,Yes,Yes,Quad,Yes,No
409,CL40,Yes,No,Quad,Yes,No
410,CL40,No,No,Quad,No,No
411,CL13,Yes,Yes,Dual,No,Yes
412,CL13,No,No,Dual,No,Yes
413,CL16,No,No,Dual,No,No
414,CL19,Yes,Yes,Dual,No,Yes
415,CL18,No,No,Quad,Yes,No
416,CL16,No,No,Dual,No,Yes
417,CL11,No,No,Quad,Yes,Yes
418,CL38,Yes,No,Single,No,No
419,CL11,Yes,Yes,Quad,No,Yes
420,CL13,No,No,Single,Yes,No
421,CL17,Yes,Yes,Dual,Yes,Yes
422,CL11,Yes,No,Single,No,No
423,CL17,No,No,Single,Yes,No
424,CL16,Yes,Yes,Quad,No,No
425,CL11,Yes,No,Dual,No,No
426,CL13,No,No,Quad,Yes,No
427,CL19,Yes,No,Quad,No,No
428,CL40,No,No,Dual,Yes,No
429,CL11,Yes,No,Single,Yes,Yes
430,CL18,No,No,Quad,No,No
431,CL11,No,No,Quad,Yes,Yes
432,CL19,No,No,Dual,No,Yes
433,CL15,No,No,Quad,Yes,Yes
434,CL15,Yes,No,Dual,No,No
435,CL19,Yes,Yes,Quad,Yes,No
436,CL13,No,No,Quad,Yes,Yes
437,CL13,No,No,Quad,Yes,No
438,CL17,No,No,Single,Yes,No
439,CL40,Yes,No,Single,Yes,Yes
440,CL40,Yes,Yes,Quad,Yes,No
441,CL13,Yes,Yes,Single,No,No
442,CL17,Yes,No,Dual,No,No
443,CL15,No,No,Single,No,No
444,CL19,No,No,Dual,No,No
445,CL40,Yes,Yes,Quad,Yes,No
446,CL18,Yes,Yes,Dual,Yes,Yes
447,CL13,Yes,No,Quad,Yes,No
448,CL17,No,No,Quad,No,No
449,CL17,Yes,No,Dual,Yes,No
450,CL13,No,No,Quad,No,Yes
451,CL11,Yes,Yes,Dual,Yes,No
452,CL11,No,No,Quad,No,Yes
453,CL18,Yes,Yes,Dual,Yes,Yes
454,CL18,No,No,Single,No,Yes
455,CL17,No,No,Quad,No,Yes
456,CL38,Yes,Yes,Single,Yes,Yes
457,CL15,Yes,No,Single,No,Yes
458,CL40,Yes,No,Single,No,No
459,CL40,Yes,No,Single,No,Yes
460,CL40,No,No,Single,Yes,No
461,CL36,Yes,No,Quad,No,No
462,CL13,No,No,Dual,No,Yes
463,CL16,No,No,Single,Yes,Yes
464,CL18,No,No,Single,No,No
465,CL11,No,No,Quad,Yes,Yes
466,CL13,No,No,Single,Yes,Yes
467,CL15,Yes,Yes,Dual,Yes,No
468,CL11,Yes,No,Single,No,No
469,CL38,Yes,No,Quad,No,Yes
470,CL40,Yes,Yes,Quad,Yes,Yes
471,CL13,No,No,Dual,Yes,Yes
472,CL13,Yes,No,Dual,Yes,No
473,CL11,Yes,No,Quad,No,Yes
474,CL13,No,No,Quad,Yes,No
475,CL38,Yes,Yes,Single,Yes,No
476,CL16,No,No,Dual,No,No
477,CL38,No,No,Dual,No,Yes
478,CL17,Yes,Yes,Dual,Yes,Yes
479,CL11,No,No,Single,Yes,Yes
480,CL38,No,No,Dual,No,Yes
481,CL17,No,No,Single,Yes,No
482,CL18,Yes,No,Dual,Yes,Yes
483,CL13,Yes,No,Dual,Yes,No
484,CL17,Yes,Yes,Quad,No,No
485,CL40,Yes,No,Single,No,Yes
486,CL13,No,No,Single,No,No
487,CL11,No,No,Dual,No,No
488,CL19,No,No,Single,Yes,Yes
489,CL19,No,No,Dual,Yes,No
490,CL17,No,No,Quad,No,Yes
491,CL17,No,No,Single,No,Yes
492,CL17,No,No,Quad,Yes,No
493,CL11,No,No,Dual,No,No
494,CL15,Yes,Yes,Single,No,No
495,CL11,Yes,Yes,Dual,No,No
496,CL38,Yes,No,Single,Yes,Yes
497,CL17,Yes,Yes,Single,Yes,Yes
498,CL13,Yes,No,Dual,No,Yes
499,CL11,Yes,No,Single,Yes,Yes
500,CL17,No,No,Dual,Yes,Yes
501,CL38,Yes,Yes,Single,Yes,No
502,CL19,No,No,Single,Yes,No
503,CL38,Yes,No,Dual,Yes,No
504,CL19,No,No,Dual,Yes,Yes
505,CL38,Yes,No,Dual,No,Yes
506,CL19,No,No,Dual,No,No
507,CL36,Yes,No,Dual,No,Yes
508,CL19,No,No,Single,No,Yes
509,CL17,No,No,Quad,Yes,Yes
510,CL15,No,No,Quad,Yes,No
511,CL38,No,No,Dual,Yes,Yes
512,CL11,Yes,No,Dual,No,Yes
513,CL16,Yes,No,Dual,Yes,Yes
514,CL19,No,No,Dual,Yes,No
515,CL16,No,No,Dual,No,Yes
516,CL38,Yes,No,Single,No,No
517,CL38,No,No,Dual,Yes,No
518,CL19,No,No,Quad,No,Yes
519,CL38,No,No,Quad,Yes,Yes
520,CL19,No,No,Single,Yes,No
521,CL15,Yes,No,Dual,No,No
522,CL17,Yes,Yes,Single,No,Yes
523,CL13,No,No,Quad,Yes,Yes
524,CL13,Yes,Yes,Dual,No,No
525,CL40,Yes,No,Dual,Yes,No
526,CL18,No,No,Single,Yes,Yes
527,CL13,Yes,Yes,Dual,Yes,No
528,CL18,No,No,Single,No,Yes
529,CL17,Yes,No,Quad,No,No
530,CL16,No,No,Dual,Yes,Yes
531,CL18,No,No,Dual,Yes,No
532,CL19,Yes,No,Single,Yes,Yes
533,CL15,Yes,Yes,Single,Yes,Yes
534,CL17,No,No,Quad,No,No
535,CL19,Yes,No,Dual,Yes,No
536,CL18,No,No,Quad,Yes,No
537,CL16,No,No,Dual,Yes,Yes
538,CL38,Yes,Yes,Dual,Yes,No
539,CL18,Yes,Yes,Dual,No,No
540,CL36,Yes,Yes,Quad,No,Yes
541,CL19,Yes,Yes,Dual,Yes,No
542,CL13,Yes,Yes,Single,Yes,No
543,CL36,Yes,Yes,Single,No,Yes
544,CL36,No,No,Quad,No,Yes
545,CL11,No,No,Dual,Yes,Yes
546,CL16,Yes,No,Dual,No,Yes
547,CL13,No,No,Quad,Yes,No
548,CL40,Yes,No,Dual,Yes,Yes
549,CL38,Yes,No,Dual,Yes,No
550,CL11,Yes,Yes,Quad,Yes,No
551,CL38,Yes,No,Quad,No,Yes
552,CL36,No,No,Quad,No,No
553,CL11,Yes,No,Single,Yes,No
554,CL19,No,No,Single,Yes,Yes
555,CL16,No,No,Quad,Yes,Yes
556,CL36,No,No,Dual,Yes,No
557,CL19,No,No,Dual,No,Yes
558,CL11,Yes,No,Dual,Yes,No
559,CL11,Yes,No,Single,No,No
560,CL17,No,No,Dual,No,No
561,CL40,No,No,Single,No,No
562,CL15,Yes,Yes,Quad,Yes,Yes
563,CL18,No,No,Single,No,Yes
564,CL40,Yes,Yes,Single,Yes,Yes
565,CL13,Yes,Yes,Dual,Yes,Yes
566,CL15,Yes,No,Quad,No,No
567,CL36,No,No,Single,No,Yes
568,CL19,Yes,Yes,Quad,Yes,Yes
569,CL11,No,No,Quad,Yes,No
570,CL19,Yes,Yes,Single,Yes,No
571,CL38,No,No,Quad,No,Yes
572,CL38,Yes,Yes,Dual,No,No
573,CL16,Yes,No,Dual,Yes,No
574,CL15,No,No,Dual,Yes,Yes
575,CL38,No,No,Dual,No,No
576,CL36,Yes,Yes,Quad,Yes,Yes
577,CL19,Yes,No,Quad,No,Yes
578,CL15,No,No,Single,No,No
579,CL19,No,No,Quad,No,No
580,CL36,Yes,Yes,Dual,Yes,No
581,CL13,Yes,Yes,Quad,No,Yes
582,CL38,Yes,No,Quad,Yes,Yes
583,CL11,No,No,Single,No,No
584,CL38,Yes,No,Single,No,Yes
585,CL11,No,No,Dual,Yes,No
586,CL16,Yes,No,Quad,No,Yes
587,CL16,Yes,No,Quad,Yes,Yes
588,CL15,No,No,Quad,Yes,Yes
589,CL15,Yes,No,Dual,No,No
590,CL38,Yes,No,Dual,Yes,Yes
591,CL36,No,No,Single,No,No
592,CL11,Yes,Yes,Dual,No,No
593,CL18,No,No,Quad,No,No
594,CL11,No,No,Quad,No,Yes
595,CL36,Yes,No,Quad,No,Yes
596,CL15,Yes,No,Quad,Yes,No
597,CL19,Yes,Yes,Dual,No,No
598,CL16,Yes,No,Dual,No,No
599,CL16,No,No,Single,Yes,Yes
600,CL11,No,No,Dual,Yes,Yes
601,CL40,No,No,Single,No,Yes
602,CL11,No,No,Single,No,No
603,CL40,No,No,Single,Yes,No
604,CL18,Yes,No,Single,Yes,Yes
605,CL15,Yes,No,Dual,No,No
606,CL11,Yes,No,Quad,Yes,No
607,CL36,No,No,Quad,No,No
608,CL11,Yes,Yes,Dual,Yes,Yes
609,CL13,No,No,Single,Yes,Yes
610,CL16,Yes,No,Single,No,Yes
611,CL11,Yes,No,Single,No,Yes
612,CL13,Yes,No,Single,Yes,Yes
613,CL40,Yes,Yes,Dual,Yes,No
614,CL13,No,No,Quad,Yes,Yes
615,CL38,No,No,Quad,No,No
616,CL36,Yes,No,Dual,No,No
617,CL18,Yes,Yes,Dual,No,No
618,CL15,No,No,Single,No,Yes
619,CL13,Yes,No,Single,Yes,No
620,CL40,Yes,Yes,Quad,No,Yes
621,CL38,Yes,Yes,Single,Yes,Yes
622,CL13,No,No,Single,No,No
623,CL11,No,No,Quad,No,No
624,CL11,Yes,Yes,Single,No,No
625,CL36,No,No,Single,Yes,Yes
626,CL19,No,No,Single,Yes,No
627,CL13,Yes,Yes,Dual,Yes,No
628,CL40,No,No,Quad,Yes,No
629,CL40,No,No,Dual,No,Yes
630,CL15,No,No,Single,Yes,No
631,CL15,No,No,Quad,No,Yes
632,CL18,No,No,Dual,Yes,No
633,CL19,Yes,No,Single,No,Yes
634,CL16,No,No,Single,No,No
635,CL11,No,No,Single,No,No
636,CL38,Yes,No,Dual,No,Yes
637,CL19,Yes,Yes,Dual,Yes,Yes
638,CL18,Yes,Yes,Quad,No,No
639,CL11,No,No,Single,No,Yes
640,CL40,No,No,Single,Yes,No
641,CL18,No,No,Single,No,Yes
642,CL40,Yes,No,Quad,No,Yes
643,CL11,Yes,Yes,Quad,No,No
644,CL16,No,No,Dual,Yes,Yes
645,CL11,Yes,Yes,Single,Yes,Yes
646,CL13,No,No,Quad,No,No
647,CL36,Yes,No,Dual,Yes,No
648,CL36,Yes,Yes,Dual,Yes,No
649,CL38,No,No,Single,No,Yes
650,CL19,No,No,Quad,No,No
651,CL40,Yes,No,Dual,No,No
652,CL16,No,No,Single,No,Yes
653,CL13,No,No,Dual,Yes,Yes
654,CL19,Yes,No,Quad,No,Yes
655,CL11,Yes,No,Quad,No,No
656,CL15,Yes,No,Single,Yes,Yes
