Processor_ID,L3_Cache_MB,Lithography_nm,Integrated_GPU,PCIe_Version,Max_Memory_GB,Memory_Type,ECC_Support
135,12,14,No,4.0,16,DDR4,Yes
136,4,5,Yes,5.0,128,LPDDR5,Yes
137,96,7,Yes,4.0,512,LPDDR5,Yes
138,12,5,No,4.0,2048,HBM2,No
139,4,14,Yes,4.0,64,HBM2,Yes
140,2,3,No,3.0,16,LPDDR5X,No
141,128,7,No,4.0,1024,DDR4,No
142,64,3,No,3.0,16,HBM2,Yes
143,256,5,No,3.0,32,HBM2,No
144,256,10,No,5.0,4096,LPDDR4X,No
145,256,3,No,4.0,16,HBM2,No
146,16,10,Yes,3.0,256,DDR5,No
147,16,14,Yes,3.0,64,LPDDR5,No
148,64,5,Yes,5.0,4096,DDR5,Yes
149,16,5,Yes,4.0,256,DDR5,No
150,32,5,No,4.0,64,LPDDR4X,No
151,96,3,Yes,4.0,1024,LPDDR4X,No
152,16,14,No,5.0,2048,DDR5,No
153,128,5,Yes,4.0,4096,LPDDR5X,Yes
154,16,10,Yes,4.0,512,LPDDR5,No
155,8,7,No,4.0,2048,DDR5,No
156,4,10,Yes,5.0,64,LPDDR5X,Yes
157,256,10,No,5.0,1024,LPDDR5,Yes
158,4,7,No,5.0,512,LPDDR5X,No
159,8,7,Yes,3.0,256,DDR4,Yes
160,128,10,Yes,4.0,256,DDR5,Yes
161,96,5,No,4.0,2048,LPDDR5,Yes
162,256,5,Yes,5.0,32,LPDDR4X,No
163,2,5,No,4.0,32,LPDDR5,Yes
164,128,7,Yes,4.0,256,LPDDR4X,No
165,12,10,No,3.0,1024,LPDDR5,Yes
166,16,7,No,4.0,512,LPDDR5X,Yes
167,32,7,No,5.0,64,LPDDR5X,No
168,64,10,Yes,5.0,256,DDR5,No
169,12,5,Yes,5.0,32,DDR4,Yes
170,96,14,Yes,4.0,32,HBM2,Yes
171,8,14,Yes,5.0,64,LPDDR5,No
172,256,5,No,4.0,512,DDR5,Yes
173,128,10,No,4.0,16,DDR5,No
174,256,5,No,5.0,64,LPDDR5,Yes
175,128,5,No,5.0,1024,DDR4,Yes
176,4,7,No,5.0,128,DDR4,Yes
177,8,14,Yes,4.0,512,LPDDR5X,No
178,16,3,Yes,4.0,2048,LPDDR5X,No
179,2,14,Yes,3.0,16,LPDDR5,No
180,256,7,Yes,5.0,16,DDR5,Yes
181,32,10,No,5.0,256,HBM2,Yes
182,2,7,Yes,5.0,1024,HBM2,No
183,2,10,No,5.0,512,LPDDR5,Yes
184,32,5,No,4.0,2048,LPDDR4X,Yes
185,32,10,No,4.0,2048,LPDDR4X,Yes
186,32,5,Yes,5.0,256,LPDDR4X,Yes
187,12,10,Yes,4.0,512,HBM2,Yes
188,32,14,Yes,4.0,16,DDR5,No
189,8,14,Yes,5.0,256,LPDDR5,No
190,128,14,No,5.0,512,LPDDR5,No
191,16,14,No,5.0,512,LPDDR5X,Yes
192,64,7,Yes,3.0,128,LPDDR5X,No
193,8,5,Yes,3.0,16,DDR5,Yes
194,8,3,Yes,3.0,4096,LPDDR4X,Yes
195,96,7,Yes,5.0,4096,HBM2,No
196,256,7,Yes,5.0,32,LPDDR5,Yes
197,32,5,Yes,4.0,128,DDR5,Yes
198,64,7,No,3.0,2048,LPDDR5X,Yes
199,64,10,Yes,5.0,32,LPDDR4X,No
200,128,3,No,5.0,256,LPDDR4X,Yes
201,256,5,Yes,3.0,16,DDR5,Yes
202,64,10,No,4.0,512,DDR5,No
203,4,7,No,5.0,128,LPDDR5X,Yes
204,128,3,Yes,3.0,2048,DDR5,Yes
205,4,14,No,5.0,1024,LPDDR5X,No
206,4,7,No,4.0,256,LPDDR5,No
207,32,10,Yes,5.0,2048,LPDDR4X,No
208,96,7,No,5.0,1024,LPDDR5X,Yes
209,4,7,No,3.0,4096,LPDDR5X,Yes
210,32,5,No,5.0,32,HBM2,Yes
211,16,14,No,3.0,1024,DDR4,Yes
212,8,10,Yes,3.0,256,LPDDR5X,No
213,256,5,Yes,3.0,4096,HBM2,No
214,16,10,Yes,5.0,128,DDR4,No
215,2,3,Yes,4.0,128,HBM2,No
216,8,7,Yes,3.0,512,DDR5,No
217,128,14,No,5.0,256,LPDDR5,Yes
218,8,7,Yes,3.0,2048,LPDDR4X,Yes
219,64,14,Yes,5.0,128,HBM2,No
220,64,3,No,3.0,32,DDR4,No
221,96,7,Yes,3.0,1024,DDR4,Yes
222,16,3,Yes,5.0,16,HBM2,Yes
223,12,14,No,4.0,32,HBM2,No
224,16,3,Yes,4.0,1024,LPDDR4X,Yes
225,96,10,Yes,5.0,32,HBM2,Yes
226,32,7,No,5.0,32,DDR4,Yes
227,8,14,No,4.0,2048,LPDDR4X,No
228,256,5,No,3.0,1024,LPDDR4X,Yes
229,2,3,Yes,5.0,512,LPDDR5X,Yes
230,8,3,No,4.0,64,DDR4,No
231,256,5,Yes,4.0,2048,LPDDR4X,Yes
232,16,3,Yes,5.0,2048,LPDDR4X,No
233,12,14,No,4.0,256,LPDDR5X,No
234,12,10,Yes,4.0,128,LPDDR5,Yes
235,256,3,Yes,4.0,16,LPDDR5X,Yes
236,256,3,No,5.0,1024,LPDDR5,Yes
237,128,7,Yes,3.0,128,LPDDR5X,No
238,64,3,No,4.0,16,LPDDR5X,Yes
239,2,7,Yes,5.0,16,LPDDR4X,No
240,64,5,No,5.0,512,LPDDR5X,Yes
241,256,10,Yes,4.0,2048,DDR5,Yes
242,16,14,No,4.0,64,DDR4,Yes
243,12,10,Yes,5.0,64,LPDDR5,No
244,2,14,No,4.0,128,HBM2,Yes
245,32,3,No,4.0,16,LPDDR4X,Yes
246,4,10,No,5.0,32,HBM2,Yes
247,16,5,No,4.0,1024,LPDDR5,No
248,4,7,No,5.0,32,LPDDR4X,No
249,32,14,Yes,3.0,16,DDR4,No
250,12,3,No,3.0,32,DDR5,Yes
251,12,14,No,5.0,32,DDR5,No
252,32,10,Yes,5.0,1024,LPDDR4X,No
253,256,14,No,3.0,4096,DDR5,No
254,2,3,No,5.0,4096,LPDDR5,Yes
255,12,3,Yes,5.0,64,LPDDR5,Yes
256,12,14,Yes,5.0,512,LPDDR5,No
257,128,3,Yes,4.0,1024,LPDDR4X,Yes
258,2,3,Yes,4.0,64,DDR5,Yes
259,32,14,No,5.0,2048,LPDDR5,Yes
260,256,10,Yes,3.0,256,DDR5,No
261,64,3,Yes,5.0,64,LPDDR5X,No
262,128,5,Yes,5.0,32,DDR5,No
263,128,5,No,3.0,4096,LPDDR5,Yes
264,128,5,No,3.0,16,HBM2,Yes
265,8,5,No,4.0,4096,LPDDR5,No
266,96,7,No,5.0,512,HBM2,No
267,32,3,Yes,3.0,1024,HBM2,Yes
268,64,5,No,5.0,16,DDR5,No
269,256,10,Yes,4.0,128,HBM2,Yes
270,4,14,No,5.0,4096,LPDDR5X,No
271,4,3,Yes,5.0,256,LPDDR4X,Yes
272,96,5,Yes,4.0,32,LPDDR4X,Yes
273,16,10,No,3.0,1024,HBM2,No
274,12,5,Yes,3.0,128,LPDDR4X,Yes
275,96,3,Yes,5.0,16,LPDDR5,No
276,256,10,Yes,5.0,1024,LPDDR5,Yes
277,2,10,No,5.0,32,LPDDR4X,No
278,64,10,No,5.0,512,LPDDR4X,No
279,64,10,Yes,5.0,64,LPDDR5,Yes
280,8,14,Yes,4.0,2048,HBM2,Yes
281,4,7,Yes,5.0,4096,DDR5,No
282,32,5,No,3.0,32,DDR5,No
283,128,5,No,3.0,64,DDR4,Yes
284,2,5,Yes,3.0,256,LPDDR5X,Yes
285,8,14,Yes,5.0,512,LPDDR4X,No
286,256,5,No,4.0,2048,LPDDR5X,Yes
287,96,3,Yes,5.0,2048,LPDDR5,No
288,64,5,Yes,4.0,32,LPDDR5,Yes
289,96,3,No,4.0,2048,DDR5,No
290,2,10,Yes,3.0,16,LPDDR5,Yes
291,8,14,No,4.0,32,LPDDR5X,No
292,96,10,Yes,3.0,2048,HBM2,Yes
293,128,14,No,4.0,256,DDR5,No
294,12,14,Yes,5.0,2048,HBM2,Yes
295,8,3,Yes,3.0,2048,DDR5,No
296,96,5,No,5.0,2048,DDR5,Yes
297,96,7,No,5.0,512,LPDDR5,Yes
298,128,5,Yes,5.0,2048,LPDDR5X,Yes
299,2,10,Yes,4.0,128,DDR4,Yes
300,12,5,Yes,4.0,16,LPDDR4X,No
301,4,14,Yes,5.0,1024,DDR5,Yes
302,64,14,Yes,3.0,4096,LPDDR5,No
303,64,7,Yes,5.0,4096,DDR5,No
304,128,10,No,3.0,256,DDR5,Yes
305,256,10,Yes,4.0,256,DDR4,No
306,2,3,No,3.0,16,LPDDR4X,No
307,32,3,Yes,4.0,4096,HBM2,Yes
308,4,5,Yes,5.0,1024,LPDDR4X,Yes
309,128,3,Yes,3.0,32,LPDDR4X,No
310,16,10,No,5.0,2048,LPDDR5X,Yes
311,256,10,No,3.0,512,HBM2,Yes
312,256,10,Yes,4.0,4096,DDR4,No
313,32,14,Yes,4.0,1024,DDR5,No
314,96,3,Yes,3.0,128,LPDDR5X,No
315,128,7,Yes,5.0,256,LPDDR5,Yes
316,256,10,No,3.0,64,LPDDR5,No
317,128,10,No,3.0,64,LPDDR4X,Yes
318,16,10,Yes,3.0,64,DDR5,Yes
319,8,3,No,5.0,512,DDR5,No
320,12,10,Yes,3.0,64,LPDDR5,No
321,256,3,Yes,5.0,32,LPDDR5,No
322,64,7,No,4.0,64,LPDDR5,No
323,256,3,Yes,4.0,1024,LPDDR4X,No
324,4,14,No,5.0,512,DDR4,No
325,8,10,Yes,3.0,16,LPDDR5,No
326,2,5,No,4.0,4096,DDR4,No
327,128,10,Yes,3.0,64,DDR4,No
328,16,3,Yes,4.0,512,DDR4,Yes
329,4,7,No,5.0,1024,LPDDR5X,Yes
330,32,7,No,3.0,2048,LPDDR5X,No
331,256,5,No,3.0,512,LPDDR4X,Yes
332,2,14,No,4.0,1024,HBM2,Yes
333,96,3,No,4.0,1024,HBM2,Yes
334,16,14,No,4.0,4096,DDR5,No
335,32,5,No,3.0,4096,LPDDR4X,Yes
336,32,5,No,4.0,64,DDR4,Yes
337,2,14,No,3.0,256,HBM2,Yes
338,4,14,Yes,3.0,4096,LPDDR4X,No
339,8,14,No,5.0,16,DDR4,No
340,128,14,No,5.0,64,DDR4,No
341,32,7,No,4.0,16,DDR4,No
342,4,7,Yes,4.0,4096,LPDDR5,No
343,256,5,No,5.0,512,LPDDR5X,Yes
344,64,14,Yes,5.0,1024,LPDDR4X,No
345,96,3,No,4.0,2048,DDR5,Yes
346,128,5,Yes,4.0,16,LPDDR4X,Yes
347,64,5,No,4.0,4096,DDR5,Yes
348,2,10,No,5.0,1024,DDR5,Yes
349,64,7,Yes,3.0,1024,LPDDR5X,Yes
350,256,5,No,3.0,2048,HBM2,Yes
351,4,3,No,5.0,16,LPDDR4X,Yes
352,256,7,No,3.0,2048,LPDDR5X,Yes
353,256,7,No,4.0,16,HBM2,Yes
354,128,14,No,3.0,64,LPDDR5X,Yes
355,4,14,Yes,4.0,1024,LPDDR5,No
356,96,5,No,5.0,16,DDR4,No
357,12,3,Yes,5.0,512,HBM2,Yes
358,12,7,No,3.0,16,DDR4,Yes
359,256,10,Yes,5.0,64,LPDDR4X,No
360,4,7,Yes,4.0,1024,LPDDR4X,Yes
361,4,10,No,3.0,32,LPDDR5,No
362,16,10,No,4.0,16,LPDDR5X,No
363,32,7,No,4.0,16,HBM2,Yes
364,16,5,Yes,5.0,512,LPDDR5,Yes
365,128,7,No,5.0,2048,DDR4,Yes
366,128,10,Yes,3.0,16,HBM2,Yes
367,16,14,No,5.0,64,LPDDR5X,Yes
368,256,3,Yes,4.0,128,DDR4,Yes
369,256,14,Yes,3.0,1024,DDR5,Yes
370,96,10,Yes,3.0,256,LPDDR5X,No
371,16,7,No,3.0,4096,DDR5,Yes
372,4,10,No,4.0,64,DDR5,Yes
373,2,3,Yes,3.0,16,LPDDR5,Yes
374,32,10,Yes,3.0,1024,DDR5,No
375,8,5,Yes,5.0,512,LPDDR4X,Yes
376,32,10,No,5.0,64,HBM2,Yes
377,64,10,Yes,4.0,1024,LPDDR5X,Yes
378,64,5,Yes,4.0,2048,DDR5,Yes
379,16,10,No,5.0,16,LPDDR5,No
380,32,3,Yes,4.0,1024,LPDDR4X,Yes
381,32,7,Yes,5.0,4096,HBM2,Yes
382,32,7,No,5.0,1024,LPDDR4X,Yes
383,32,14,Yes,4.0,32,DDR4,No
384,2,7,No,5.0,4096,DDR5,No
385,64,3,No,5.0,512,LPDDR5,No
386,2,10,No,4.0,2048,DDR5,Yes
387,16,7,Yes,3.0,4096,HBM2,Yes
388,64,5,Yes,4.0,512,DDR5,Yes
389,96,7,Yes,5.0,2048,DDR4,Yes
390,256,10,Yes,4.0,128,DDR4,Yes
391,32,5,Yes,5.0,1024,LPDDR4X,No
392,96,5,No,4.0,64,HBM2,No
393,256,5,Yes,3.0,1024,HBM2,No
394,16,3,No,4.0,4096,HBM2,No
395,16,5,Yes,4.0,128,DDR4,Yes
396,32,3,Yes,4.0,64,LPDDR5X,Yes
397,32,14,No,4.0,4096,HBM2,Yes
398,32,14,No,3.0,16,DDR5,No
399,128,3,Yes,4.0,2048,DDR4,Yes
400,16,14,Yes,3.0,64,HBM2,Yes
401,96,5,Yes,3.0,32,DDR4,Yes
402,12,10,No,3.0,32,DDR5,No
403,12,7,Yes,5.0,16,HBM2,Yes
404,128,10,No,3.0,512,DDR4,No
405,16,5,No,5.0,2048,DDR5,No
406,4,5,No,5.0,32,DDR4,Yes
407,64,14,Yes,4.0,2048,LPDDR4X,No
408,96,5,Yes,5.0,64,DDR4,Yes
409,4,14,No,4.0,128,LPDDR4X,No
410,32,5,No,4.0,16,DDR4,Yes
411,256,5,No,4.0,4096,DDR5,Yes
412,8,7,No,5.0,16,HBM2,No
413,256,14,Yes,4.0,32,LPDDR4X,Yes
414,256,14,No,4.0,1024,LPDDR4X,Yes
415,4,3,Yes,4.0,256,DDR4,No
416,32,14,No,5.0,256,LPDDR5,No
417,8,3,No,3.0,2048,LPDDR4X,No
418,4,10,No,4.0,256,HBM2,Yes
419,64,5,Yes,3.0,64,LPDDR4X,Yes
420,4,7,No,3.0,1024,LPDDR4X,Yes
421,4,10,Yes,4.0,512,LPDDR5X,No
422,256,14,No,5.0,512,HBM2,Yes
423,16,14,Yes,5.0,16,HBM2,Yes
424,64,7,No,3.0,128,LPDDR4X,Yes
425,32,5,Yes,3.0,256,LPDDR5X,Yes
426,8,14,No,3.0,256,LPDDR4X,Yes
427,8,3,No,4.0,128,DDR4,No
428,12,7,Yes,3.0,1024,LPDDR5X,No
429,96,5,Yes,3.0,128,DDR5,No
430,64,10,No,3.0,16,LPDDR4X,No
431,32,5,Yes,5.0,1024,HBM2,No
432,256,14,Yes,4.0,4096,LPDDR5X,No
433,96,10,Yes,4.0,4096,LPDDR5,Yes
434,16,3,No,5.0,512,LPDDR5,Yes
435,16,10,No,4.0,32,LPDDR5,Yes
436,16,10,Yes,5.0,4096,LPDDR4X,Yes
437,32,14,No,5.0,32,LPDDR5,No
438,16,3,Yes,4.0,16,HBM2,No
439,64,14,No,4.0,64,DDR5,No
440,64,7,Yes,4.0,32,LPDDR4X,Yes
441,64,14,Yes,5.0,512,LPDDR5,Yes
442,8,7,Yes,5.0,1024,LPDDR4X,Yes
443,4,3,Yes,3.0,2048,DDR5,Yes
444,32,10,Yes,3.0,32,HBM2,No
445,256,5,No,5.0,512,HBM2,No
446,8,10,No,5.0,4096,DDR5,Yes
447,96,3,Yes,3.0,256,LPDDR5X,No
448,96,3,No,3.0,16,LPDDR5X,Yes
449,32,5,No,3.0,64,LPDDR4X,Yes
450,64,5,No,4.0,64,LPDDR5X,Yes
451,96,7,Yes,3.0,4096,DDR4,Yes
452,4,3,Yes,3.0,4096,DDR5,No
453,2,5,No,3.0,32,LPDDR5X,Yes
454,96,3,No,5.0,32,DDR5,No
455,96,7,No,5.0,64,DDR4,No
456,64,5,No,5.0,512,DDR4,No
457,2,10,Yes,5.0,4096,LPDDR4X,No
458,64,5,Yes,5.0,2048,HBM2,No
459,16,10,Yes,5.0,4096,LPDDR4X,No
460,2,7,No,5.0,4096,LPDDR4X,Yes
461,16,7,Yes,5.0,1024,LPDDR5X,Yes
462,2,5,Yes,4.0,128,LPDDR5,Yes
463,96,5,Yes,3.0,4096,DDR5,No
464,128,7,Yes,5.0,1024,DDR4,Yes
465,2,10,Yes,5.0,1024,DDR4,No
466,16,3,No,4.0,1024,LPDDR5,Yes
467,64,5,Yes,4.0,512,LPDDR5X,Yes
468,128,14,Yes,5.0,4096,LPDDR5X,Yes
469,12,10,No,3.0,4096,LPDDR5X,No
470,4,14,Yes,5.0,64,LPDDR4X,Yes
471,2,7,No,3.0,512,DDR5,No
472,128,5,Yes,4.0,16,LPDDR4X,No
473,256,14,Yes,5.0,64,LPDDR4X,No
474,128,5,Yes,3.0,2048,LPDDR5X,No
475,12,3,No,3.0,64,HBM2,Yes
476,32,7,No,5.0,2048,LPDDR4X,Yes
477,2,10,No,5.0,2048,LPDDR5,Yes
478,8,14,Yes,4.0,512,DDR5,No
479,96,7,Yes,4.0,2048,HBM2,Yes
480,4,10,No,5.0,128,LPDDR5X,No
481,2,7,No,4.0,256,DDR4,No
482,64,10,No,3.0,16,HBM2,Yes
483,2,3,No,4.0,128,DDR4,No
484,256,14,Yes,3.0,16,LPDDR5,No
485,128,14,No,4.0,1024,DDR4,No
486,2,5,No,5.0,128,DDR4,Yes
487,96,10,Yes,3.0,16,DDR4,Yes
488,256,7,No,4.0,16,LPDDR5X,Yes
489,4,7,Yes,5.0,2048,HBM2,No
490,2,10,Yes,4.0,128,DDR5,No
491,128,14,Yes,4.0,2048,DDR5,No
492,12,10,Yes,3.0,64,LPDDR4X,Yes
493,8,3,No,5.0,32,DDR4,Yes
494,256,10,No,3.0,512,DDR5,Yes
495,8,3,No,5.0,4096,LPDDR4X,No
496,256,14,Yes,3.0,128,LPDDR5,Yes
497,16,5,No,3.0,16,LPDDR5,No
498,12,7,Yes,4.0,32,LPDDR4X,Yes
499,16,7,Yes,5.0,64,HBM2,No
500,8,5,Yes,3.0,128,LPDDR5,Yes
501,64,10,No,4.0,4096,DDR4,No
502,64,3,No,4.0,16,LPDDR5X,Yes
503,4,7,No,5.0,256,DDR4,Yes
504,16,3,Yes,4.0,16,LPDDR4X,Yes
505,12,10,Yes,4.0,1024,HBM2,No
506,64,3,Yes,5.0,512,LPDDR5X,No
507,16,5,Yes,4.0,128,DDR5,No
508,128,7,Yes,5.0,128,LPDDR5,No
509,2,14,No,4.0,512,HBM2,No
510,4,3,Yes,5.0,2048,DDR5,No
511,2,7,Yes,4.0,512,DDR5,Yes
512,96,14,Yes,3.0,1024,DDR5,Yes
513,12,14,Yes,5.0,64,DDR4,No
514,12,14,No,4.0,64,DDR4,No
515,2,14,Yes,4.0,256,LPDDR5X,No
516,8,7,Yes,5.0,512,HBM2,No
517,2,10,Yes,5.0,32,LPDDR4X,Yes
518,2,10,No,5.0,512,DDR5,No
519,128,14,Yes,5.0,128,LPDDR5X,No
520,8,10,Yes,3.0,64,LPDDR5X,Yes
521,16,7,No,5.0,128,LPDDR4X,No
522,96,14,No,4.0,32,LPDDR4X,Yes
523,96,10,Yes,3.0,16,DDR4,No
524,4,5,Yes,3.0,1024,LPDDR4X,No
525,32,14,Yes,4.0,2048,HBM2,Yes
526,4,3,Yes,4.0,64,LPDDR5,No
527,32,10,No,5.0,128,HBM2,No
528,16,5,Yes,3.0,512,DDR5,Yes
529,12,7,No,4.0,32,HBM2,Yes
530,4,14,Yes,4.0,16,HBM2,Yes
531,32,3,No,4.0,512,HBM2,No
532,64,10,Yes,5.0,32,LPDDR5X,No
533,2,7,No,3.0,2048,LPDDR5,Yes
534,128,14,Yes,4.0,32,LPDDR4X,No
535,2,10,No,4.0,256,DDR5,No
536,256,14,No,4.0,1024,HBM2,No
537,256,7,Yes,4.0,1024,LPDDR5X,Yes
538,256,10,Yes,4.0,16,LPDDR5X,No
539,2,3,No,4.0,4096,HBM2,Yes
540,12,10,Yes,3.0,2048,HBM2,No
541,128,7,No,5.0,128,HBM2,No
542,16,10,Yes,3.0,128,HBM2,Yes
543,96,10,Yes,3.0,4096,HBM2,No
544,8,5,Yes,4.0,1024,LPDDR4X,No
545,256,3,No,4.0,32,LPDDR5X,Yes
546,2,5,No,3.0,4096,LPDDR5X,Yes
547,12,10,Yes,5.0,256,DDR4,Yes
548,128,7,No,3.0,2048,HBM2,No
549,12,10,Yes,5.0,512,LPDDR4X,Yes
550,16,5,Yes,5.0,128,DDR4,No
551,256,10,Yes,4.0,32,LPDDR5X,Yes
552,12,7,Yes,3.0,1024,DDR5,No
553,4,14,Yes,4.0,1024,DDR5,No
554,8,10,No,5.0,256,DDR4,No
555,64,3,Yes,4.0,32,LPDDR4X,No
556,2,5,Yes,4.0,2048,LPDDR5X,Yes
557,128,3,Yes,5.0,2048,DDR5,Yes
558,4,7,Yes,5.0,32,LPDDR4X,No
559,256,5,Yes,4.0,16,LPDDR5X,No
560,96,10,Yes,5.0,4096,DDR5,No
561,128,7,Yes,4.0,2048,DDR5,Yes
