chicken_id,breed_id,farm_id,farmer_id,gender,hatch_date,age_days,weight_kg,height_cm,production_type,health_status,vaccination_status,egg_production_weekly,province,feed_type_id,market_value
51,6,52,63,Male,9/7/2022,481,3.82,56.1,Dual Purpose,Under Treatment,None,5,Jawa Timur,1,107786
52,4,27,14,Male,4/24/2023,252,2.02,30.6,Egg,Healthy,None,0,Jawa Barat,1,41772
53,15,20,8,Female,11/12/2023,50,1.42,67.6,Fighting,Under Treatment,Partial,0,Banten,7,103804
54,7,44,66,Female,5/21/2022,590,4.11,52.5,Egg,Recovered,Partial,7,Jawa Barat,5,48426
55,4,164,59,Male,3/5/2022,667,3.95,55.3,Fighting,Recovered,None,4,Sulawesi Selatan,2,138771
56,15,194,5,Male,8/5/2023,149,1.41,29.5,Ornamental,Recovered,None,6,Sulawesi Selatan,6,34342
57,6,152,52,Female,7/31/2022,519,3.66,66.5,Dual Purpose,Minor Issues,None,0,DI Yogyakarta,3,125544
58,13,107,88,Male,1/18/2022,713,3.96,66,Egg,Under Treatment,Partial,0,Jawa Timur,2,46955
59,6,37,93,Male,8/30/2023,124,2.09,39.7,Ornamental,Recovered,Partial,7,Sulawesi Selatan,7,94299
60,8,135,48,Male,2/4/2023,331,3.16,50.7,Fighting,Under Treatment,Partial,7,Jawa Barat,1,116997
61,4,15,65,Male,3/3/2022,669,4,38.7,Fighting,Recovered,Partial,4,Jawa Barat,1,119606
62,1,51,65,Male,12/31/2022,366,2.88,42.7,Fighting,Minor Issues,None,0,Sumatera Utara,3,134157
63,12,66,82,Female,11/17/2023,45,3.92,29.4,Ornamental,Healthy,Partial,0,Sumatera Utara,3,60576
64,4,100,31,Female,6/19/2023,196,3.83,55.7,Dual Purpose,Recovered,Partial,0,Jawa Timur,5,93270
65,14,98,90,Female,4/4/2022,637,2.96,45.9,Ornamental,Healthy,Complete,0,Jawa Barat,3,34629
66,5,32,11,Female,8/26/2022,493,3.45,60,Egg,Minor Issues,None,0,Jawa Tengah,6,72704
67,8,32,32,Male,10/15/2023,78,3,30.5,Egg,Minor Issues,Complete,0,Lampung,5,108881
68,5,110,42,Female,3/11/2022,661,3.05,45.8,Dual Purpose,Recovered,None,2,Banten,1,90792
69,11,6,23,Female,4/11/2022,630,3.27,31.4,Meat,Recovered,None,0,Kalimantan Selatan,1,83635
70,2,35,45,Male,10/8/2023,85,3.07,47.4,Dual Purpose,Minor Issues,None,0,Jawa Tengah,1,148941
71,3,25,96,Male,8/9/2023,145,1.69,29.2,Fighting,Minor Issues,Complete,0,Jawa Tengah,3,90441
72,13,166,17,Male,12/22/2022,375,1.42,56.4,Ornamental,Recovered,Partial,1,Lampung,4,43420
73,6,4,7,Female,9/17/2023,106,2.21,31.4,Dual Purpose,Healthy,None,7,Sumatera Utara,8,112914
74,13,87,20,Male,9/5/2023,118,2.72,63.9,Egg,Healthy,Complete,6,Kalimantan Selatan,2,70518
75,14,95,80,Female,7/19/2022,531,2.25,29.6,Egg,Minor Issues,Complete,0,DI Yogyakarta,2,145500
76,12,44,81,Male,8/6/2023,148,1.39,29.8,Meat,Healthy,None,3,Jawa Tengah,3,106596
77,5,145,29,Male,5/19/2022,592,3.73,45.2,Fighting,Healthy,None,0,Sumatera Utara,6,109501
78,10,57,81,Female,2/18/2022,682,2.98,38.5,Meat,Recovered,None,0,Sulawesi Selatan,5,51837
79,10,48,26,Female,11/24/2022,403,1.61,68,Dual Purpose,Minor Issues,Complete,0,Jawa Tengah,7,69223
80,14,194,11,Male,4/2/2022,639,3.5,32.3,Meat,Healthy,Partial,1,Lampung,4,123683
81,9,31,86,Male,2/17/2022,683,4.21,42.7,Egg,Under Treatment,Complete,2,Sulawesi Selatan,2,109190
82,14,20,50,Female,11/10/2023,52,4.02,57.5,Meat,Under Treatment,None,2,Jawa Barat,2,93571
83,10,97,60,Female,3/16/2023,291,3.94,69.3,Egg,Healthy,Partial,1,Jawa Barat,7,94920
84,4,152,25,Female,9/14/2023,109,2.33,34,Dual Purpose,Healthy,Complete,7,Bali,2,78703
85,14,134,2,Male,5/1/2022,610,2.81,59,Dual Purpose,Minor Issues,None,0,DI Yogyakarta,2,58628
86,2,111,9,Male,3/2/2023,305,1.52,66.6,Egg,Minor Issues,Partial,0,DI Yogyakarta,3,101587
87,5,63,51,Female,3/5/2023,302,1.19,29.6,Egg,Under Treatment,None,0,Banten,5,104492
88,12,39,90,Male,4/13/2022,628,4.19,68.6,Dual Purpose,Recovered,None,6,Lampung,1,112407
89,10,93,49,Female,7/4/2023,181,2.38,63.5,Egg,Healthy,Partial,1,Lampung,8,71194
90,4,183,70,Female,7/9/2022,541,2.26,47.9,Meat,Minor Issues,None,2,Jawa Timur,7,110606
91,12,38,42,Female,3/12/2023,295,0.97,28,Ornamental,Healthy,None,0,Sulawesi Selatan,1,31109
92,10,168,27,Female,10/15/2022,443,2.8,67.2,Meat,Minor Issues,Complete,0,DI Yogyakarta,7,92398
93,2,192,24,Female,2/2/2022,698,3.78,69.6,Dual Purpose,Under Treatment,Partial,0,Lampung,7,54487
94,8,63,49,Female,5/9/2022,602,4.46,34.6,Egg,Healthy,Partial,0,Jawa Barat,7,96233
95,1,136,52,Female,3/8/2023,299,2.94,69.1,Ornamental,Under Treatment,Partial,3,Lampung,6,39322
96,4,30,89,Female,7/20/2023,165,4.17,52.4,Dual Purpose,Minor Issues,Partial,0,Jawa Timur,5,36949
97,12,68,34,Male,1/12/2022,719,1.37,32.5,Meat,Minor Issues,None,0,Lampung,5,93063
98,6,69,12,Female,1/24/2022,707,1.84,68.5,Ornamental,Healthy,Partial,0,Sulawesi Selatan,4,75743
99,13,162,45,Male,10/15/2022,443,1.72,51.4,Egg,Recovered,Partial,2,Bali,6,123088
100,11,130,18,Female,9/28/2023,95,2.27,38.3,Dual Purpose,Healthy,Complete,4,Sulawesi Selatan,7,125339
101,12,116,43,Female,12/17/2023,15,4.18,49.6,Egg,Under Treatment,Complete,2,Lampung,2,115996
102,1,54,45,Male,6/16/2023,199,1.77,52.5,Dual Purpose,Under Treatment,Complete,2,Jawa Timur,3,69710
103,3,69,88,Female,11/2/2023,60,1.52,45.4,Egg,Under Treatment,Partial,0,Jawa Barat,7,62308
104,6,113,87,Male,10/9/2022,449,3.63,67.5,Egg,Under Treatment,Complete,2,Bali,4,131162
105,5,102,62,Male,3/14/2023,293,1.38,51.8,Fighting,Minor Issues,Complete,0,Lampung,5,120058
106,2,101,59,Female,10/18/2022,440,3.33,34.3,Dual Purpose,Healthy,None,0,Jawa Barat,1,131844
107,2,155,37,Female,7/12/2023,173,1.77,58.4,Meat,Recovered,None,5,Jawa Timur,5,97330
108,12,108,26,Male,6/8/2023,207,1.91,62.8,Meat,Recovered,Partial,0,DI Yogyakarta,3,66741
109,3,30,24,Female,3/5/2022,667,2.56,69.6,Dual Purpose,Recovered,Complete,0,Kalimantan Selatan,8,62583
110,1,198,100,Male,10/26/2022,432,2.63,25.1,Egg,Under Treatment,Complete,3,Jawa Tengah,6,54068
111,8,67,48,Male,1/4/2022,727,3.17,39.8,Dual Purpose,Under Treatment,Partial,7,Jawa Barat,2,97255
112,4,159,87,Male,11/27/2022,400,3.49,26.4,Dual Purpose,Recovered,Partial,6,Lampung,4,65914
113,8,22,66,Male,12/26/2023,6,3.97,56.8,Egg,Healthy,None,0,Banten,6,103581
114,9,4,52,Male,10/15/2023,78,3.05,68.7,Meat,Recovered,Partial,5,DI Yogyakarta,7,42144
115,7,110,43,Male,6/29/2022,551,1.21,36.3,Dual Purpose,Healthy,Complete,5,Bali,7,149013
116,11,176,80,Female,10/26/2023,67,1.65,61.8,Fighting,Healthy,Partial,5,Jawa Barat,5,147738
117,10,42,5,Male,4/22/2023,254,1.44,59.6,Fighting,Minor Issues,Partial,2,Sumatera Utara,4,32508
118,9,80,53,Male,1/6/2022,725,2.16,33,Egg,Healthy,Complete,0,Jawa Timur,8,47267
119,7,135,85,Male,11/6/2023,56,4.21,41.6,Egg,Healthy,None,4,Bali,2,75612
120,3,50,26,Female,10/30/2022,428,3.67,27.2,Fighting,Minor Issues,None,0,Banten,6,58611
121,6,46,69,Male,5/13/2022,598,3.73,56.8,Dual Purpose,Under Treatment,None,0,Lampung,4,108390
122,6,44,80,Male,5/11/2022,600,2.2,52.4,Dual Purpose,Under Treatment,Complete,0,Kalimantan Selatan,6,131219
123,11,179,50,Male,9/23/2023,100,2.86,32.7,Fighting,Minor Issues,Complete,2,Sulawesi Selatan,3,141187
124,8,145,64,Male,2/9/2023,326,4.1,61.9,Meat,Under Treatment,None,5,Sulawesi Selatan,1,48651
125,2,125,10,Female,10/1/2023,92,3.32,40,Fighting,Healthy,None,0,Banten,6,109811
126,15,176,8,Male,1/29/2022,702,2.86,60.7,Egg,Recovered,Partial,6,DI Yogyakarta,5,131710
127,15,10,84,Female,4/16/2022,625,2.04,27.7,Egg,Recovered,Partial,5,Jawa Tengah,3,145919
128,12,54,42,Male,6/4/2022,576,1.99,60.9,Egg,Minor Issues,Partial,5,Sumatera Utara,5,68315
129,14,131,3,Male,12/19/2022,378,1.3,38.2,Meat,Under Treatment,None,3,Lampung,3,88097
130,8,92,7,Male,6/15/2023,200,2.81,45.5,Fighting,Under Treatment,None,7,Jawa Timur,5,78854
131,4,124,77,Female,3/9/2023,298,3.62,53.2,Meat,Minor Issues,Complete,0,Jawa Barat,8,94746
132,15,178,41,Female,9/11/2022,477,0.82,55.7,Dual Purpose,Under Treatment,Partial,3,Bali,3,83309
133,12,2,62,Female,3/12/2022,660,2.96,58.7,Meat,Under Treatment,None,0,Jawa Tengah,5,69858
134,10,139,7,Male,9/11/2023,112,1.76,67.3,Dual Purpose,Minor Issues,Partial,0,Jawa Timur,6,51048
135,4,129,74,Male,9/9/2022,479,3.82,68.6,Egg,Under Treatment,None,6,Sulawesi Selatan,3,124030
136,10,133,39,Female,3/1/2022,671,4.43,55.9,Egg,Healthy,Complete,0,Jawa Timur,3,47280
137,13,41,34,Male,5/10/2022,601,1.97,29.4,Meat,Recovered,None,3,Lampung,2,130698
138,1,188,50,Male,11/8/2023,54,1.88,27.3,Dual Purpose,Under Treatment,Complete,2,Jawa Barat,7,115526
139,3,104,21,Female,4/2/2023,274,2.27,46.2,Ornamental,Healthy,None,0,DI Yogyakarta,2,118644
140,7,87,11,Male,12/12/2023,20,3.25,51.6,Fighting,Healthy,Complete,5,Banten,8,109420
141,11,135,47,Male,2/2/2023,333,4.35,26.9,Dual Purpose,Recovered,Complete,0,Lampung,5,111932
142,2,84,43,Male,5/16/2023,230,2.82,53,Dual Purpose,Minor Issues,None,1,Jawa Barat,1,81425
143,15,124,9,Male,10/12/2023,81,4.08,59.9,Egg,Recovered,None,0,Sulawesi Selatan,8,137198
144,10,19,76,Female,4/22/2023,254,1.3,29.1,Egg,Recovered,None,6,Sulawesi Selatan,4,114784
145,3,99,92,Male,8/22/2023,132,1.17,45.2,Ornamental,Recovered,Complete,5,Lampung,1,26759
146,7,189,10,Male,8/28/2023,126,3.66,45.5,Ornamental,Healthy,Complete,5,Sumatera Utara,5,72689
147,7,76,46,Male,6/15/2023,200,3.71,69.5,Fighting,Recovered,None,0,Banten,8,39321
148,8,145,28,Male,10/1/2023,92,1.22,68.1,Dual Purpose,Under Treatment,None,5,Kalimantan Selatan,2,63076
149,6,62,59,Male,3/8/2023,299,4.33,34.3,Ornamental,Recovered,Complete,0,Lampung,4,43528
150,3,174,54,Female,12/27/2023,5,0.93,32.2,Fighting,Under Treatment,Complete,6,Banten,8,63177
151,5,8,50,Female,8/1/2022,518,2.31,37.5,Fighting,Under Treatment,Partial,0,Jawa Timur,3,40844
152,10,26,11,Female,10/8/2023,85,0.89,36.9,Fighting,Under Treatment,None,0,Jawa Tengah,6,75516
153,4,77,9,Male,9/11/2022,477,2.86,34.4,Ornamental,Minor Issues,Partial,6,Jawa Barat,7,129888
154,13,110,30,Female,7/21/2022,529,1.5,28.2,Ornamental,Minor Issues,Complete,4,Sumatera Utara,4,112961
155,3,101,36,Male,1/31/2022,700,2.04,55.9,Egg,Minor Issues,None,0,Banten,6,104855
156,4,123,81,Female,3/11/2022,661,1.4,56.2,Meat,Minor Issues,Complete,0,Sulawesi Selatan,8,73944
157,6,176,2,Male,3/17/2023,290,2.59,68.2,Ornamental,Healthy,Partial,0,Jawa Barat,7,107864
158,12,58,67,Male,10/9/2023,84,1.46,40.3,Ornamental,Healthy,Partial,0,Lampung,4,96515
159,9,36,13,Female,9/30/2023,93,2.07,25.1,Ornamental,Healthy,Complete,0,Bali,4,99004
160,13,177,35,Male,2/5/2023,330,3.87,41.6,Dual Purpose,Healthy,Complete,3,Sulawesi Selatan,6,39358
161,8,135,65,Male,5/23/2022,588,3.68,67,Egg,Healthy,None,5,Banten,7,95473
162,4,74,16,Female,4/6/2022,635,3.2,46.6,Egg,Recovered,None,0,Jawa Tengah,7,120217
163,3,167,50,Female,11/5/2023,57,2.54,42.8,Egg,Minor Issues,Complete,4,Banten,3,46590
164,15,120,59,Female,9/25/2022,463,2,53.5,Egg,Minor Issues,Partial,0,Sumatera Utara,6,130627
165,2,22,52,Female,6/10/2023,205,3.85,28,Meat,Recovered,None,2,Kalimantan Selatan,3,93951
166,1,48,44,Male,11/30/2022,397,3.66,47.1,Ornamental,Recovered,None,1,Bali,6,131060
167,1,139,42,Female,9/3/2023,120,3,57.1,Dual Purpose,Under Treatment,None,1,DI Yogyakarta,6,84566
168,5,80,93,Male,3/30/2022,642,1.36,27.9,Meat,Minor Issues,Partial,2,Sumatera Utara,4,63889
169,14,126,86,Male,11/11/2023,51,1.69,43.7,Dual Purpose,Under Treatment,Complete,0,DI Yogyakarta,1,55994
170,12,115,25,Male,2/28/2022,672,1.32,47.1,Dual Purpose,Minor Issues,Partial,1,Jawa Barat,3,105658
171,11,179,30,Female,6/7/2023,208,1.46,65.2,Egg,Minor Issues,Complete,0,Jawa Barat,2,141571
172,13,12,75,Female,1/21/2022,710,2.55,30.1,Egg,Recovered,Partial,0,Banten,1,31691
173,6,168,10,Female,4/15/2023,261,1.59,31.1,Egg,Under Treatment,None,0,Jawa Tengah,6,31574
174,5,164,37,Female,10/2/2023,91,3.36,39.5,Fighting,Recovered,Partial,0,Lampung,2,145578
175,7,103,9,Female,10/27/2022,431,2.19,47.8,Fighting,Under Treatment,Partial,7,Kalimantan Selatan,3,33960
176,14,124,69,Female,2/18/2023,317,4.46,66.9,Dual Purpose,Healthy,Partial,2,Kalimantan Selatan,7,44372
177,12,158,6,Female,10/10/2022,448,3.65,65.8,Fighting,Minor Issues,Complete,7,Sulawesi Selatan,4,76824
178,2,88,67,Female,11/20/2022,407,2.65,37,Fighting,Recovered,None,4,Jawa Timur,5,117091
179,2,46,5,Male,6/7/2023,208,1.24,55.4,Ornamental,Recovered,None,0,Jawa Timur,2,122025
180,15,15,99,Female,5/21/2023,225,1.06,40.7,Ornamental,Healthy,Complete,6,Kalimantan Selatan,7,75818
181,14,21,93,Female,12/3/2023,29,2.22,48.9,Fighting,Recovered,Partial,0,Lampung,5,49085
182,15,180,23,Male,1/28/2023,338,3.19,44.7,Fighting,Recovered,Complete,1,DI Yogyakarta,5,63920
183,3,154,60,Female,5/16/2022,595,3.85,59.1,Fighting,Minor Issues,Complete,5,Sulawesi Selatan,5,65485
184,1,152,95,Female,8/24/2022,495,2.04,30.4,Meat,Under Treatment,Partial,0,Jawa Tengah,2,48036
185,5,44,91,Male,4/22/2022,619,4.33,27.5,Meat,Under Treatment,Complete,1,Jawa Barat,8,61195
186,2,48,84,Female,1/31/2022,700,4.41,68.3,Egg,Minor Issues,None,7,Jawa Tengah,1,54330
187,9,138,61,Female,11/20/2022,407,2.74,52.3,Meat,Healthy,None,2,Bali,7,141066
188,13,59,95,Male,2/24/2023,311,1.2,49.8,Egg,Minor Issues,Complete,4,DI Yogyakarta,7,119123
189,2,147,56,Male,10/16/2022,442,4.15,39.2,Meat,Minor Issues,Complete,0,Jawa Tengah,7,27860
190,4,132,54,Female,10/31/2022,427,3.69,44.5,Meat,Healthy,Partial,0,Jawa Timur,6,34597
191,10,39,36,Male,11/12/2022,415,1.48,31.3,Egg,Under Treatment,Partial,0,Jawa Tengah,3,140381
192,15,35,66,Female,2/21/2023,314,2.62,60.2,Egg,Under Treatment,Complete,7,Bali,8,149034
193,10,62,46,Male,10/3/2023,90,3,58.9,Fighting,Minor Issues,Complete,3,Jawa Timur,4,46908
194,9,101,85,Female,5/18/2022,593,2.48,68.4,Meat,Minor Issues,Partial,5,Lampung,3,43858
195,1,10,76,Female,6/24/2023,191,3.11,53.2,Meat,Recovered,Partial,0,Kalimantan Selatan,7,58694
196,2,114,93,Female,12/15/2023,17,0.89,63,Dual Purpose,Minor Issues,Partial,1,Sumatera Utara,8,51544
197,13,59,38,Female,11/20/2022,407,1.31,27.1,Meat,Under Treatment,Partial,0,Sumatera Utara,1,72761
198,15,46,11,Female,5/30/2023,216,2.01,39.2,Dual Purpose,Recovered,Complete,0,Bali,3,145892
199,15,93,61,Female,6/16/2022,564,4.03,29.7,Fighting,Under Treatment,Partial,0,Kalimantan Selatan,3,33877
200,3,25,40,Male,10/24/2023,69,0.87,68.1,Dual Purpose,Healthy,Complete,1,Jawa Barat,8,74199
201,13,35,60,Male,5/15/2022,596,2.59,29.8,Egg,Healthy,Complete,3,Jawa Tengah,7,138562
202,12,109,98,Female,9/14/2022,474,4.48,54.4,Dual Purpose,Under Treatment,Partial,0,Banten,5,72875
203,11,73,48,Male,6/20/2022,560,1.42,35.6,Egg,Under Treatment,None,0,Bali,8,103925
204,3,52,4,Female,12/18/2023,14,1.27,64.5,Dual Purpose,Healthy,Partial,0,Bali,7,134082
205,4,52,15,Male,10/28/2023,65,2.93,37.8,Egg,Healthy,Complete,6,Jawa Timur,7,30482
206,9,167,55,Female,11/22/2022,405,4.36,61.7,Dual Purpose,Minor Issues,Partial,6,Jawa Timur,4,90730
207,4,173,97,Female,10/16/2022,442,1.09,49.7,Fighting,Recovered,Complete,0,Jawa Timur,8,86824
208,6,183,19,Female,12/21/2023,11,2.85,43.3,Egg,Minor Issues,None,3,Kalimantan Selatan,2,28682
209,3,141,81,Female,8/16/2023,138,0.81,26.6,Dual Purpose,Minor Issues,Complete,6,Sumatera Utara,1,94030
210,13,198,84,Female,1/24/2023,342,3.18,27.5,Egg,Healthy,None,6,Sulawesi Selatan,7,142448
211,2,196,31,Male,5/9/2023,237,1.36,43.4,Dual Purpose,Recovered,Complete,0,Jawa Tengah,6,144874
212,13,175,75,Female,10/8/2022,450,3.56,44.3,Dual Purpose,Under Treatment,Partial,4,Lampung,2,114918
213,1,52,49,Female,7/10/2022,540,0.85,35.8,Dual Purpose,Recovered,Partial,0,Sulawesi Selatan,3,47041
214,10,71,5,Male,10/9/2023,84,2.52,30,Egg,Recovered,Complete,2,Jawa Timur,5,138386
215,11,57,52,Female,11/4/2023,58,1.8,35.6,Egg,Healthy,Complete,7,Sumatera Utara,6,103274
216,5,44,50,Female,5/15/2022,596,0.82,67.2,Fighting,Minor Issues,Partial,0,Jawa Barat,7,45818
217,3,164,25,Female,6/3/2022,577,1.14,56.3,Egg,Under Treatment,Complete,0,Sulawesi Selatan,5,133027
218,8,63,59,Female,4/10/2023,266,2.46,26,Meat,Recovered,Partial,0,Sumatera Utara,5,112254
219,7,172,37,Male,1/12/2022,719,2.66,63.8,Meat,Minor Issues,Complete,5,Sulawesi Selatan,8,68882
220,3,186,20,Male,11/17/2023,45,3.23,32.4,Fighting,Recovered,None,5,Jawa Tengah,1,61572
221,9,30,69,Female,10/17/2022,441,0.82,59,Egg,Minor Issues,Partial,0,Sulawesi Selatan,5,121308
222,12,22,63,Female,6/19/2023,196,1.15,41.8,Egg,Healthy,Partial,1,Banten,4,63306
223,1,99,62,Female,7/14/2023,171,2.1,32.9,Dual Purpose,Minor Issues,Partial,2,Bali,1,136858
224,1,64,7,Male,2/22/2022,678,3.49,58.6,Ornamental,Recovered,Complete,0,Jawa Timur,5,112571
225,15,168,65,Male,11/23/2022,404,3.25,29.3,Egg,Healthy,Complete,0,Banten,8,31520
226,13,184,90,Female,12/8/2022,389,4.4,25.7,Meat,Recovered,Partial,0,Jawa Timur,6,35731
227,9,127,35,Female,2/22/2022,678,3.05,65.5,Dual Purpose,Healthy,None,3,Jawa Timur,8,137523
228,12,135,32,Female,11/30/2022,397,2.89,61.8,Fighting,Minor Issues,None,3,Kalimantan Selatan,5,39264
229,12,37,36,Male,6/12/2023,203,2.61,25.4,Ornamental,Recovered,Complete,0,Sumatera Utara,2,135923
230,15,45,65,Male,9/7/2023,116,0.92,47.3,Meat,Under Treatment,Partial,2,DI Yogyakarta,1,49846
231,5,106,6,Male,1/23/2023,343,3.62,49.2,Fighting,Recovered,None,3,Banten,3,68672
232,1,33,7,Female,6/10/2023,205,3.31,69.6,Ornamental,Healthy,Complete,0,DI Yogyakarta,2,79322
233,4,5,25,Female,6/3/2023,212,2.53,63.7,Meat,Healthy,Complete,0,Jawa Barat,3,93713
234,6,142,30,Male,1/2/2023,364,2.66,54.7,Ornamental,Healthy,Partial,0,Jawa Timur,8,43025
235,9,134,77,Female,10/11/2023,82,2.31,30.3,Ornamental,Recovered,Complete,6,Lampung,8,147967
236,5,182,62,Female,3/11/2023,296,4.1,50.3,Meat,Healthy,Complete,4,Lampung,2,33349
237,2,199,10,Female,7/1/2023,184,4.05,42.2,Dual Purpose,Healthy,Complete,0,Jawa Barat,3,91015
238,15,159,38,Female,4/14/2023,262,3.28,44.8,Meat,Healthy,Partial,0,Bali,5,122108
239,2,146,38,Male,2/15/2023,320,2.96,43,Dual Purpose,Recovered,None,0,Banten,1,36916
240,4,149,64,Female,9/6/2023,117,3.41,46.1,Ornamental,Healthy,None,0,DI Yogyakarta,3,68011
241,1,193,58,Male,2/7/2022,693,2.1,42.5,Egg,Minor Issues,None,0,Banten,2,87616
