market_name,product_type,date,price_per_kg,supply_kg,demand_level
Pasar Cisalak,Live Chicken,2023-10-25,39134,166,Low
Pasar Cisalak,Live Chicken,2023-10-28,29174,1606,Medium
Pasar Cisalak,Live Chicken,2023-10-31,49134,530,Medium
Pasar Cisalak,Live Chicken,2023-11-03,39873,400,High
Pasar Cisalak,Live Chicken,2023-11-06,38148,1223,High
Pasar Cisalak,Live Chicken,2023-11-09,58821,586,Low
Pasar Cisalak,Live Chicken,2023-11-12,50059,1640,High
Pasar Cisalak,Live Chicken,2023-11-15,56643,2707,Medium
Pasar Cisalak,Live Chicken,2023-11-18,38397,880,High
Pasar Cisalak,Live Chicken,2023-11-21,45541,654,Low
Pasar Cisalak,Live Chicken,2023-11-24,24612,2297,Very High
Pasar Cisalak,Live Chicken,2023-11-27,45247,1434,Medium
Pasar Cisalak,Live Chicken,2023-11-30,35415,2454,Very High
Pasar Cisalak,Live Chicken,2023-12-03,57445,1965,Medium
Pasar Cisalak,Live Chicken,2023-12-06,36012,2364,Medium
Pasar Cisalak,Live Chicken,2023-12-09,33391,1052,Medium
Pasar Cisalak,Live Chicken,2023-12-12,41799,270,Medium
Pasar Cisalak,Live Chicken,2023-12-15,38359,996,Very High
Pasar Cisalak,Live Chicken,2023-12-18,43614,801,Very High
Pasar Cisalak,Live Chicken,2023-12-21,36561,1368,Low
Pasar Cisalak,Live Chicken,2023-12-24,55939,1802,Medium
Pasar Cisalak,Live Chicken,2023-12-27,46063,2632,Low
Pasar Cisalak,Live Chicken,2023-12-30,28637,948,High
Pasar Cisalak,Dressed Chicken,2023-01-01,29549,622,Low
Pasar Cisalak,Dressed Chicken,2023-01-04,27337,1661,Low
Pasar Cisalak,Dressed Chicken,2023-01-07,38171,1972,Very High
Pasar Cisalak,Dressed Chicken,2023-01-10,46076,522,Low
Pasar Cisalak,Dressed Chicken,2023-01-13,49262,2959,Medium
Pasar Cisalak,Dressed Chicken,2023-01-16,36165,2896,Medium
Pasar Cisalak,Dressed Chicken,2023-01-19,40773,2339,Low
Pasar Cisalak,Dressed Chicken,2023-01-22,34689,804,Medium
Pasar Cisalak,Dressed Chicken,2023-01-25,48275,2159,High
Pasar Cisalak,Dressed Chicken,2023-01-28,26741,1438,Very High
Pasar Cisalak,Dressed Chicken,2023-01-31,42161,1986,Medium
Pasar Cisalak,Dressed Chicken,2023-02-03,54651,2341,High
Pasar Cisalak,Dressed Chicken,2023-02-06,51989,1122,Low
Pasar Cisalak,Dressed Chicken,2023-02-09,30432,223,Very High
Pasar Cisalak,Dressed Chicken,2023-02-12,46281,1601,Medium
Pasar Cisalak,Dressed Chicken,2023-02-15,46919,2340,High
Pasar Cisalak,Dressed Chicken,2023-02-18,48142,1239,Low
Pasar Cisalak,Dressed Chicken,2023-02-21,44290,448,Very High
Pasar Cisalak,Dressed Chicken,2023-02-24,49736,2220,Low
Pasar Cisalak,Dressed Chicken,2023-02-27,43012,2743,Medium
Pasar Cisalak,Dressed Chicken,2023-03-02,44488,454,Medium
Pasar Cisalak,Dressed Chicken,2023-03-05,34062,1066,Medium
Pasar Cisalak,Dressed Chicken,2023-03-08,35445,2585,High
Pasar Cisalak,Dressed Chicken,2023-03-11,28986,1312,Low
Pasar Cisalak,Dressed Chicken,2023-03-14,42778,2351,Very High
Pasar Cisalak,Dressed Chicken,2023-03-17,28775,1316,High
Pasar Cisalak,Dressed Chicken,2023-03-20,41538,327,High
Pasar Cisalak,Dressed Chicken,2023-03-23,46323,1338,Low
Pasar Cisalak,Dressed Chicken,2023-03-26,31669,1961,Medium
Pasar Cisalak,Dressed Chicken,2023-03-29,34987,2793,High
Pasar Cisalak,Dressed Chicken,2023-04-01,45529,2328,High
Pasar Cisalak,Dressed Chicken,2023-04-04,45444,146,High
Pasar Cisalak,Dressed Chicken,2023-04-07,46575,2888,Very High
Pasar Cisalak,Dressed Chicken,2023-04-10,41271,2696,High
Pasar Cisalak,Dressed Chicken,2023-04-13,50447,118,Medium
Pasar Cisalak,Dressed Chicken,2023-04-16,48082,715,High
Pasar Cisalak,Dressed Chicken,2023-04-19,31506,108,Low
Pasar Cisalak,Dressed Chicken,2023-04-22,31727,2757,High
Pasar Cisalak,Dressed Chicken,2023-04-25,28980,983,High
Pasar Cisalak,Dressed Chicken,2023-04-28,30002,326,Medium
Pasar Cisalak,Dressed Chicken,2023-05-01,35999,1817,Low
Pasar Cisalak,Dressed Chicken,2023-05-04,46841,281,High
Pasar Cisalak,Dressed Chicken,2023-05-07,33037,568,High
Pasar Cisalak,Dressed Chicken,2023-05-10,52886,946,Medium
Pasar Cisalak,Dressed Chicken,2023-05-13,53832,570,Very High
Pasar Cisalak,Dressed Chicken,2023-05-16,41627,2245,Low
Pasar Cisalak,Dressed Chicken,2023-05-19,43246,2446,Very High
Pasar Cisalak,Dressed Chicken,2023-05-22,47455,1891,Very High
Pasar Cisalak,Dressed Chicken,2023-05-25,37509,2415,Medium
Pasar Cisalak,Dressed Chicken,2023-05-28,50750,1819,Low
Pasar Cisalak,Dressed Chicken,2023-05-31,35868,1493,Low
Pasar Cisalak,Dressed Chicken,2023-06-03,37837,648,Low
Pasar Cisalak,Dressed Chicken,2023-06-06,21961,656,Medium
Pasar Cisalak,Dressed Chicken,2023-06-09,55358,1048,Very High
Pasar Cisalak,Dressed Chicken,2023-06-12,49982,2587,Medium
Pasar Cisalak,Dressed Chicken,2023-06-15,37377,1613,Very High
Pasar Cisalak,Dressed Chicken,2023-06-18,34824,1368,Medium
Pasar Cisalak,Dressed Chicken,2023-06-21,44753,2452,Very High
Pasar Cisalak,Dressed Chicken,2023-06-24,31858,2143,Low
Pasar Cisalak,Dressed Chicken,2023-06-27,30823,2530,Very High
Pasar Cisalak,Dressed Chicken,2023-06-30,44072,131,Medium
Pasar Cisalak,Dressed Chicken,2023-07-03,57748,711,High
Pasar Cisalak,Dressed Chicken,2023-07-06,50255,303,Very High
Pasar Cisalak,Dressed Chicken,2023-07-09,38333,2019,Very High
Pasar Cisalak,Dressed Chicken,2023-07-12,58361,2431,Low
Pasar Cisalak,Dressed Chicken,2023-07-15,40686,1131,Medium
Pasar Cisalak,Dressed Chicken,2023-07-18,50220,1468,Very High
Pasar Cisalak,Dressed Chicken,2023-07-21,50096,1891,Very High
Pasar Cisalak,Dressed Chicken,2023-07-24,51306,1162,Medium
Pasar Cisalak,Dressed Chicken,2023-07-27,48176,645,Medium
Pasar Cisalak,Dressed Chicken,2023-07-30,48609,1198,High
Pasar Cisalak,Dressed Chicken,2023-08-02,34189,2412,High
Pasar Cisalak,Dressed Chicken,2023-08-05,38774,1161,Low
Pasar Cisalak,Dressed Chicken,2023-08-08,34144,737,Very High
Pasar Cisalak,Dressed Chicken,2023-08-11,53907,569,High
Pasar Cisalak,Dressed Chicken,2023-08-14,37071,1618,Medium
Pasar Cisalak,Dressed Chicken,2023-08-17,45433,303,Very High
Pasar Cisalak,Dressed Chicken,2023-08-20,43626,1291,Medium
Pasar Cisalak,Dressed Chicken,2023-08-23,42427,427,Medium
Pasar Cisalak,Dressed Chicken,2023-08-26,58220,1194,High
Pasar Cisalak,Dressed Chicken,2023-08-29,45588,1487,Low
Pasar Cisalak,Dressed Chicken,2023-09-01,23847,1027,Low
Pasar Cisalak,Dressed Chicken,2023-09-04,37429,2581,Low
Pasar Cisalak,Dressed Chicken,2023-09-07,41946,1604,Very High
Pasar Cisalak,Dressed Chicken,2023-09-10,31328,2615,Very High
Pasar Cisalak,Dressed Chicken,2023-09-13,34419,570,Low
Pasar Cisalak,Dressed Chicken,2023-09-16,35857,1866,Low
Pasar Cisalak,Dressed Chicken,2023-09-19,34956,2109,High
Pasar Cisalak,Dressed Chicken,2023-09-22,35568,2696,High
Pasar Cisalak,Dressed Chicken,2023-09-25,24747,1348,Low
Pasar Cisalak,Dressed Chicken,2023-09-28,31110,2074,High
Pasar Cisalak,Dressed Chicken,2023-10-01,27814,2443,Very High
Pasar Cisalak,Dressed Chicken,2023-10-04,46233,1326,Medium
Pasar Cisalak,Dressed Chicken,2023-10-07,28420,2206,High
Pasar Cisalak,Dressed Chicken,2023-10-10,53491,2621,Medium
Pasar Cisalak,Dressed Chicken,2023-10-13,43373,1921,Medium
Pasar Cisalak,Dressed Chicken,2023-10-16,43002,2919,High
Pasar Cisalak,Dressed Chicken,2023-10-19,40973,350,Low
Pasar Cisalak,Dressed Chicken,2023-10-22,42622,1511,Medium
Pasar Cisalak,Dressed Chicken,2023-10-25,41819,1761,Low
Pasar Cisalak,Dressed Chicken,2023-10-28,29226,2452,Low
Pasar Cisalak,Dressed Chicken,2023-10-31,34160,1284,Very High
Pasar Cisalak,Dressed Chicken,2023-11-03,43967,2615,Medium
Pasar Cisalak,Dressed Chicken,2023-11-06,55610,1742,Medium
Pasar Cisalak,Dressed Chicken,2023-11-09,31013,2614,Medium
Pasar Cisalak,Dressed Chicken,2023-11-12,40233,2318,High
Pasar Cisalak,Dressed Chicken,2023-11-15,48060,2708,Very High
Pasar Cisalak,Dressed Chicken,2023-11-18,36063,2145,High
Pasar Cisalak,Dressed Chicken,2023-11-21,24399,1832,High
Pasar Cisalak,Dressed Chicken,2023-11-24,48612,178,Low
Pasar Cisalak,Dressed Chicken,2023-11-27,54996,2359,Very High
Pasar Cisalak,Dressed Chicken,2023-11-30,48029,425,High
Pasar Cisalak,Dressed Chicken,2023-12-03,41187,2359,Low
Pasar Cisalak,Dressed Chicken,2023-12-06,33397,1030,High
Pasar Cisalak,Dressed Chicken,2023-12-09,56052,2394,Very High
Pasar Cisalak,Dressed Chicken,2023-12-12,29273,2082,Low
Pasar Cisalak,Dressed Chicken,2023-12-15,24111,1403,Low
Pasar Cisalak,Dressed Chicken,2023-12-18,38439,1857,High
Pasar Cisalak,Dressed Chicken,2023-12-21,41417,1354,Very High
Pasar Cisalak,Dressed Chicken,2023-12-24,30686,1447,Very High
Pasar Cisalak,Dressed Chicken,2023-12-27,49209,252,Very High
Pasar Cisalak,Dressed Chicken,2023-12-30,53402,1511,High
Pasar Cisalak,Chicken Meat,2023-01-01,54340,195,Low
Pasar Cisalak,Chicken Meat,2023-01-04,27838,368,High
Pasar Cisalak,Chicken Meat,2023-01-07,48815,2520,High
Pasar Cisalak,Chicken Meat,2023-01-10,45711,2221,High
Pasar Cisalak,Chicken Meat,2023-01-13,48125,775,Very High
Pasar Cisalak,Chicken Meat,2023-01-16,46681,1000,Medium
Pasar Cisalak,Chicken Meat,2023-01-19,33119,2568,High
Pasar Cisalak,Chicken Meat,2023-01-22,52538,2300,High
Pasar Cisalak,Chicken Meat,2023-01-25,29649,1360,Low
Pasar Cisalak,Chicken Meat,2023-01-28,34007,2624,Low
Pasar Cisalak,Chicken Meat,2023-01-31,47461,2960,Medium
Pasar Cisalak,Chicken Meat,2023-02-03,53582,2911,High
Pasar Cisalak,Chicken Meat,2023-02-06,31263,2755,Very High
Pasar Cisalak,Chicken Meat,2023-02-09,30505,1656,Low
Pasar Cisalak,Chicken Meat,2023-02-12,39308,1427,Very High
Pasar Cisalak,Chicken Meat,2023-02-15,52387,2089,Medium
Pasar Cisalak,Chicken Meat,2023-02-18,44527,2409,Very High
Pasar Cisalak,Chicken Meat,2023-02-21,55365,2180,Very High
Pasar Cisalak,Chicken Meat,2023-02-24,53460,1673,Low
Pasar Cisalak,Chicken Meat,2023-02-27,52968,1870,Medium
Pasar Cisalak,Chicken Meat,2023-03-02,39768,1653,Low
Pasar Cisalak,Chicken Meat,2023-03-05,25774,2452,Very High
Pasar Cisalak,Chicken Meat,2023-03-08,48064,2543,Very High
Pasar Cisalak,Chicken Meat,2023-03-11,31944,898,High
Pasar Cisalak,Chicken Meat,2023-03-14,55778,2423,High
Pasar Cisalak,Chicken Meat,2023-03-17,39771,1927,Medium
Pasar Cisalak,Chicken Meat,2023-03-20,46821,2233,Low
Pasar Cisalak,Chicken Meat,2023-03-23,49207,2543,Medium
Pasar Cisalak,Chicken Meat,2023-03-26,51174,2348,Very High
Pasar Cisalak,Chicken Meat,2023-03-29,41355,1743,Very High
Pasar Cisalak,Chicken Meat,2023-04-01,32724,833,High
Pasar Cisalak,Chicken Meat,2023-04-04,43782,2909,Low
Pasar Cisalak,Chicken Meat,2023-04-07,31104,2995,Medium
Pasar Cisalak,Chicken Meat,2023-04-10,36777,2511,Very High
Pasar Cisalak,Chicken Meat,2023-04-13,49023,833,Very High
Pasar Cisalak,Chicken Meat,2023-04-16,43740,1938,Very High
Pasar Cisalak,Chicken Meat,2023-04-19,35303,1887,Low
Pasar Cisalak,Chicken Meat,2023-04-22,29103,1946,Very High
Pasar Cisalak,Chicken Meat,2023-04-25,28760,1092,High
Pasar Cisalak,Chicken Meat,2023-04-28,28237,756,Low
Pasar Cisalak,Chicken Meat,2023-05-01,54200,805,Low
Pasar Cisalak,Chicken Meat,2023-05-04,31072,2010,Low
Pasar Cisalak,Chicken Meat,2023-05-07,29119,2630,Very High
Pasar Cisalak,Chicken Meat,2023-05-10,32196,196,Very High
Pasar Cisalak,Chicken Meat,2023-05-13,40014,1373,Medium
Pasar Cisalak,Chicken Meat,2023-05-16,36494,2584,Very High
Pasar Cisalak,Chicken Meat,2023-05-19,42552,2186,High
Pasar Cisalak,Chicken Meat,2023-05-22,31577,1928,Low
Pasar Cisalak,Chicken Meat,2023-05-25,41444,1221,Low
Pasar Cisalak,Chicken Meat,2023-05-28,44476,2802,High
Pasar Cisalak,Chicken Meat,2023-05-31,52166,2716,Very High
Pasar Cisalak,Chicken Meat,2023-06-03,48990,743,Low
Pasar Cisalak,Chicken Meat,2023-06-06,32252,645,Very High
Pasar Cisalak,Chicken Meat,2023-06-09,36707,426,High
Pasar Cisalak,Chicken Meat,2023-06-12,35931,634,Low
Pasar Cisalak,Chicken Meat,2023-06-15,52818,2099,Low
Pasar Cisalak,Chicken Meat,2023-06-18,40878,1502,Very High
Pasar Cisalak,Chicken Meat,2023-06-21,48813,2649,Medium
Pasar Cisalak,Chicken Meat,2023-06-24,39065,1828,High
Pasar Cisalak,Chicken Meat,2023-06-27,40145,365,Low
Pasar Cisalak,Chicken Meat,2023-06-30,28575,471,High
Pasar Cisalak,Chicken Meat,2023-07-03,54652,2528,Medium
Pasar Cisalak,Chicken Meat,2023-07-06,36998,2324,High
Pasar Cisalak,Chicken Meat,2023-07-09,52730,144,High
Pasar Cisalak,Chicken Meat,2023-07-12,32459,2207,Very High
Pasar Cisalak,Chicken Meat,2023-07-15,44025,2469,Medium
Pasar Cisalak,Chicken Meat,2023-07-18,47934,669,Very High
Pasar Cisalak,Chicken Meat,2023-07-21,29663,1553,Very High
Pasar Cisalak,Chicken Meat,2023-07-24,48004,2823,Low
Pasar Cisalak,Chicken Meat,2023-07-27,28066,2979,Medium
Pasar Cisalak,Chicken Meat,2023-07-30,55218,1818,High
Pasar Cisalak,Chicken Meat,2023-08-02,48700,441,Medium
Pasar Cisalak,Chicken Meat,2023-08-05,45706,848,Medium
Pasar Cisalak,Chicken Meat,2023-08-08,39917,286,High
Pasar Cisalak,Chicken Meat,2023-08-11,58707,2415,High
Pasar Cisalak,Chicken Meat,2023-08-14,29494,1146,Low
Pasar Cisalak,Chicken Meat,2023-08-17,38396,149,Very High
Pasar Cisalak,Chicken Meat,2023-08-20,31655,1896,Medium
Pasar Cisalak,Chicken Meat,2023-08-23,49715,2691,Low
Pasar Cisalak,Chicken Meat,2023-08-26,36665,561,Low
Pasar Cisalak,Chicken Meat,2023-08-29,45216,2115,High
Pasar Cisalak,Chicken Meat,2023-09-01,47038,681,Medium
Pasar Cisalak,Chicken Meat,2023-09-04,33182,753,Low
Pasar Cisalak,Chicken Meat,2023-09-07,33098,221,Low
Pasar Cisalak,Chicken Meat,2023-09-10,22815,2869,Very High
Pasar Cisalak,Chicken Meat,2023-09-13,22666,2928,Very High
Pasar Cisalak,Chicken Meat,2023-09-16,40567,541,Very High
Pasar Cisalak,Chicken Meat,2023-09-19,43286,2601,Very High
Pasar Cisalak,Chicken Meat,2023-09-22,42237,651,High
Pasar Cisalak,Chicken Meat,2023-09-25,52267,351,Very High
Pasar Cisalak,Chicken Meat,2023-09-28,43832,847,Low
Pasar Cisalak,Chicken Meat,2023-10-01,46682,565,Low
Pasar Cisalak,Chicken Meat,2023-10-04,55771,2001,Medium
Pasar Cisalak,Chicken Meat,2023-10-07,34787,2378,Medium
Pasar Cisalak,Chicken Meat,2023-10-10,43631,2374,High
Pasar Cisalak,Chicken Meat,2023-10-13,42339,1688,Medium
Pasar Cisalak,Chicken Meat,2023-10-16,31695,1586,Low
Pasar Cisalak,Chicken Meat,2023-10-19,26694,2149,Medium
Pasar Cisalak,Chicken Meat,2023-10-22,42884,596,High
Pasar Cisalak,Chicken Meat,2023-10-25,53471,1614,Very High
Pasar Cisalak,Chicken Meat,2023-10-28,43433,1010,Low
Pasar Cisalak,Chicken Meat,2023-10-31,38802,1728,Very High
Pasar Cisalak,Chicken Meat,2023-11-03,26636,621,Medium
Pasar Cisalak,Chicken Meat,2023-11-06,35165,753,Medium
Pasar Cisalak,Chicken Meat,2023-11-09,26423,338,High
Pasar Cisalak,Chicken Meat,2023-11-12,53517,1955,High
Pasar Cisalak,Chicken Meat,2023-11-15,39085,2127,Very High
Pasar Cisalak,Chicken Meat,2023-11-18,37301,1808,Low
Pasar Cisalak,Chicken Meat,2023-11-21,42279,2668,Low
Pasar Cisalak,Chicken Meat,2023-11-24,52936,2165,High
Pasar Cisalak,Chicken Meat,2023-11-27,32104,506,Medium
Pasar Cisalak,Chicken Meat,2023-11-30,56531,2467,High
Pasar Cisalak,Chicken Meat,2023-12-03,28353,2053,Low
Pasar Cisalak,Chicken Meat,2023-12-06,59193,1260,Medium
Pasar Cisalak,Chicken Meat,2023-12-09,33943,1353,Low
Pasar Cisalak,Chicken Meat,2023-12-12,30866,1461,Medium
Pasar Cisalak,Chicken Meat,2023-12-15,26269,1287,Very High
Pasar Cisalak,Chicken Meat,2023-12-18,45849,1269,Low
Pasar Cisalak,Chicken Meat,2023-12-21,59509,564,High
Pasar Cisalak,Chicken Meat,2023-12-24,49319,2458,Medium
Pasar Cisalak,Chicken Meat,2023-12-27,50191,2387,Very High
Pasar Cisalak,Chicken Meat,2023-12-30,37591,1184,Low
Pasar Cisalak,Eggs (per dozen),2023-01-01,27352,2087,Medium
Pasar Cisalak,Eggs (per dozen),2023-01-04,25018,421,Low
Pasar Cisalak,Eggs (per dozen),2023-01-07,34571,1694,Very High
Pasar Cisalak,Eggs (per dozen),2023-01-10,31920,1118,High
Pasar Cisalak,Eggs (per dozen),2023-01-13,33092,1010,Low
Pasar Cisalak,Eggs (per dozen),2023-01-16,31918,709,Low
Pasar Cisalak,Eggs (per dozen),2023-01-19,32320,2495,Low
Pasar Cisalak,Eggs (per dozen),2023-01-22,18930,355,Very High
Pasar Cisalak,Eggs (per dozen),2023-01-25,27838,1625,Low
Pasar Cisalak,Eggs (per dozen),2023-01-28,34582,2055,High
Pasar Cisalak,Eggs (per dozen),2023-01-31,28598,1861,High
Pasar Cisalak,Eggs (per dozen),2023-02-03,35007,1812,High
Pasar Cisalak,Eggs (per dozen),2023-02-06,26981,1089,Medium
Pasar Cisalak,Eggs (per dozen),2023-02-09,29729,1551,High
Pasar Cisalak,Eggs (per dozen),2023-02-12,23812,324,High
Pasar Cisalak,Eggs (per dozen),2023-02-15,32504,594,Medium
Pasar Cisalak,Eggs (per dozen),2023-02-18,28941,2463,High
Pasar Cisalak,Eggs (per dozen),2023-02-21,23919,1786,High
Pasar Cisalak,Eggs (per dozen),2023-02-24,30368,827,Low
Pasar Cisalak,Eggs (per dozen),2023-02-27,27536,2721,Low
Pasar Cisalak,Eggs (per dozen),2023-03-02,29274,2910,High
Pasar Cisalak,Eggs (per dozen),2023-03-05,27784,555,Medium
Pasar Cisalak,Eggs (per dozen),2023-03-08,29835,1047,High
Pasar Cisalak,Eggs (per dozen),2023-03-11,30950,1639,Medium
Pasar Cisalak,Eggs (per dozen),2023-03-14,16424,2229,Low
Pasar Cisalak,Eggs (per dozen),2023-03-17,18237,1973,Low
Pasar Cisalak,Eggs (per dozen),2023-03-20,29056,436,Very High
Pasar Cisalak,Eggs (per dozen),2023-03-23,34102,2531,Very High
Pasar Cisalak,Eggs (per dozen),2023-03-26,21787,1633,High
Pasar Cisalak,Eggs (per dozen),2023-03-29,39717,1712,Very High
Pasar Cisalak,Eggs (per dozen),2023-04-01,31168,629,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-04,25117,1624,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-07,17746,309,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-10,30218,2798,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-13,30492,409,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-16,22364,1689,High
Pasar Cisalak,Eggs (per dozen),2023-04-19,34684,1730,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-22,22192,1460,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-25,27299,221,Medium
Pasar Cisalak,Eggs (per dozen),2023-04-28,32980,1685,Medium
Pasar Cisalak,Eggs (per dozen),2023-05-01,33907,685,Medium
Pasar Cisalak,Eggs (per dozen),2023-05-04,24323,2211,Low
