chicken_id,production_date,eggs_produced,avg_egg_weight_g,egg_quality_grade,shell_thickness_mm,feed_consumed_kg
9,2023-11-12,3,51.5,C,0.36,0.91
9,2023-11-19,2,73.4,AA,0.45,1.07
9,2023-11-26,3,64.5,B,0.3,1.18
9,2023-12-03,3,69.6,C,0.34,0.96
9,2023-12-10,7,55.0,A,0.46,1.17
9,2023-12-17,5,45.1,C,0.31,0.83
9,2023-12-24,6,57.1,B,0.46,0.88
9,2023-12-31,3,58.3,A,0.37,1.06
12,2023-01-01,6,57.8,AA,0.49,1.12
12,2023-01-08,7,62.1,AA,0.36,1.11
12,2023-01-15,3,54.9,A,0.32,0.93
12,2023-01-22,2,72.4,AA,0.4,1.13
12,2023-01-29,4,69.7,A,0.37,1.1
12,2023-02-05,2,66.0,AA,0.32,1.11
12,2023-02-12,7,49.8,C,0.46,1.14
12,2023-02-19,5,61.9,B,0.35,0.87
12,2023-02-26,5,46.0,A,0.31,1.08
12,2023-03-05,5,46.2,A,0.46,1.11
12,2023-03-12,6,60.3,B,0.35,0.94
12,2023-03-19,6,52.9,C,0.44,1.03
12,2023-03-26,2,45.9,AA,0.43,1.09
12,2023-04-02,2,54.2,B,0.43,1.06
12,2023-04-09,4,67.6,AA,0.47,1.13
12,2023-04-16,1,64.3,B,0.37,0.95
12,2023-04-23,0,68.9,A,0.48,1.0
12,2023-04-30,5,45.4,A,0.34,1.07
12,2023-05-07,1,62.0,AA,0.46,1.08
12,2023-05-14,4,69.0,B,0.46,1.08
12,2023-05-21,0,60.8,B,0.33,1.19
12,2023-05-28,6,62.6,C,0.42,0.98
12,2023-06-04,0,68.0,A,0.42,1.15
12,2023-06-11,2,67.4,AA,0.41,0.89
12,2023-06-18,5,74.4,B,0.31,0.87
12,2023-06-25,5,72.9,A,0.42,0.99
12,2023-07-02,2,46.6,B,0.48,1.1
12,2023-07-09,5,52.0,AA,0.48,1.15
12,2023-07-16,7,59.9,AA,0.47,0.81
12,2023-07-23,2,53.3,A,0.36,1.17
12,2023-07-30,2,47.3,A,0.31,1.07
12,2023-08-06,5,62.7,AA,0.4,0.95
12,2023-08-13,3,46.5,B,0.42,1.08
12,2023-08-20,6,74.1,B,0.33,0.84
12,2023-08-27,0,56.2,B,0.45,0.97
12,2023-09-03,6,46.1,B,0.45,0.91
12,2023-09-10,3,73.6,A,0.45,0.86
12,2023-09-17,1,67.0,C,0.43,0.97
12,2023-09-24,0,65.5,C,0.42,0.96
12,2023-10-01,5,46.5,B,0.34,1.06
12,2023-10-08,0,49.0,AA,0.35,0.93
12,2023-10-15,2,46.4,A,0.41,1.11
12,2023-10-22,2,57.4,C,0.46,0.96
12,2023-10-29,6,73.7,B,0.5,0.88
12,2023-11-05,3,47.8,B,0.47,0.97
12,2023-11-12,7,59.7,AA,0.39,0.98
12,2023-11-19,3,71.1,A,0.3,0.94
12,2023-11-26,1,55.3,A,0.33,0.89
12,2023-12-03,4,72.9,C,0.38,1.05
12,2023-12-10,5,48.2,A,0.41,1.07
12,2023-12-17,7,73.0,AA,0.4,1.1
12,2023-12-24,0,73.9,B,0.49,0.88
12,2023-12-31,5,59.4,B,0.43,0.94
16,2023-01-01,6,73.0,B,0.35,0.92
16,2023-01-08,5,53.8,B,0.4,1.13
16,2023-01-15,6,53.1,A,0.44,0.99
16,2023-01-22,4,58.8,A,0.32,0.97
16,2023-01-29,6,64.4,AA,0.44,1.07
16,2023-02-05,6,55.6,A,0.32,0.89
16,2023-02-12,4,49.7,AA,0.31,1.05
16,2023-02-19,3,51.4,AA,0.38,1.11
16,2023-02-26,5,48.2,B,0.37,1.16
16,2023-03-05,5,62.6,AA,0.45,1.0
16,2023-03-12,7,50.1,AA,0.35,1.2
16,2023-03-19,0,59.9,AA,0.45,1.07
16,2023-03-26,0,53.4,AA,0.46,1.03
16,2023-04-02,2,56.3,A,0.41,1.11
16,2023-04-09,1,69.0,AA,0.44,0.87
16,2023-04-16,2,74.2,AA,0.41,0.98
16,2023-04-23,3,61.2,AA,0.49,1.12
16,2023-04-30,2,53.7,B,0.39,1.05
16,2023-05-07,3,47.9,AA,0.38,1.12
16,2023-05-14,6,46.6,AA,0.4,1.06
16,2023-05-21,5,64.7,AA,0.49,0.96
16,2023-05-28,4,57.2,AA,0.32,0.89
16,2023-06-04,5,74.7,AA,0.36,0.98
16,2023-06-11,7,67.2,B,0.46,0.87
16,2023-06-18,7,59.0,B,0.3,0.91
16,2023-06-25,4,62.3,A,0.37,0.97
16,2023-07-02,0,71.2,C,0.41,1.19
16,2023-07-09,6,59.0,B,0.31,0.84
16,2023-07-16,6,63.9,AA,0.37,1.04
16,2023-07-23,0,48.9,AA,0.43,0.82
16,2023-07-30,6,47.9,B,0.3,0.84
16,2023-08-06,5,47.9,B,0.43,0.94
16,2023-08-13,1,74.6,C,0.47,0.99
16,2023-08-20,1,62.3,B,0.45,0.88
16,2023-08-27,0,54.1,A,0.31,0.94
16,2023-09-03,7,69.9,A,0.36,0.98
16,2023-09-10,1,47.0,B,0.47,1.03
16,2023-09-17,3,56.3,C,0.48,0.96
16,2023-09-24,0,58.4,AA,0.43,1.08
16,2023-10-01,6,45.1,B,0.43,1.15
16,2023-10-08,2,49.1,A,0.33,0.91
16,2023-10-15,2,49.1,AA,0.48,0.9
16,2023-10-22,2,50.9,AA,0.32,1.04
16,2023-10-29,2,56.7,AA,0.37,1.02
16,2023-11-05,5,67.8,A,0.44,0.92
16,2023-11-12,4,60.1,C,0.39,0.83
16,2023-11-19,1,47.8,AA,0.47,0.98
16,2023-11-26,2,52.4,C,0.37,1.17
16,2023-12-03,0,58.3,C,0.47,0.96
16,2023-12-10,1,56.7,A,0.39,1.15
16,2023-12-17,3,66.0,B,0.41,0.98
16,2023-12-24,2,62.9,AA,0.46,1.16
16,2023-12-31,2,52.7,B,0.34,1.1
18,2023-01-01,5,49.6,A,0.39,1.17
18,2023-01-08,1,58.7,C,0.42,0.92
18,2023-01-15,0,64.9,AA,0.34,1.08
18,2023-01-22,6,72.5,B,0.45,1.05
18,2023-01-29,7,52.7,A,0.46,0.89
18,2023-02-05,0,47.4,B,0.3,1.14
18,2023-02-12,4,66.9,AA,0.31,0.83
18,2023-02-19,7,47.8,C,0.33,0.83
18,2023-02-26,6,61.4,B,0.44,1.07
18,2023-03-05,2,59.7,A,0.33,0.89
18,2023-03-12,2,69.1,B,0.38,1.19
18,2023-03-19,1,63.0,C,0.44,1.15
18,2023-03-26,1,70.3,C,0.5,1.12
18,2023-04-02,0,59.4,A,0.35,1.14
18,2023-04-09,2,53.9,A,0.47,1.01
18,2023-04-16,7,71.7,AA,0.38,0.93
18,2023-04-23,6,72.8,C,0.39,0.87
18,2023-04-30,3,67.6,AA,0.32,1.17
18,2023-05-07,3,54.1,AA,0.45,1.04
18,2023-05-14,5,62.6,B,0.46,1.05
18,2023-05-21,4,56.3,C,0.45,1.06
18,2023-05-28,5,74.6,A,0.43,0.88
18,2023-06-04,1,52.7,AA,0.4,0.83
18,2023-06-11,4,50.6,C,0.48,0.9
18,2023-06-18,0,65.1,B,0.34,0.86
18,2023-06-25,7,58.6,C,0.43,1.02
18,2023-07-02,7,74.3,AA,0.3,0.81
18,2023-07-09,7,51.7,A,0.33,1.02
18,2023-07-16,6,56.6,A,0.33,1.15
18,2023-07-23,4,54.2,B,0.3,0.89
18,2023-07-30,5,58.4,A,0.46,0.97
18,2023-08-06,5,71.3,A,0.49,0.83
18,2023-08-13,7,63.9,C,0.44,0.93
18,2023-08-20,2,54.7,C,0.38,1.14
18,2023-08-27,7,51.7,C,0.49,1.19
18,2023-09-03,4,53.0,A,0.49,1.08
18,2023-09-10,7,64.2,A,0.5,1.15
18,2023-09-17,5,54.3,C,0.4,0.83
18,2023-09-24,0,62.9,B,0.31,0.85
18,2023-10-01,2,68.1,C,0.41,0.9
18,2023-10-08,6,74.0,AA,0.39,0.91
18,2023-10-15,7,65.2,A,0.43,0.94
18,2023-10-22,7,68.9,A,0.42,1.06
18,2023-10-29,2,74.8,B,0.31,1.09
18,2023-11-05,7,54.7,C,0.31,0.82
18,2023-11-12,5,58.3,A,0.43,1.09
18,2023-11-19,3,63.2,A,0.32,1.14
18,2023-11-26,4,62.0,A,0.33,1.18
18,2023-12-03,2,46.9,B,0.45,0.99
18,2023-12-10,6,69.6,C,0.4,1.03
18,2023-12-17,3,59.1,C,0.34,0.97
18,2023-12-24,2,50.4,B,0.45,1.02
18,2023-12-31,1,71.4,C,0.41,1.12
20,2023-01-01,3,75.0,A,0.4,1.03
20,2023-01-08,2,66.2,C,0.39,0.83
20,2023-01-15,3,50.0,AA,0.36,0.89
20,2023-01-22,3,62.8,AA,0.45,1.16
20,2023-01-29,3,67.3,A,0.46,1.19
20,2023-02-05,7,47.7,B,0.39,0.82
20,2023-02-12,4,72.8,C,0.49,0.88
20,2023-02-19,1,62.8,A,0.49,1.02
20,2023-02-26,7,74.4,AA,0.35,0.89
20,2023-03-05,1,46.7,B,0.36,0.86
20,2023-03-12,1,50.6,AA,0.44,1.18
20,2023-03-19,2,65.6,AA,0.38,1.04
20,2023-03-26,7,66.2,A,0.46,0.82
20,2023-04-02,2,73.1,A,0.4,1.14
20,2023-04-09,4,51.0,C,0.35,1.19
20,2023-04-16,2,52.7,C,0.3,0.84
20,2023-04-23,1,72.1,C,0.38,0.94
20,2023-04-30,5,50.6,AA,0.46,0.81
20,2023-05-07,1,56.3,C,0.32,1.1
20,2023-05-14,1,55.5,C,0.3,1.03
20,2023-05-21,4,73.2,B,0.36,0.88
20,2023-05-28,6,64.3,AA,0.42,1.12
20,2023-06-04,7,51.5,B,0.31,1.11
20,2023-06-11,1,61.4,A,0.39,0.86
20,2023-06-18,2,53.0,A,0.4,0.94
20,2023-06-25,6,55.6,C,0.42,1.03
20,2023-07-02,1,60.7,C,0.48,1.2
20,2023-07-09,5,60.7,AA,0.47,0.94
20,2023-07-16,1,61.3,B,0.42,0.87
20,2023-07-23,1,62.4,AA,0.42,0.89
20,2023-07-30,3,61.6,AA,0.36,1.11
20,2023-08-06,5,50.2,AA,0.42,0.81
20,2023-08-13,4,68.8,A,0.33,0.99
20,2023-08-20,2,56.9,C,0.48,0.85
20,2023-08-27,1,67.9,A,0.33,1.1
20,2023-09-03,0,68.7,B,0.34,0.87
20,2023-09-10,4,74.9,B,0.49,0.94
20,2023-09-17,7,47.5,B,0.39,1.08
20,2023-09-24,0,48.0,A,0.48,0.88
20,2023-10-01,3,68.4,C,0.5,0.89
20,2023-10-08,5,51.5,A,0.46,1.11
20,2023-10-15,5,71.9,B,0.34,0.95
20,2023-10-22,3,46.6,AA,0.36,0.95
20,2023-10-29,5,61.6,A,0.45,0.99
20,2023-11-05,0,55.9,A,0.45,1.08
20,2023-11-12,4,66.8,C,0.31,1.05
20,2023-11-19,2,55.7,C,0.42,0.85
20,2023-11-26,7,48.2,B,0.39,1.07
20,2023-12-03,0,61.8,B,0.5,0.98
20,2023-12-10,3,65.7,AA,0.39,1.08
20,2023-12-17,1,63.7,C,0.45,1.06
20,2023-12-24,1,48.6,B,0.34,1.12
20,2023-12-31,6,57.5,C,0.45,0.85
21,2023-01-01,1,65.3,B,0.4,1.08
21,2023-01-08,5,69.4,AA,0.32,1.15
21,2023-01-15,6,56.8,A,0.46,1.16
21,2023-01-22,7,47.8,AA,0.37,0.95
21,2023-01-29,5,51.1,C,0.39,0.81
21,2023-02-05,7,54.5,AA,0.45,1.01
21,2023-02-12,0,46.6,C,0.3,0.84
21,2023-02-19,7,63.0,A,0.4,1.1
21,2023-02-26,0,49.0,AA,0.42,1.04
21,2023-03-05,2,59.8,A,0.41,0.86
21,2023-03-12,6,73.0,A,0.49,1.02
21,2023-03-19,5,72.8,A,0.39,1.0
21,2023-03-26,3,48.2,B,0.49,0.83
21,2023-04-02,3,57.6,C,0.4,1.2
21,2023-04-09,0,65.2,A,0.33,1.18
21,2023-04-16,4,68.2,B,0.33,1.17
21,2023-04-23,2,46.2,B,0.39,0.92
21,2023-04-30,7,70.0,C,0.41,1.05
21,2023-05-07,7,64.7,A,0.47,0.94
21,2023-05-14,7,55.0,A,0.39,1.11
21,2023-05-21,3,68.3,B,0.34,1.05
21,2023-05-28,0,70.4,A,0.45,1.16
21,2023-06-04,3,47.6,A,0.35,0.99
21,2023-06-11,3,64.1,B,0.33,0.88
21,2023-06-18,4,64.7,B,0.5,0.89
21,2023-06-25,7,63.9,C,0.42,1.18
21,2023-07-02,5,57.5,AA,0.31,0.87
21,2023-07-09,1,62.8,AA,0.34,0.96
21,2023-07-16,5,56.2,A,0.48,0.99
21,2023-07-23,7,59.6,AA,0.32,1.13
21,2023-07-30,4,48.2,B,0.45,0.91
21,2023-08-06,4,68.8,C,0.43,1.1
21,2023-08-13,4,74.4,B,0.43,0.84
21,2023-08-20,4,52.1,AA,0.39,1.06
21,2023-08-27,6,55.0,A,0.39,1.16
21,2023-09-03,5,53.4,B,0.37,1.19
21,2023-09-10,0,58.4,AA,0.49,0.91
21,2023-09-17,0,57.1,AA,0.5,0.91
21,2023-09-24,2,66.8,AA,0.4,0.86
21,2023-10-01,1,48.2,B,0.41,1.04
21,2023-10-08,2,47.4,AA,0.42,0.83
21,2023-10-15,3,73.8,C,0.41,0.8
21,2023-10-22,4,49.8,C,0.43,1.04
21,2023-10-29,0,51.9,B,0.32,0.87
21,2023-11-05,5,59.6,B,0.48,1.04
21,2023-11-12,2,62.8,B,0.3,1.05
21,2023-11-19,7,59.2,AA,0.47,0.94
21,2023-11-26,3,63.2,B,0.36,1.03
21,2023-12-03,4,53.7,AA,0.39,1.13
21,2023-12-10,4,74.4,B,0.4,0.86
21,2023-12-17,1,52.7,AA,0.34,0.99
21,2023-12-24,1,65.3,A,0.41,0.89
21,2023-12-31,3,54.2,A,0.3,0.85
25,2023-01-01,4,48.4,A,0.39,0.98
25,2023-01-08,6,47.7,B,0.49,0.88
25,2023-01-15,5,64.4,AA,0.43,1.02
25,2023-01-22,4,61.1,B,0.31,0.89
25,2023-01-29,0,47.4,C,0.49,0.83
25,2023-02-05,4,67.4,B,0.41,1.2
25,2023-02-12,4,56.0,A,0.36,1.15
25,2023-02-19,1,51.2,B,0.46,1.06
25,2023-02-26,1,54.4,B,0.42,0.99
25,2023-03-05,7,53.7,AA,0.5,1.11
25,2023-03-12,2,58.4,B,0.44,1.12
25,2023-03-19,1,51.5,B,0.47,0.87
25,2023-03-26,2,53.7,AA,0.5,0.94
25,2023-04-02,2,45.5,A,0.42,1.15
25,2023-04-09,5,45.9,A,0.34,0.88
25,2023-04-16,3,48.0,A,0.41,1.04
25,2023-04-23,0,51.5,A,0.44,1.01
25,2023-04-30,2,71.0,A,0.36,1.03
25,2023-05-07,0,51.8,AA,0.44,1.12
25,2023-05-14,0,74.7,C,0.32,1.19
25,2023-05-21,7,46.5,A,0.38,1.03
25,2023-05-28,7,74.8,B,0.33,0.87
25,2023-06-04,5,61.9,AA,0.38,0.9
25,2023-06-11,0,58.2,B,0.34,0.84
25,2023-06-18,5,71.8,A,0.38,0.91
25,2023-06-25,7,65.3,A,0.3,1.14
25,2023-07-02,3,53.2,AA,0.46,1.1
25,2023-07-09,2,57.5,A,0.4,1.19
25,2023-07-16,6,73.5,AA,0.42,0.94
25,2023-07-23,6,66.0,AA,0.49,0.9
25,2023-07-30,0,60.9,A,0.46,1.13
25,2023-08-06,1,59.0,AA,0.46,0.85
25,2023-08-13,5,64.7,AA,0.42,0.81
25,2023-08-20,2,69.1,B,0.42,1.19
25,2023-08-27,4,70.5,A,0.34,1.09
25,2023-09-03,7,62.5,B,0.38,0.99
25,2023-09-10,3,72.2,AA,0.49,0.81
25,2023-09-17,5,54.9,A,0.4,0.95
25,2023-09-24,0,63.1,B,0.48,0.96
25,2023-10-01,1,47.3,A,0.41,0.87
25,2023-10-08,7,47.7,C,0.5,0.89
25,2023-10-15,3,49.7,C,0.44,0.93
25,2023-10-22,3,50.3,AA,0.47,0.99
25,2023-10-29,6,68.4,A,0.33,0.84
25,2023-11-05,7,45.7,B,0.38,0.98
25,2023-11-12,6,59.0,A,0.4,0.87
25,2023-11-19,5,47.3,C,0.46,1.07
25,2023-11-26,6,49.9,AA,0.38,1.18
25,2023-12-03,4,53.8,B,0.39,0.93
25,2023-12-10,7,48.1,A,0.36,1.17
25,2023-12-17,5,46.9,B,0.36,1.02
25,2023-12-24,1,56.1,C,0.39,0.83
25,2023-12-31,7,66.5,C,0.33,1.17
41,2023-01-01,0,66.2,AA,0.35,1.0
41,2023-01-08,7,47.8,C,0.41,1.02
41,2023-01-15,6,59.7,C,0.46,0.83
41,2023-01-22,1,49.5,C,0.44,0.95
41,2023-01-29,2,54.4,B,0.43,1.1
41,2023-02-05,2,68.6,AA,0.49,0.93
41,2023-02-12,5,52.8,C,0.46,0.99
41,2023-02-19,5,74.9,AA,0.32,1.14
41,2023-02-26,7,53.3,C,0.41,0.99
41,2023-03-05,4,65.0,AA,0.35,0.92
41,2023-03-12,1,69.3,B,0.31,1.05
41,2023-03-19,4,56.3,C,0.46,0.94
41,2023-03-26,1,64.1,AA,0.34,1.03
41,2023-04-02,5,62.5,AA,0.35,1.03
41,2023-04-09,7,65.4,AA,0.39,1.08
41,2023-04-16,6,54.9,A,0.38,0.85
41,2023-04-23,1,47.0,B,0.46,1.1
41,2023-04-30,7,48.0,AA,0.37,0.86
41,2023-05-07,3,67.6,C,0.46,0.8
41,2023-05-14,3,70.0,B,0.39,0.89
41,2023-05-21,1,59.6,AA,0.48,0.85
41,2023-05-28,2,58.0,B,0.47,0.83
41,2023-06-04,3,47.6,B,0.37,0.99
41,2023-06-11,3,52.9,B,0.5,1.17
41,2023-06-18,6,61.1,AA,0.48,1.01
41,2023-06-25,3,73.5,AA,0.35,0.86
41,2023-07-02,4,60.8,C,0.33,1.0
41,2023-07-09,7,73.5,AA,0.48,1.19
41,2023-07-16,7,60.9,B,0.34,1.0
41,2023-07-23,5,58.4,AA,0.3,1.19
41,2023-07-30,5,66.5,A,0.46,0.92
41,2023-08-06,1,64.4,B,0.34,0.87
41,2023-08-13,0,48.4,C,0.39,1.12
41,2023-08-20,1,45.3,C,0.32,0.8
41,2023-08-27,1,72.3,AA,0.47,1.18
41,2023-09-03,6,63.5,B,0.39,1.1
41,2023-09-10,5,51.5,C,0.5,0.99
41,2023-09-17,5,65.7,C,0.5,1.01
41,2023-09-24,3,61.2,AA,0.35,0.91
41,2023-10-01,4,70.0,C,0.39,1.09
41,2023-10-08,5,68.4,A,0.43,1.14
41,2023-10-15,7,74.7,C,0.32,0.81
41,2023-10-22,0,72.7,C,0.42,1.04
41,2023-10-29,7,52.1,C,0.36,0.83
41,2023-11-05,5,64.7,AA,0.44,0.85
41,2023-11-12,2,51.9,AA,0.4,0.92
41,2023-11-19,2,62.0,AA,0.4,1.18
41,2023-11-26,3,47.0,AA,0.36,0.92
41,2023-12-03,7,71.0,A,0.48,0.84
41,2023-12-10,4,60.5,AA,0.45,1.12
41,2023-12-17,3,63.5,B,0.44,1.03
41,2023-12-24,2,46.0,AA,0.39,0.9
41,2023-12-31,2,59.5,AA,0.5,0.92
43,2023-01-01,1,50.6,A,0.41,1.02
43,2023-01-08,3,72.7,C,0.49,0.92
43,2023-01-15,4,71.0,AA,0.41,1.17
43,2023-01-22,7,51.3,B,0.35,1.05
43,2023-01-29,0,49.2,AA,0.42,1.06
43,2023-02-05,6,55.6,AA,0.38,1.12
43,2023-02-12,3,60.8,A,0.42,0.9
43,2023-02-19,4,73.1,B,0.45,0.88
43,2023-02-26,6,73.1,A,0.34,0.85
43,2023-03-05,6,45.4,A,0.48,0.95
43,2023-03-12,1,71.3,B,0.38,0.87
43,2023-03-19,1,52.3,C,0.47,0.84
43,2023-03-26,2,62.0,B,0.42,0.98
43,2023-04-02,6,50.0,AA,0.31,0.94
43,2023-04-09,7,53.7,B,0.48,0.95
43,2023-04-16,4,50.8,C,0.37,0.88
43,2023-04-23,1,62.1,AA,0.37,0.98
43,2023-04-30,0,66.3,B,0.49,0.87
43,2023-05-07,2,51.6,AA,0.49,1.11
