lobster_id,species,catch_date,length_cm,weight_grams,carapace_length_cm,grade,shell_condition,catch_method,fisher_id,vessel_id,fishing_ground_id,market_price_per_kg,is_alive,inspection_passed,export_ready
LOB00063,European Lobster,9/9/2023,29.95,1131.6,13.09,Grade C,Paper Shell,Hand Picking,FSH061,VSL016,FG015,55.32,FALSE,TRUE,TRUE
LOB00064,American Lobster,10/26/2023,23.29,1227,12.15,Grade C,Hard Shell,Trawling,FSH093,VSL020,FG019,56.9,FALSE,TRUE,FALSE
LOB00065,Slipper Lobster,11/30/2023,29.53,632.2,15.63,Reject,Paper Shell,Trawling,FSH025,VSL045,FG008,56.45,TRUE,FALSE,TRUE
LOB00066,Spiny Lobster,5/10/2025,37.34,1116.8,16.11,Reject,Soft Shell,Hand Picking,FSH005,VSL009,FG017,78.09,FALSE,TRUE,FALSE
LOB00067,American Lobster,1/19/2024,30.78,794,15.22,Reject,Soft Shell,Trap,FSH061,VSL017,FG011,59.28,FALSE,TRUE,FALSE
LOB00068,Slipper Lobster,12/30/2024,26.4,611.7,15.19,Reject,Hard Shell,Trap,FSH031,VSL041,FG022,75.65,TRUE,TRUE,FALSE
LOB00069,American Lobster,10/18/2023,37.81,1115.1,9.01,Grade B,Peeler,Trap,FSH006,VSL021,FG002,41.14,FALSE,FALSE,TRUE
LOB00070,European Lobster,11/26/2024,30.93,935.7,15.93,Grade B,Soft Shell,Trap,FSH079,VSL025,FG020,62.57,FALSE,TRUE,TRUE
LOB00071,Rock Lobster,4/24/2025,34.14,797.4,14.67,Reject,Peeler,Diving,FSH010,VSL029,FG012,79.32,FALSE,FALSE,FALSE
LOB00072,Rock Lobster,12/7/2023,40.36,459,11.85,Reject,Hard Shell,Diving,FSH049,VSL037,FG012,56.61,FALSE,TRUE,FALSE
LOB00073,Spiny Lobster,8/28/2024,15.24,1324.6,15.78,Grade A,Paper Shell,Trawling,FSH100,VSL015,FG020,69.11,TRUE,TRUE,FALSE
LOB00074,European Lobster,5/4/2024,33.85,1374.4,14.46,Grade C,Paper Shell,Trap,FSH075,VSL024,FG024,32.23,FALSE,FALSE,FALSE
LOB00075,European Lobster,3/12/2025,21.02,1222.5,16.76,Grade C,Peeler,Diving,FSH033,VSL031,FG010,66.06,FALSE,TRUE,FALSE
LOB00076,American Lobster,4/13/2025,19.22,1456.5,16.6,Reject,Peeler,Trap,FSH051,VSL001,FG009,54.51,FALSE,FALSE,FALSE
LOB00077,Slipper Lobster,5/31/2024,26.43,1030.1,11.71,Grade B,Paper Shell,Trap,FSH080,VSL036,FG011,75.34,TRUE,TRUE,FALSE
LOB00078,Spiny Lobster,10/3/2023,34.48,351.7,8.45,Grade A,Peeler,Hand Picking,FSH015,VSL007,FG008,73.8,TRUE,FALSE,FALSE
LOB00079,Spiny Lobster,12/10/2023,35.11,1166.1,17.46,Reject,Soft Shell,Hand Picking,FSH084,VSL007,FG016,58.86,FALSE,TRUE,FALSE
LOB00080,European Lobster,4/13/2024,28.3,1435.7,16.55,Grade A,Peeler,Trawling,FSH008,VSL026,FG009,35.44,TRUE,FALSE,TRUE
LOB00081,European Lobster,12/30/2023,34.25,976.3,8.21,Grade C,Soft Shell,Diving,FSH073,VSL014,FG003,70.64,TRUE,TRUE,TRUE
LOB00082,Spiny Lobster,1/31/2025,38.23,1225.2,13.96,Grade C,Soft Shell,Diving,FSH070,VSL017,FG006,31.05,TRUE,TRUE,TRUE
LOB00083,Spiny Lobster,3/10/2025,38.7,509.3,11.24,Grade B,Peeler,Trap,FSH017,VSL048,FG014,53.93,TRUE,FALSE,FALSE
LOB00084,Spiny Lobster,5/20/2025,30.4,341.8,13.04,Grade A,Peeler,Hand Picking,FSH083,VSL002,FG002,79.92,FALSE,FALSE,TRUE
LOB00085,Rock Lobster,8/28/2023,36.37,776.6,16.99,Grade C,Soft Shell,Trap,FSH017,VSL018,FG020,59.82,FALSE,FALSE,FALSE
LOB00086,Rock Lobster,2/5/2025,30.17,759.3,15.93,Grade A,Soft Shell,Hand Picking,FSH058,VSL015,FG014,43.64,FALSE,FALSE,FALSE
LOB00087,American Lobster,5/8/2025,24.38,606.3,10.55,Grade B,Paper Shell,Trap,FSH012,VSL006,FG003,48.75,FALSE,TRUE,TRUE
LOB00088,Slipper Lobster,10/2/2024,43.7,930.2,14.7,Reject,Peeler,Hand Picking,FSH093,VSL004,FG010,58.02,FALSE,TRUE,TRUE
LOB00089,European Lobster,6/21/2024,34.7,491.5,9.08,Grade C,Hard Shell,Trawling,FSH074,VSL015,FG014,71.48,TRUE,FALSE,TRUE
LOB00090,European Lobster,2/27/2025,23.2,1191.1,17.22,Grade C,Hard Shell,Diving,FSH019,VSL037,FG022,47.04,TRUE,TRUE,TRUE
LOB00091,Slipper Lobster,5/6/2024,21.45,745.8,11.41,Grade C,Peeler,Trawling,FSH100,VSL037,FG020,29.67,TRUE,TRUE,TRUE
LOB00092,Slipper Lobster,11/8/2023,16.49,306.1,12.43,Reject,Paper Shell,Hand Picking,FSH054,VSL018,FG007,66.52,TRUE,FALSE,FALSE
LOB00093,American Lobster,1/14/2024,23.5,1082,12.87,Grade C,Hard Shell,Diving,FSH051,VSL039,FG002,25.42,FALSE,TRUE,TRUE
LOB00094,Spiny Lobster,11/10/2023,23.68,356,12.97,Reject,Soft Shell,Diving,FSH049,VSL035,FG023,37.66,FALSE,TRUE,FALSE
LOB00095,American Lobster,8/19/2024,28.09,797.7,8.78,Grade C,Paper Shell,Hand Picking,FSH091,VSL041,FG014,40.92,FALSE,TRUE,FALSE
LOB00096,European Lobster,3/23/2024,39.04,1003.6,16.32,Grade C,Hard Shell,Hand Picking,FSH014,VSL016,FG014,57.39,TRUE,FALSE,FALSE
LOB00097,Spiny Lobster,10/31/2023,21.65,1212.9,8.76,Grade A,Soft Shell,Trawling,FSH045,VSL047,FG021,69.83,TRUE,TRUE,TRUE
LOB00098,Spiny Lobster,7/21/2023,20.92,983.1,15.6,Grade A,Soft Shell,Hand Picking,FSH060,VSL049,FG019,66.79,FALSE,FALSE,FALSE
LOB00099,European Lobster,10/14/2023,28.19,809.6,14.31,Grade C,Hard Shell,Trawling,FSH065,VSL005,FG010,50.4,TRUE,TRUE,FALSE
LOB00100,Spiny Lobster,7/24/2024,17.3,1323.5,16.55,Reject,Paper Shell,Trap,FSH058,VSL037,FG021,35.35,FALSE,TRUE,TRUE
LOB00101,Rock Lobster,11/6/2023,18.11,1368.9,11.43,Grade A,Soft Shell,Trap,FSH032,VSL046,FG015,79.5,TRUE,FALSE,FALSE
LOB00102,Spiny Lobster,4/2/2024,26.62,1206.8,14.79,Grade A,Peeler,Trap,FSH043,VSL007,FG018,62.31,FALSE,FALSE,TRUE
LOB00103,Spiny Lobster,6/9/2024,17.45,1062.7,17.17,Grade C,Paper Shell,Diving,FSH077,VSL046,FG003,42.03,FALSE,FALSE,TRUE
LOB00104,Slipper Lobster,4/7/2025,17.8,1071.6,13.08,Grade A,Peeler,Trawling,FSH024,VSL014,FG011,77.12,FALSE,TRUE,TRUE
LOB00105,European Lobster,5/10/2025,19.65,584.5,15.88,Grade A,Peeler,Diving,FSH077,VSL025,FG005,33.92,TRUE,FALSE,TRUE
LOB00106,Rock Lobster,5/21/2024,25.93,1135.5,17.7,Grade C,Paper Shell,Diving,FSH069,VSL016,FG010,78.11,FALSE,TRUE,FALSE
LOB00107,Slipper Lobster,2/27/2024,44.53,800.2,10.82,Reject,Paper Shell,Diving,FSH026,VSL039,FG005,73.02,TRUE,FALSE,FALSE
LOB00108,Slipper Lobster,4/28/2024,43.03,1124.8,13.16,Grade A,Peeler,Trap,FSH098,VSL011,FG009,49.71,TRUE,FALSE,TRUE
LOB00109,European Lobster,12/15/2023,39.5,1350,17.3,Reject,Hard Shell,Hand Picking,FSH065,VSL024,FG008,46.24,TRUE,FALSE,TRUE
LOB00110,American Lobster,2/11/2025,24.56,328.8,15.15,Grade C,Soft Shell,Diving,FSH005,VSL019,FG016,63.28,TRUE,FALSE,FALSE
LOB00111,Slipper Lobster,4/11/2024,15.16,303,10.56,Grade B,Paper Shell,Trap,FSH100,VSL019,FG008,41.56,TRUE,TRUE,FALSE
LOB00112,Slipper Lobster,4/1/2024,28.71,344.1,17.05,Grade A,Soft Shell,Diving,FSH038,VSL028,FG001,58.81,TRUE,FALSE,TRUE
LOB00113,American Lobster,6/5/2023,30.7,668.8,17.53,Grade A,Paper Shell,Hand Picking,FSH006,VSL041,FG013,78.96,FALSE,TRUE,FALSE
LOB00114,American Lobster,7/18/2024,25.34,1152.8,14.28,Grade C,Soft Shell,Trap,FSH046,VSL035,FG011,69.74,TRUE,FALSE,FALSE
LOB00115,European Lobster,5/15/2024,39.34,282,15.76,Reject,Hard Shell,Trawling,FSH026,VSL003,FG007,73.72,FALSE,FALSE,FALSE
LOB00116,Slipper Lobster,6/17/2023,29.2,247.6,14.47,Grade C,Peeler,Trap,FSH084,VSL022,FG009,31.85,FALSE,FALSE,FALSE
LOB00117,Rock Lobster,1/8/2024,41.84,702.6,17.74,Reject,Paper Shell,Trawling,FSH067,VSL018,FG003,64.99,TRUE,FALSE,TRUE
LOB00118,Slipper Lobster,4/14/2025,23.81,333.4,11.28,Grade C,Peeler,Hand Picking,FSH078,VSL046,FG014,34.17,FALSE,FALSE,FALSE
LOB00119,American Lobster,2/4/2024,36.8,1385.1,14.15,Reject,Peeler,Trap,FSH010,VSL043,FG021,47.34,TRUE,TRUE,TRUE
LOB00120,Slipper Lobster,3/4/2024,35.34,769.6,9.26,Grade B,Peeler,Trawling,FSH050,VSL037,FG002,58.28,FALSE,FALSE,FALSE
LOB00121,Rock Lobster,12/18/2024,37.89,946.1,13.29,Reject,Peeler,Trawling,FSH032,VSL008,FG001,65.46,FALSE,FALSE,TRUE
LOB00122,Spiny Lobster,12/1/2024,38.25,1115.2,10.15,Grade C,Paper Shell,Diving,FSH016,VSL009,FG003,49.86,FALSE,TRUE,FALSE
LOB00123,Spiny Lobster,4/19/2025,36.29,915,10.9,Grade C,Soft Shell,Diving,FSH047,VSL033,FG008,31.67,TRUE,TRUE,TRUE
LOB00124,Rock Lobster,5/1/2025,15.79,920.2,11.69,Grade B,Hard Shell,Trap,FSH040,VSL026,FG023,64.54,FALSE,FALSE,TRUE
LOB00125,European Lobster,11/2/2024,44.17,1035,12.5,Grade C,Soft Shell,Diving,FSH099,VSL009,FG014,52.66,TRUE,TRUE,TRUE
LOB00126,Spiny Lobster,6/26/2023,19.94,619.5,15.09,Grade C,Peeler,Trap,FSH033,VSL013,FG021,77.6,FALSE,TRUE,FALSE
LOB00127,Slipper Lobster,7/25/2024,31,853.3,9.69,Grade B,Soft Shell,Trawling,FSH073,VSL003,FG001,29.47,FALSE,TRUE,FALSE
LOB00128,Slipper Lobster,4/8/2024,34.17,847.4,14.27,Grade C,Peeler,Hand Picking,FSH032,VSL044,FG013,41.36,TRUE,TRUE,TRUE
LOB00129,Rock Lobster,12/16/2023,27.47,803.8,11.4,Grade B,Peeler,Trawling,FSH094,VSL023,FG013,32.19,FALSE,TRUE,FALSE
LOB00130,European Lobster,1/23/2025,28.99,547.7,10.48,Grade A,Hard Shell,Trawling,FSH050,VSL040,FG014,38.65,TRUE,FALSE,FALSE
LOB00131,European Lobster,12/27/2024,37.89,847.7,13.15,Reject,Peeler,Hand Picking,FSH003,VSL006,FG013,52.8,TRUE,TRUE,FALSE
LOB00132,American Lobster,10/11/2023,16.52,843.4,16.82,Reject,Peeler,Trap,FSH014,VSL028,FG005,73.54,FALSE,FALSE,FALSE
LOB00133,American Lobster,6/25/2023,27.02,941.4,9.95,Grade C,Hard Shell,Hand Picking,FSH065,VSL029,FG025,55.24,TRUE,TRUE,TRUE
LOB00134,Rock Lobster,11/28/2024,26.2,1482.8,13.58,Grade C,Soft Shell,Diving,FSH078,VSL033,FG013,52.5,TRUE,TRUE,TRUE
LOB00135,Spiny Lobster,4/1/2025,39.12,875.1,9.49,Grade B,Peeler,Trawling,FSH021,VSL026,FG020,65.66,FALSE,FALSE,FALSE
LOB00136,Slipper Lobster,10/27/2023,23.99,1260.5,11.68,Grade A,Paper Shell,Trawling,FSH093,VSL045,FG021,26.47,FALSE,FALSE,TRUE
LOB00137,American Lobster,7/7/2023,32.51,421.7,14.29,Reject,Soft Shell,Diving,FSH005,VSL037,FG023,31.04,TRUE,FALSE,FALSE
LOB00138,Rock Lobster,12/18/2023,19.54,1097.7,12.1,Reject,Hard Shell,Diving,FSH067,VSL014,FG018,42.88,FALSE,FALSE,FALSE
LOB00139,European Lobster,4/8/2024,28.79,893.1,13.46,Grade C,Paper Shell,Diving,FSH032,VSL018,FG018,41.42,FALSE,FALSE,TRUE
LOB00140,Rock Lobster,11/30/2024,24.51,653.4,17.34,Grade C,Peeler,Trap,FSH074,VSL044,FG018,45.88,FALSE,FALSE,TRUE
LOB00141,Spiny Lobster,7/6/2024,16.26,1441.9,8.79,Reject,Peeler,Hand Picking,FSH028,VSL013,FG018,39.91,FALSE,TRUE,TRUE
LOB00142,Slipper Lobster,1/25/2025,37.23,511.1,8.51,Grade B,Soft Shell,Trap,FSH013,VSL027,FG011,64.45,TRUE,TRUE,TRUE
LOB00143,Slipper Lobster,10/22/2024,44.34,405.3,14.53,Reject,Paper Shell,Diving,FSH097,VSL019,FG011,40.7,TRUE,TRUE,TRUE
LOB00144,Slipper Lobster,4/29/2024,37.16,1305.4,8.37,Grade B,Paper Shell,Diving,FSH005,VSL026,FG016,35.25,FALSE,TRUE,TRUE
LOB00145,Spiny Lobster,7/17/2023,32.04,339.5,17.83,Grade C,Paper Shell,Hand Picking,FSH018,VSL033,FG015,40.01,TRUE,FALSE,TRUE
LOB00146,Rock Lobster,8/25/2023,34.45,1134.2,8.14,Grade C,Peeler,Diving,FSH023,VSL040,FG021,74.34,FALSE,FALSE,TRUE
LOB00147,Rock Lobster,12/11/2023,35.08,440.2,9.41,Grade C,Soft Shell,Trap,FSH034,VSL025,FG008,49.57,FALSE,FALSE,FALSE
LOB00148,Slipper Lobster,4/15/2024,36.69,214.9,14.54,Grade B,Hard Shell,Trap,FSH060,VSL020,FG006,47.3,FALSE,TRUE,FALSE
LOB00149,Spiny Lobster,1/9/2025,33.44,484.9,9.34,Grade B,Paper Shell,Trawling,FSH054,VSL045,FG018,75.2,TRUE,TRUE,TRUE
LOB00150,Slipper Lobster,9/6/2023,28.4,1114.9,8.78,Grade A,Hard Shell,Diving,FSH074,VSL035,FG005,34.05,FALSE,TRUE,TRUE
LOB00151,Slipper Lobster,2/6/2024,29.66,1368.6,12.45,Grade A,Paper Shell,Diving,FSH066,VSL027,FG015,56.02,FALSE,FALSE,TRUE
LOB00152,Rock Lobster,9/21/2023,22.63,203.9,10.18,Grade A,Hard Shell,Hand Picking,FSH045,VSL045,FG003,54.76,TRUE,TRUE,FALSE
LOB00153,American Lobster,2/12/2025,23.61,434,9.35,Reject,Peeler,Hand Picking,FSH058,VSL025,FG013,29.41,TRUE,FALSE,TRUE
LOB00154,European Lobster,1/1/2025,44.79,711,9.27,Grade B,Hard Shell,Trap,FSH039,VSL030,FG022,64.55,FALSE,FALSE,TRUE
LOB00155,European Lobster,8/7/2023,28.82,401.7,9.88,Grade A,Hard Shell,Hand Picking,FSH079,VSL050,FG001,38.24,TRUE,TRUE,TRUE
LOB00156,Rock Lobster,9/12/2023,32.93,1114.3,8.49,Grade A,Paper Shell,Hand Picking,FSH030,VSL035,FG007,66.49,TRUE,TRUE,FALSE
LOB00157,European Lobster,1/26/2024,39.47,1151,11.19,Grade C,Soft Shell,Trawling,FSH019,VSL043,FG017,37.16,FALSE,FALSE,TRUE
LOB00158,Slipper Lobster,9/21/2023,43.46,1343.6,17.12,Reject,Paper Shell,Trap,FSH045,VSL042,FG022,45.96,FALSE,FALSE,FALSE
LOB00159,European Lobster,2/6/2024,24,439,13.38,Grade B,Soft Shell,Trawling,FSH091,VSL010,FG015,75.31,FALSE,FALSE,TRUE
LOB00160,Rock Lobster,7/13/2024,22.29,464.3,14.47,Reject,Peeler,Trap,FSH069,VSL047,FG007,27.83,FALSE,TRUE,TRUE
LOB00161,European Lobster,7/21/2024,39.14,963.9,14.71,Grade B,Paper Shell,Diving,FSH043,VSL020,FG001,36.65,TRUE,TRUE,FALSE
LOB00162,European Lobster,12/23/2023,35.87,1114.9,11.97,Grade B,Peeler,Trawling,FSH049,VSL030,FG018,60.68,FALSE,FALSE,FALSE
LOB00163,Slipper Lobster,3/24/2024,41.48,805.8,16.03,Reject,Peeler,Diving,FSH048,VSL021,FG014,27.51,TRUE,TRUE,TRUE
LOB00164,Spiny Lobster,7/21/2023,31.6,959.2,15.2,Grade C,Soft Shell,Diving,FSH043,VSL015,FG013,56.34,TRUE,FALSE,FALSE
LOB00165,Spiny Lobster,9/29/2023,37.9,835.2,15.24,Reject,Paper Shell,Diving,FSH094,VSL023,FG006,32.7,FALSE,TRUE,TRUE
LOB00166,Slipper Lobster,11/27/2023,16.01,1300.7,17.45,Grade A,Hard Shell,Hand Picking,FSH018,VSL041,FG008,28.74,TRUE,TRUE,TRUE
LOB00167,Slipper Lobster,12/10/2023,28.68,278.6,14.38,Reject,Paper Shell,Trap,FSH001,VSL035,FG018,47.62,TRUE,FALSE,FALSE
LOB00168,American Lobster,1/23/2024,30.07,1107.2,12.31,Grade B,Hard Shell,Trap,FSH068,VSL010,FG008,35.56,FALSE,FALSE,FALSE
