inspection_id,lobster_id,inspection_date,inspector_name,visual_inspection,size_compliance,shell_integrity,meat_quality,parasite_check,contamination_test,overall_result,inspection_cost,certificate_issued,notes
INS00058,LOB00201,2025-01-16,Michael Brown,Fail,False,Excellent,Standard,Clear,Positive,Pass,13.9,False,Apply leg ground low protect. For ask husband nation.
INS00059,LOB03212,2025-05-20,Maria Garcia,Conditional Pass,True,Poor,Premium,Significant,Positive,Retest Required,14.48,True,Do dream edge great certainly. Begin team sit. Material seven wonder force.
INS00060,LOB07955,2025-03-14,David Johnson,Conditional Pass,True,Excellent,Standard,Clear,Positive,Fail,14.99,True,Study major father actually occur side. Realize style force leg.
INS00061,LOB04158,2025-01-28,David Johnson,Retest Required,False,Excellent,Standard,Minor,Negative,Retest Required,22.69,False,"Daughter way last present throughout test three. Eat couple rise base.
Program check admit."
INS00062,LOB08053,2025-04-02,John Smith,Conditional Pass,True,Excellent,Premium,Minor,Negative,Conditional Pass,19.51,True,Most mouth quite recognize reach. Later report sister exactly bed share century.
INS00063,LOB06519,2025-05-25,Sarah Wilson,Retest Required,False,Fair,Below Standard,Minor,Positive,Retest Required,19.32,False,Beyond fund after eye beyond none feel. Democratic understand generation food back.
INS00064,LOB07276,2025-01-05,Michael Brown,Conditional Pass,False,Excellent,Premium,Significant,Negative,Fail,12.19,True,Probably between everything yourself. Dark floor four see stop stock difference. Audience per set.
INS00065,LOB08981,2025-05-04,Michael Brown,Pass,True,Poor,Below Standard,Minor,Positive,Pass,15.68,True,Really today knowledge stay keep weight. Author item itself clearly present contain available.
INS00066,LOB06660,2025-03-22,David Johnson,Fail,True,Excellent,Premium,Minor,Negative,Pass,21.69,False,Speech structure baby administration current. Which explain lot see right whom.
INS00067,LOB00194,2025-02-11,Michael Brown,Conditional Pass,False,Poor,Standard,Significant,Negative,Fail,10.39,True,Practice not project size computer success. Those good risk. Walk human travel politics.
INS00068,LOB01177,2025-03-08,Sarah Wilson,Conditional Pass,True,Excellent,Standard,Clear,Negative,Conditional Pass,10.51,False,Positive above everybody pressure. Difficult debate win remain issue improve.
INS00069,LOB08549,2025-01-18,John Smith,Fail,False,Poor,Premium,Clear,Negative,Retest Required,6.39,True,Can modern too face. Whole once stock several. Family beautiful investment.
INS00070,LOB03772,2025-05-31,John Smith,Retest Required,False,Fair,Premium,Significant,Positive,Conditional Pass,13.2,False,Rich because defense south pressure prepare according onto. Wrong clearly high.
INS00071,LOB05166,2025-05-28,David Johnson,Pass,True,Excellent,Standard,Clear,Negative,Conditional Pass,9.17,True,Particular however most entire. Happy my which sort message else attorney.
INS00072,LOB06010,2025-05-20,Michael Brown,Fail,True,Good,Standard,Minor,Negative,Conditional Pass,10.05,False,Movement shoulder open family. Next between radio hospital might. Land half treat scene door.
INS00073,LOB00017,2025-03-26,Michael Brown,Fail,True,Poor,Standard,Clear,Positive,Pass,7.02,False,Ground face pass order. Computer relationship few city.
INS00074,LOB08036,2025-02-22,David Johnson,Retest Required,False,Good,Premium,Clear,Negative,Fail,10.39,False,Able party door trade. Finish recent wrong guess agree official watch.
INS00075,LOB05850,2025-05-15,David Johnson,Pass,True,Fair,Below Standard,Clear,Positive,Retest Required,10.52,False,Once in measure attorney enter hot ask. Should actually sell know factor agency.
INS00076,LOB01869,2025-05-06,David Johnson,Pass,False,Poor,Standard,Significant,Positive,Conditional Pass,13.33,True,Particularly over kid else image yet field. Off push animal would lose describe quality.
INS00077,LOB06782,2025-01-16,Michael Brown,Fail,False,Poor,Below Standard,Significant,Positive,Pass,17.97,True,Loss according to five. Still mean drop ask better.
INS00078,LOB03044,2025-02-09,Sarah Wilson,Fail,True,Excellent,Standard,Clear,Positive,Conditional Pass,18.59,True,Arm way establish live shake. Present fly system show even.
INS00079,LOB06615,2025-03-03,Michael Brown,Retest Required,False,Good,Premium,Minor,Positive,Retest Required,14.72,True,Race American just tend. Cold watch mother meeting election arrive such.
INS00080,LOB01669,2025-02-15,John Smith,Retest Required,True,Poor,Standard,Significant,Positive,Fail,10.2,True,Fear table factor hot series.
INS00081,LOB01447,2025-01-15,Michael Brown,Conditional Pass,False,Poor,Below Standard,Clear,Negative,Pass,6.34,False,Look space majority political. Away imagine off realize read value wait.
INS00082,LOB06707,2025-03-22,Michael Brown,Pass,True,Poor,Standard,Clear,Positive,Conditional Pass,19.87,True,Letter tax able able term he economy. My decision seat produce compare any market.
INS00083,LOB06251,2025-02-17,Michael Brown,Retest Required,True,Poor,Premium,Clear,Negative,Conditional Pass,12.01,False,Kind state item lead writer at author.
INS00084,LOB04375,2025-01-20,John Smith,Retest Required,False,Excellent,Standard,Significant,Negative,Pass,13.88,False,Event more air space product skill. After speech religious style among.
INS00085,LOB08337,2025-03-29,David Johnson,Pass,True,Good,Below Standard,Minor,Positive,Retest Required,18.35,False,How wife avoid view both type often. Choose couple conference themselves team final.
INS00086,LOB04629,2025-05-27,Maria Garcia,Conditional Pass,False,Fair,Below Standard,Minor,Positive,Retest Required,7.62,False,Organization candidate short. Fact easy stuff. Threat central cell second.
INS00087,LOB03425,2025-03-05,Sarah Wilson,Fail,False,Excellent,Standard,Clear,Negative,Retest Required,11.18,True,Election air energy sort.
INS00088,LOB01023,2025-01-14,Michael Brown,Retest Required,True,Good,Premium,Significant,Positive,Retest Required,8.64,False,Age area point example. Factor science above beat spring almost nor across.
INS00089,LOB08398,2025-03-26,Sarah Wilson,Pass,True,Fair,Standard,Clear,Positive,Pass,21.47,True,Road dream test yeah. Meet control collection second heavy. Democrat oil sign vote.
INS00090,LOB00014,2025-04-05,Maria Garcia,Conditional Pass,False,Good,Below Standard,Minor,Positive,Conditional Pass,22.39,False,Size community decide position. In add pull behavior me her hope.
INS00091,LOB00724,2025-03-07,Maria Garcia,Conditional Pass,False,Poor,Premium,Clear,Positive,Pass,11.21,True,Receive actually you degree great range high everybody. Century another card season should until.
INS00092,LOB04120,2025-02-27,Sarah Wilson,Retest Required,True,Poor,Below Standard,Significant,Positive,Retest Required,23.41,False,Benefit American sense difference goal usually country. Talk no its step knowledge six model.
INS00093,LOB06586,2025-05-30,Michael Brown,Retest Required,False,Excellent,Below Standard,Minor,Positive,Retest Required,7.55,False,Research maintain benefit half protect wind. Week would let mission animal reason you step.
INS00094,LOB01050,2025-01-28,John Smith,Pass,False,Poor,Below Standard,Significant,Negative,Pass,22.76,False,Paper water your somebody pattern present. Central involve create executive between sport city.
INS00095,LOB02420,2025-03-29,Sarah Wilson,Conditional Pass,False,Excellent,Premium,Significant,Positive,Conditional Pass,24.14,False,Strategy lawyer tax spend attack pressure.
INS00096,LOB03703,2025-03-09,David Johnson,Fail,True,Good,Below Standard,Clear,Positive,Fail,14.49,True,Cell exactly water central. Quite newspaper well eye rich station democratic.
INS00097,LOB00557,2025-03-13,Michael Brown,Pass,True,Good,Below Standard,Significant,Negative,Fail,12.22,True,Lawyer mean main operation money anything fact.
INS00098,LOB04936,2025-01-23,Michael Brown,Conditional Pass,True,Poor,Premium,Significant,Negative,Pass,11.47,True,House successful score dinner couple. Account decision occur according number add people each.
INS00099,LOB06151,2025-04-28,Maria Garcia,Pass,False,Good,Standard,Minor,Negative,Fail,9.91,True,Include day hand hope. Walk impact develop true together fast leave. Member involve affect machine.
INS00100,LOB02712,2025-02-21,John Smith,Pass,True,Poor,Below Standard,Minor,Negative,Pass,17.65,False,Next soldier herself quickly fine indicate fast subject. Remain society bar. Voice too fill test.
INS00101,LOB02925,2025-02-21,Michael Brown,Conditional Pass,False,Fair,Below Standard,Clear,Positive,Fail,13.92,True,Career wide quality Democrat. My color least whatever theory leader agent level.
INS00102,LOB06872,2025-05-01,Michael Brown,Retest Required,True,Good,Premium,Minor,Negative,Fail,24.51,False,Nation store idea player early at PM. Thing play describe. Involve model traditional country.
INS00103,LOB09601,2025-05-06,Michael Brown,Conditional Pass,True,Poor,Standard,Minor,Negative,Fail,10.04,False,Clearly not lay concern. Memory control yes white. I necessary weight section read.
INS00104,LOB00671,2025-01-26,John Smith,Retest Required,False,Poor,Premium,Clear,Positive,Pass,5.07,False,Tv kitchen white will. What guy in produce find. Development southern media down.
INS00105,LOB08982,2025-02-19,John Smith,Conditional Pass,False,Fair,Standard,Clear,Negative,Retest Required,8.57,False,Him strong be pretty line. Mrs Mr return meet subject. Follow spend movie try party.
INS00106,LOB07160,2025-04-06,John Smith,Conditional Pass,False,Good,Below Standard,Significant,Negative,Fail,6.39,True,Month account person little. These leader voice medical bed.
INS00107,LOB09058,2025-04-08,Sarah Wilson,Retest Required,False,Excellent,Below Standard,Clear,Positive,Fail,14.39,False,Yard week law campaign boy. Position person billion that degree.
INS00108,LOB02799,2025-03-30,John Smith,Conditional Pass,False,Good,Standard,Clear,Negative,Pass,15.1,True,Mission message seven.
INS00109,LOB07588,2025-03-25,Sarah Wilson,Retest Required,True,Fair,Standard,Clear,Negative,Conditional Pass,11.16,False,Mouth lay system around. Wrong part thank discuss.
INS00110,LOB01068,2025-01-08,Maria Garcia,Fail,False,Poor,Premium,Minor,Negative,Retest Required,16.83,True,Per should bad money. Think site several around. Nice hope interview page black.
INS00111,LOB03116,2025-05-18,John Smith,Retest Required,False,Good,Below Standard,Significant,Negative,Conditional Pass,13.59,True,Event three series church. Computer rise manage event raise.
INS00112,LOB00312,2025-05-21,Sarah Wilson,Retest Required,False,Poor,Below Standard,Clear,Negative,Conditional Pass,8.07,True,Top decade beautiful help. Enjoy candidate performance west. Tough kid religious carry plant.
INS00113,LOB04440,2025-06-02,David Johnson,Retest Required,False,Fair,Standard,Significant,Positive,Retest Required,11.5,False,Painting writer mission take arm investment small. American top long on. Lay meet sing cell.
INS00114,LOB09899,2025-01-29,Sarah Wilson,Retest Required,True,Excellent,Standard,Significant,Positive,Conditional Pass,11.24,True,Market almost cover. Build firm election near third.
INS00115,LOB01376,2025-05-05,Michael Brown,Retest Required,False,Fair,Premium,Significant,Positive,Retest Required,20.85,True,Serious ok do. Foreign choice hour policy among western.
INS00116,LOB00575,2025-02-01,Sarah Wilson,Pass,False,Excellent,Standard,Significant,Negative,Conditional Pass,11.22,False,Approach ten together she always. Business finish know event section.
INS00117,LOB07614,2025-01-11,Michael Brown,Pass,True,Excellent,Premium,Minor,Positive,Conditional Pass,23.85,False,Section current resource together offer happen. Eight contain during cold.
INS00118,LOB03942,2025-03-13,John Smith,Pass,False,Poor,Standard,Significant,Positive,Fail,9.81,False,Garden cut risk care the baby computer.
INS00119,LOB02151,2025-02-08,John Smith,Pass,False,Poor,Below Standard,Significant,Positive,Pass,13.03,False,Get budget through network by value result. Often western operation little.
INS00120,LOB01777,2025-02-22,David Johnson,Conditional Pass,False,Good,Standard,Clear,Positive,Conditional Pass,8.04,False,Evidence learn trial. Sing player this down.
INS00121,LOB02407,2025-03-13,Sarah Wilson,Pass,False,Good,Premium,Minor,Negative,Fail,18.13,True,Thing challenge my home can part road. East nothing cup per address listen. Event provide rich.
INS00122,LOB09500,2025-05-24,Sarah Wilson,Conditional Pass,True,Excellent,Premium,Clear,Negative,Pass,20.93,True,Image task how fire. Go second run.
INS00123,LOB02121,2025-03-17,David Johnson,Fail,True,Excellent,Below Standard,Minor,Negative,Fail,8.02,False,Kid entire maybe. It Republican white increase federal campaign stay story.
INS00124,LOB05437,2025-03-05,Michael Brown,Fail,False,Fair,Premium,Clear,Negative,Fail,8.4,False,Difference society rich among law. Fall develop seven leg. Project yard lot.
INS00125,LOB04413,2025-03-22,Michael Brown,Conditional Pass,False,Good,Standard,Clear,Positive,Pass,10.2,True,Inside wish back buy. Let quality town PM human.
INS00126,LOB01290,2025-05-09,Michael Brown,Conditional Pass,False,Poor,Premium,Clear,Negative,Conditional Pass,21.14,False,Total sing future dream. Reflect eight world son partner.
INS00127,LOB05815,2025-01-26,Michael Brown,Pass,False,Fair,Standard,Significant,Positive,Fail,11.5,False,Fly modern imagine voice evening. Measure sometimes eye anything ready become Mr.
INS00128,LOB03735,2025-01-02,David Johnson,Fail,True,Fair,Below Standard,Clear,Positive,Conditional Pass,8.26,False,Consider close both question. Quite bank exist bar easy. Five fine forget little letter century.
INS00129,LOB05030,2025-03-17,John Smith,Conditional Pass,False,Excellent,Premium,Minor,Negative,Pass,13.92,True,To degree never. Bar wear itself condition. Current style Republican fly participant page.
INS00130,LOB00712,2025-04-20,Michael Brown,Conditional Pass,True,Excellent,Standard,Clear,Negative,Pass,15.31,False,Issue manager north many unit skill choose. Start price economy one.
INS00131,LOB00412,2025-04-07,Maria Garcia,Pass,True,Excellent,Premium,Minor,Negative,Pass,14.42,True,As ten data set. Service senior possible occur night when quality.
INS00132,LOB06242,2025-04-06,Maria Garcia,Fail,True,Fair,Standard,Minor,Positive,Pass,11.93,True,Arrive environment TV to build worry if. Detail worry record Democrat age accept out amount.
INS00133,LOB02661,2025-04-27,Michael Brown,Pass,True,Fair,Below Standard,Clear,Negative,Conditional Pass,22.35,False,"Team land president really drive start rest. Store have lead.
Leave down carry."
INS00134,LOB05477,2025-04-09,John Smith,Retest Required,True,Poor,Premium,Significant,Positive,Retest Required,6.38,True,Who election want leader. Million record yet third possible president.
INS00135,LOB06390,2025-04-28,Maria Garcia,Conditional Pass,False,Excellent,Standard,Clear,Negative,Conditional Pass,15.68,True,Management ask budget today. Compare operation north impact. Process them lawyer glass.
INS00136,LOB03949,2025-03-24,Sarah Wilson,Conditional Pass,False,Excellent,Premium,Significant,Positive,Fail,9.69,True,Manage blue mind save admit.
INS00137,LOB09840,2025-03-15,Maria Garcia,Fail,True,Poor,Below Standard,Minor,Positive,Conditional Pass,19.45,False,Exist try from its finally school. Tax show who machine cut force.
INS00138,LOB00396,2025-05-20,Michael Brown,Pass,True,Poor,Standard,Clear,Positive,Pass,18.37,True,Blue painting writer stuff mouth lot skin. Thought support quality.
INS00139,LOB04353,2025-05-02,Michael Brown,Fail,True,Fair,Standard,Significant,Positive,Retest Required,23.8,False,Yourself sit market great type be. Hope plan choice since. Simple push sign trial.
INS00140,LOB05210,2025-02-20,John Smith,Fail,True,Poor,Premium,Clear,Negative,Retest Required,7.45,True,Race step per part social majority they. Cover why cut list seem.
INS00141,LOB03519,2025-02-02,Maria Garcia,Conditional Pass,True,Poor,Standard,Significant,Positive,Conditional Pass,24.23,False,Item network success. Small cost technology.
INS00142,LOB06943,2025-04-15,David Johnson,Fail,False,Poor,Premium,Significant,Positive,Retest Required,6.75,False,Indicate top remain film star law policy computer.
INS00143,LOB04689,2025-05-04,David Johnson,Retest Required,False,Poor,Standard,Minor,Positive,Pass,23.84,False,Executive start understand although. Pattern country sea.
INS00144,LOB08215,2025-02-13,Sarah Wilson,Retest Required,True,Good,Standard,Significant,Negative,Fail,24.85,False,Beyond computer far. Interview first forward so lot government thus.
INS00145,LOB07201,2025-05-08,John Smith,Conditional Pass,True,Excellent,Standard,Significant,Negative,Pass,15.73,False,Every including whole network run. Activity network situation in someone place enjoy white.
INS00146,LOB03301,2025-02-23,Sarah Wilson,Pass,True,Poor,Standard,Clear,Positive,Pass,18.56,False,Collection bar detail even never wife answer.
INS00147,LOB08186,2025-03-05,Maria Garcia,Fail,True,Good,Standard,Minor,Negative,Retest Required,19.14,True,Either pressure much physical increase performance. Wonder others anything listen.
INS00148,LOB08635,2025-01-01,Sarah Wilson,Retest Required,True,Poor,Below Standard,Minor,Negative,Fail,22.16,True,Drive stage arrive rate rule live. North gun lot message.
INS00149,LOB06011,2025-02-18,Sarah Wilson,Pass,True,Fair,Below Standard,Significant,Positive,Conditional Pass,11.99,False,Tree thought improve certain energy. Wall cover glass rich five according.
INS00150,LOB01148,2025-03-13,Maria Garcia,Pass,True,Excellent,Standard,Minor,Negative,Fail,23.82,False,Item social lay population standard.
INS00151,LOB09035,2025-05-26,Michael Brown,Retest Required,False,Fair,Premium,Minor,Positive,Conditional Pass,7.17,False,Party language church mother. Parent since arm get majority current.
INS00152,LOB09031,2025-03-28,Sarah Wilson,Conditional Pass,False,Good,Premium,Clear,Positive,Pass,23.3,False,Environmental word price ok seek case response. Usually him seat trip ever.
INS00153,LOB07236,2025-02-07,David Johnson,Pass,False,Fair,Premium,Significant,Positive,Retest Required,16.92,True,"Challenge forward court anyone. Man where prepare world.
Service money impact every reflect."
INS00154,LOB05513,2025-03-06,Michael Brown,Conditional Pass,True,Good,Premium,Minor,Positive,Pass,21.17,False,"Modern team question same decide though up. Help recognize land site program.
All food skin."
INS00155,LOB05661,2025-04-03,John Smith,Fail,True,Poor,Premium,Clear,Negative,Fail,12.08,True,Consumer value throw buy hundred. Politics still hit. Soon reason see phone government.
INS00156,LOB03734,2025-01-30,Michael Brown,Pass,True,Excellent,Below Standard,Minor,Positive,Retest Required,22.44,False,Plan network throughout involve personal should. Game so president prepare.
INS00157,LOB07797,2025-02-28,Michael Brown,Fail,False,Poor,Standard,Clear,Positive,Fail,5.43,True,Almost often around everyone.
INS00158,LOB03214,2025-01-06,David Johnson,Fail,True,Poor,Premium,Significant,Positive,Fail,12.76,False,Ball just view course close keep. Change place officer case or.
INS00159,LOB03307,2025-01-08,Maria Garcia,Retest Required,False,Fair,Below Standard,Minor,Positive,Fail,10.08,True,Answer smile drop real sometimes kitchen interesting himself.
INS00160,LOB07324,2025-05-06,David Johnson,Conditional Pass,True,Good,Premium,Minor,Positive,Pass,22.42,False,Against close above three two key third.
INS00161,LOB04164,2025-03-08,John Smith,Fail,False,Fair,Below Standard,Significant,Positive,Fail,17.09,False,Moment responsibility learn water movement plant sign. Wear glass mind each former.
INS00162,LOB06956,2025-05-08,David Johnson,Pass,False,Excellent,Standard,Minor,Positive,Fail,16.87,True,Ready stock attention feeling pick the control because. Plant goal police debate economy.
INS00163,LOB00702,2025-01-29,Maria Garcia,Conditional Pass,False,Excellent,Premium,Minor,Positive,Pass,5.13,True,Agency program central sea. Also stock world set herself wall.
INS00164,LOB00184,2025-04-22,Maria Garcia,Pass,True,Fair,Below Standard,Minor,Negative,Retest Required,22.15,True,"End far small environment form. Per list sure happy.
Late mouth nor like possible Mrs."
