fish_id,fish_name,weight_kg,length_cm,catch_date,province,fishing_method,freshness_score,category_id,location_id,fisher_id
50,Trout,39.66,199.6,9/24/2023,Papua,Long Line,8,1,8,492
51,Catfish,49.34,174.4,9/16/2023,Jawa Barat,Hand Line,3,2,18,349
52,Cod,35.98,199.6,5/26/2023,Jawa Barat,Hand Line,9,4,13,325
53,Mackerel,9.22,193.3,5/5/2023,Bali,Trawling,4,1,20,287
54,Barramundi,22.76,86.3,8/28/2023,Sulawesi Selatan,Purse Seine,6,5,4,186
55,Anchovy,25.12,115.9,6/26/2023,Sumatera Utara,Purse Seine,9,1,19,292
56,Swordfish,47.78,155.3,9/5/2023,Lampung,Hand Line,2,1,3,177
57,Herring,31.02,87.2,3/19/2023,Bali,Gill Net,1,1,8,273
58,Salmon,11.99,23.8,7/28/2023,Papua,Long Line,3,3,12,299
59,Grouper,27.34,97.2,5/1/2023,Jawa Timur,Purse Seine,5,3,13,34
60,Mahi-mahi,0.92,113.8,7/30/2023,Kalimantan Selatan,Trap,3,4,16,16
61,Flounder,40.37,159.3,9/4/2023,Sumatera Utara,Gill Net,1,1,1,190
62,Swordfish,5.72,165.2,1/6/2023,Sulawesi Selatan,Hand Line,1,2,19,356
63,Mahi-mahi,19.79,23.3,9/4/2023,Jawa Tengah,Trap,10,3,1,2
64,Sardine,7.3,163.9,5/18/2023,Bali,Hand Line,7,3,12,3
65,Herring,17.6,179.2,11/12/2023,Kalimantan Selatan,Long Line,5,2,6,220
66,Swordfish,33.72,183.9,11/16/2023,Sulawesi Selatan,Purse Seine,8,3,7,357
67,Sole,1.14,171.4,7/10/2023,Sumatera Utara,Long Line,8,2,16,129
68,Pomfret,7.42,175.1,4/5/2023,Sumatera Utara,Purse Seine,1,3,20,460
69,King Fish,21.98,41.8,4/6/2023,Kalimantan Selatan,Trap,6,4,9,378
70,Barramundi,38.8,34.1,1/25/2023,Jawa Barat,Purse Seine,9,5,8,169
71,Amberjack,15.14,128.9,3/26/2023,Maluku,Long Line,6,2,15,333
72,Pomfret,4.66,171.7,3/21/2023,Sulawesi Selatan,Hand Line,8,4,14,268
73,Mackerel,40.63,22.9,9/12/2023,Sulawesi Selatan,Trap,1,4,15,136
74,,12.41,61.3,2/6/2023,Lampung,Trap,7,4,5,364
75,Halibut,1.23,109.9,7/25/2023,Jawa Tengah,Purse Seine,9,2,1,384
76,Herring,47.28,136.3,8/27/2023,Sumatera Utara,Trawling,3,1,16,205
77,Mackerel,20.03,111.3,11/5/2023,Sumatera Utara,Gill Net,3,1,3,60
78,Pomfret,44.22,23.3,1/1/2024,Papua,Trawling,5,2,19,163
79,Sea Bass,24.44,148,1/14/2023,Jawa Timur,Trawling,1,1,15,133
80,Trout,11.49,60.9,10/23/2023,Jawa Barat,Long Line,10,4,4,269
81,Tilapia,16.85,68.7,4/12/2023,Jawa Timur,Hand Line,2,1,2,488
82,King Fish,38.41,82,11/23/2023,Papua,Long Line,3,1,12,410
83,Cod,19.03,171.5,3/11/2023,Sumatera Utara,Gill Net,3,5,1,222
84,Flounder,31.07,94,4/29/2023,Bali,Long Line,2,3,8,491
85,Carp,39.62,53,3/20/2023,Maluku,Gill Net,5,1,13,402
86,Tuna,27.57,69.9,1/3/2023,Sulawesi Selatan,Trawling,1,4,19,373
87,Swordfish,8.98,80.6,10/24/2023,Papua,Long Line,6,3,4,344
88,Herring,26.37,184.7,7/23/2023,Jawa Timur,Gill Net,9,3,12,268
89,King Fish,19.69,176.2,11/7/2023,Jawa Timur,Purse Seine,9,3,20,365
90,Grouper,45.36,66,4/25/2023,Papua,Gill Net,4,1,20,208
91,Salmon,24.28,45.9,10/11/2023,Sumatera Utara,Hand Line,2,4,14,399
92,Sea Bass,48.24,168.6,11/5/2023,Bali,Hand Line,6,2,1,113
93,Grouper,5.31,134.8,8/10/2023,Maluku,Hand Line,9,1,2,4
94,Tilapia,0.59,32.8,9/6/2023,Jawa Timur,Gill Net,1,2,12,312
95,Amberjack,39.99,96.8,10/5/2023,Jawa Timur,Trawling,7,1,10,90
96,King Fish,46.57,85.9,7/26/2023,Jawa Timur,Long Line,2,5,7,476
97,Swordfish,41.27,15.5,3/30/2023,Maluku,Trap,3,2,10,467
98,Snapper,16.04,153.7,4/25/2023,Jawa Tengah,Purse Seine,5,3,18,483
99,Cod,48.06,186.2,10/5/2023,Kalimantan Selatan,Long Line,2,4,10,187
100,Herring,1.86,184.7,6/10/2023,Papua,Hand Line,10,5,6,428
101,Halibut,37.68,129.9,4/22/2023,Jawa Barat,Hand Line,8,2,15,158
102,Pomfret,6.12,49.5,5/20/2023,Kalimantan Selatan,Long Line,5,4,3,102
103,Sardine,2.2,189.4,8/30/2023,Kalimantan Selatan,Long Line,6,1,15,469
104,Herring,16.04,81.7,4/1/2023,Papua,Trap,3,1,20,53
105,Salmon,17.87,50.9,12/3/2023,Kalimantan Selatan,Hand Line,5,5,10,172
106,Sardine,24.96,41.4,1/3/2023,Papua,Long Line,7,4,14,213
107,Mackerel,28.11,15.7,7/20/2023,Bali,Gill Net,8,4,19,80
108,Tuna,37.24,191.9,11/29/2023,Sulawesi Selatan,Gill Net,9,1,19,442
109,Herring,16.16,57.5,2/5/2023,Sulawesi Selatan,Purse Seine,7,3,5,232
110,Pomfret,49.19,42.6,7/11/2023,Jawa Timur,Trap,1,5,13,262
111,Cod,35.76,184,8/29/2023,Papua,Hand Line,2,2,16,196
112,Swordfish,32.59,50.6,2/14/2023,Lampung,Gill Net,4,2,14,61
113,Barramundi,28.58,138,12/5/2023,Lampung,Long Line,7,3,13,3
114,Tuna,41.72,88.1,1/16/2023,Sumatera Utara,Purse Seine,10,2,2,485
115,Grouper,23.5,58.3,9/11/2023,Jawa Timur,Long Line,10,2,15,59
116,Flounder,16.38,149.5,7/5/2023,Jawa Timur,Trap,1,3,1,307
117,Anchovy,4.59,66,11/10/2023,Jawa Timur,Hand Line,8,1,15,341
118,Cod,7.48,64.1,10/26/2023,Papua,Purse Seine,3,5,8,182
119,Tilapia,42.52,70.1,10/28/2023,Kalimantan Selatan,Purse Seine,10,3,20,1
120,Amberjack,14.6,164.9,4/20/2023,Sumatera Utara,Long Line,10,5,3,254
121,Yellowtail,35.98,38.4,9/9/2023,Kalimantan Selatan,Trawling,9,5,6,396
122,Salmon,8.97,102.1,4/15/2023,Sulawesi Selatan,Trap,9,4,5,209
123,King Fish,2.22,153,8/10/2023,Papua,Long Line,1,1,14,319
124,Amberjack,4.49,54.5,2/1/2023,Maluku,Hand Line,6,5,20,105
125,Yellowtail,23.81,177.6,7/18/2023,Maluku,Long Line,10,4,18,288
126,Snapper,0.68,158.6,2/11/2023,Jawa Barat,Gill Net,5,4,9,57
127,Snapper,20.48,160.8,5/18/2023,Sulawesi Selatan,Purse Seine,7,1,20,157
128,Tuna,21.84,60,12/3/2023,Kalimantan Selatan,Gill Net,10,2,3,409
129,Herring,1.77,126.8,10/14/2023,Lampung,Gill Net,9,4,7,72
130,King Fish,40.74,95.5,7/28/2023,Lampung,Purse Seine,9,2,1,136
131,Pomfret,3.02,46.2,11/5/2023,Papua,Hand Line,7,2,20,470
132,Grouper,30.18,26.9,6/26/2023,Bali,Purse Seine,2,1,15,298
133,Sole,38.97,72.9,7/2/2023,Lampung,Trap,1,3,12,362
134,Pomfret,31.02,57.6,5/7/2023,Jawa Timur,Gill Net,9,1,2,253
135,Amberjack,10.8,93.9,7/13/2023,Papua,Trap,3,5,12,411
136,Carp,47.24,32.3,7/14/2023,Sumatera Utara,Hand Line,8,2,4,274
137,Sole,20.24,99.1,5/2/2023,Bali,Trap,6,2,5,184
138,Salmon,14.02,124.1,10/25/2023,Lampung,Hand Line,8,2,16,317
139,Herring,42.74,115.2,4/9/2023,Bali,Gill Net,5,4,11,229
140,Snapper,30.69,153.6,4/14/2023,Jawa Barat,Long Line,6,4,14,305
141,Grouper,4.23,137.8,11/18/2023,Sumatera Utara,Long Line,8,3,1,104
142,Flounder,13.31,193.2,7/26/2023,Jawa Tengah,Trap,9,3,16,7
143,Anchovy,27.89,48.7,5/22/2023,Bali,Purse Seine,9,1,12,111
144,Amberjack,30.08,92.4,2/2/2023,Bali,Trawling,3,3,20,39
145,Sea Bass,42.28,137,11/27/2023,Sulawesi Selatan,Purse Seine,1,1,6,42
146,King Fish,30.46,82.3,12/20/2023,Lampung,Long Line,4,3,2,249
147,Trout,34.75,167.4,5/7/2023,Maluku,Trawling,4,4,17,418
148,Carp,41.43,,10/8/2023,Papua,Long Line,9,2,6,281
149,Amberjack,12.58,198.2,3/17/2023,Jawa Timur,Hand Line,8,4,14,462
150,King Fish,45.25,46.3,5/26/2023,Jawa Timur,Long Line,5,2,6,275
151,Sole,9.88,43.3,6/29/2023,Lampung,Purse Seine,3,4,7,330
152,Barramundi,20.8,158.4,7/21/2023,Maluku,Trawling,6,5,12,448
153,Swordfish,40.66,64,1/7/2023,Maluku,Long Line,8,5,9,317
154,Sardine,41.37,135.4,8/4/2023,Jawa Tengah,Trawling,5,4,7,159
155,Sole,30.17,75.7,1/26/2023,Kalimantan Selatan,Trawling,2,2,11,182
156,Sardine,42.17,42.3,5/14/2023,Maluku,Trap,10,3,14,159
157,Flounder,48.78,25.5,1/23/2023,Kalimantan Selatan,Trap,1,2,2,87
158,Snapper,37.51,194.3,6/2/2023,Bali,Purse Seine,9,2,16,86
159,Tuna,23.94,64.6,2/21/2023,Papua,Long Line,4,2,20,486
160,Mackerel,8.57,116.5,11/8/2023,Sulawesi Selatan,Hand Line,10,1,12,15
161,Snapper,5.81,34.4,10/10/2023,Jawa Barat,Gill Net,10,4,1,344
162,Amberjack,47.64,180.5,11/29/2023,Sumatera Utara,Hand Line,4,3,16,194
163,Carp,14.5,116.5,7/1/2023,Lampung,Trap,2,5,1,221
164,Sardine,45.03,171.1,11/28/2023,Kalimantan Selatan,Purse Seine,4,1,15,379
165,Snapper,49.12,90.6,1/7/2023,Maluku,Long Line,6,3,3,79
166,Yellowtail,9.3,51.4,1/8/2023,Bali,Hand Line,5,4,2,225
167,Pomfret,44.47,157.1,11/18/2023,Sumatera Utara,Hand Line,6,3,18,230
168,Snapper,0.59,27.4,4/12/2023,Jawa Barat,Gill Net,3,3,10,32
169,Anchovy,34.39,90.1,8/9/2023,Papua,Hand Line,3,4,5,278
170,Salmon,33.4,131.1,6/21/2023,Lampung,Gill Net,7,1,9,336
171,Herring,16.38,188.9,9/23/2023,Sulawesi Selatan,Gill Net,10,5,8,323
172,Tilapia,24.24,109.3,11/7/2023,Jawa Barat,Hand Line,7,3,20,277
173,Halibut,45.16,18.7,11/12/2023,Bali,Long Line,8,1,7,28
174,Pomfret,6.21,172.6,12/13/2023,Jawa Timur,Gill Net,3,2,14,209
175,Mahi-mahi,11.49,40.5,10/18/2023,Sulawesi Selatan,Hand Line,5,1,5,388
176,Barramundi,38.4,16.6,5/5/2023,Bali,Trap,3,3,6,255
177,Halibut,14.38,178.6,2/16/2023,Jawa Tengah,Gill Net,8,5,12,384
178,Barramundi,36.53,59.1,6/23/2023,Jawa Timur,Long Line,1,5,13,404
179,Sea Bass,13.61,191.8,4/12/2023,Jawa Barat,Gill Net,3,2,3,435
180,Halibut,19.99,129.3,11/13/2023,Kalimantan Selatan,Gill Net,1,1,5,53
181,Sardine,10.53,180.4,7/11/2023,Maluku,Hand Line,8,2,4,500
182,Sea Bass,32.26,26.5,12/28/2023,Maluku,Trawling,5,3,5,188
183,Sea Bass,22.76,43.1,6/13/2023,Jawa Timur,Gill Net,9,5,6,429
184,Herring,45.79,49.3,11/11/2023,Kalimantan Selatan,Purse Seine,7,5,1,160
185,Yellowtail,4.8,177.6,1/27/2023,Jawa Timur,Long Line,6,2,4,203
186,Salmon,18.96,16.7,12/27/2023,Sumatera Utara,Gill Net,2,4,1,4
187,Cod,44.39,47.6,3/9/2023,Papua,Purse Seine,6,5,14,92
188,Trout,30.03,147.9,12/26/2023,Jawa Barat,Long Line,8,2,3,189
189,King Fish,47.87,48.5,9/21/2023,Kalimantan Selatan,Trawling,8,1,6,500
190,Flounder,28.7,150.1,11/22/2023,Maluku,Long Line,10,1,7,318
191,Swordfish,13.04,178.5,9/1/2023,Papua,Trawling,6,4,15,140
192,Herring,47.51,176,4/13/2023,Maluku,Hand Line,3,4,20,222
193,Mackerel,5.42,159,10/28/2023,Jawa Barat,Trawling,9,5,6,345
194,Carp,39.41,90.4,7/28/2023,Kalimantan Selatan,Purse Seine,10,2,19,83
195,Pomfret,43.99,126.8,7/11/2023,Maluku,Trawling,3,2,13,237
196,Sole,30.47,62.3,9/26/2023,Sumatera Utara,Trawling,5,2,8,190
197,Flounder,48.3,38.1,4/8/2023,Bali,Trawling,1,1,8,355
198,Pomfret,6.52,22.3,6/18/2023,Kalimantan Selatan,Purse Seine,4,4,1,385
199,Cod,24.93,76.2,3/29/2023,Papua,Purse Seine,9,5,8,237
200,Catfish,8.51,197.5,2/14/2023,Papua,Gill Net,2,3,1,397
201,Pomfret,13.61,163.2,9/16/2023,Bali,Hand Line,3,4,18,52
202,King Fish,1.98,133.1,8/3/2023,Lampung,Long Line,3,3,20,264
203,Cod,28.7,74.8,3/6/2023,Sulawesi Selatan,Trap,2,3,18,123
204,Mackerel,3.26,57.3,3/28/2023,Maluku,Trap,6,2,3,474
205,Mahi-mahi,28.59,66.6,7/8/2023,Sumatera Utara,Purse Seine,10,4,7,287
206,Swordfish,19.26,82.5,10/24/2023,Kalimantan Selatan,Trawling,7,4,11,115
207,Flounder,31.43,132.4,6/1/2023,Kalimantan Selatan,Trap,10,3,11,303
208,Amberjack,29.94,72.1,4/3/2023,Bali,Gill Net,6,5,8,54
209,Mahi-mahi,42.45,199.1,4/23/2023,Maluku,Long Line,3,5,4,354
210,Pomfret,40.54,29.4,2/7/2023,Bali,Hand Line,10,4,5,105
211,Sardine,28.39,148.8,2/5/2023,Papua,Hand Line,2,5,7,449
212,Carp,34.05,72.4,3/3/2023,Jawa Timur,Gill Net,1,5,7,21
213,Barramundi,46.1,26,1/2/2023,Lampung,Long Line,1,2,6,324
214,Herring,24.63,125.4,6/9/2023,Papua,Hand Line,10,5,20,494
215,Halibut,6.05,53.5,1/10/2023,Bali,Long Line,7,4,16,227
216,Carp,48.47,16.4,8/15/2023,Sumatera Utara,Trawling,4,5,12,93
217,Catfish,44.05,59.8,12/16/2023,Lampung,Gill Net,1,4,12,112
218,Anchovy,18.2,180.4,1/18/2023,Papua,Gill Net,6,1,20,224
219,Mackerel,11.7,157.4,8/23/2023,Jawa Tengah,Gill Net,10,1,6,193
220,Halibut,10.18,146.7,10/15/2023,Jawa Timur,Trap,9,3,13,41
221,Salmon,22.23,160.4,9/26/2023,Maluku,Gill Net,4,1,18,185
222,Sea Bass,43.8,159,12/17/2023,Sulawesi Selatan,Hand Line,3,5,10,217
223,Barramundi,23.05,180.8,12/7/2023,Sulawesi Selatan,Trap,10,3,12,243
224,Halibut,43.73,28,8/27/2023,Sumatera Utara,Trap,8,3,3,496
225,Sea Bass,29.26,25.8,11/6/2023,Jawa Timur,Trawling,10,5,20,356
226,Flounder,7.46,29,4/1/2023,Maluku,Hand Line,1,4,4,143
227,Yellowtail,28.04,110.7,12/16/2023,Jawa Barat,Trap,2,2,17,339
228,Halibut,10.3,53.3,11/24/2023,Jawa Timur,Long Line,4,4,1,302
229,Sole,33.64,46,12/18/2023,Bali,Long Line,4,3,17,127
230,Anchovy,31.86,72.1,12/9/2023,Sumatera Utara,Trap,6,4,10,200
231,Herring,41.78,138.9,12/1/2023,Sulawesi Selatan,Hand Line,3,2,7,53
232,Cod,31.02,27.3,7/3/2023,Jawa Timur,Trawling,4,4,19,108
233,Amberjack,41.39,132.9,10/30/2023,Jawa Tengah,Trawling,4,4,8,370
234,Cod,8.3,169.5,2/10/2023,Kalimantan Selatan,Hand Line,6,4,20,307
235,Trout,29.44,138.4,9/30/2023,Kalimantan Selatan,Trawling,2,3,10,190
236,Flounder,25.64,29.8,8/26/2023,Bali,Long Line,6,3,15,145
237,Yellowtail,35.64,138,6/25/2023,Kalimantan Selatan,Hand Line,2,4,18,408
238,Grouper,48.93,137.4,6/21/2023,Sulawesi Selatan,Purse Seine,7,2,1,188
239,Trout,27.6,21.1,11/9/2023,Jawa Barat,Trap,2,2,17,212
240,Cod,1.21,90.4,2/7/2023,Jawa Tengah,Gill Net,8,5,12,125
241,Sole,24.48,163.8,5/20/2023,Maluku,Purse Seine,9,3,3,63
242,Sardine,24.87,153.5,1/17/2023,Maluku,Trawling,3,2,13,325
243,Sardine,20.81,64.9,8/12/2023,Lampung,Trawling,8,4,4,399
244,Amberjack,28.09,172.2,5/16/2023,Sumatera Utara,Trap,10,5,2,460
245,Mahi-mahi,31.19,150.4,4/22/2023,Maluku,Gill Net,5,3,10,44
246,Pomfret,41.35,167.3,4/22/2023,Jawa Tengah,Gill Net,8,4,10,278
247,Flounder,30.62,156.6,6/20/2023,Sumatera Utara,Hand Line,2,4,18,311
248,King Fish,42.58,190.5,9/13/2023,Lampung,Purse Seine,3,5,15,178
249,Snapper,11.2,117.4,1/16/2023,Jawa Timur,Hand Line,7,3,14,362
250,Sardine,43.51,27,7/9/2023,Kalimantan Selatan,Trawling,3,1,10,41
251,Pomfret,35.51,38.7,6/29/2023,Papua,Gill Net,4,5,18,364
252,Anchovy,30.91,76.1,9/28/2023,Kalimantan Selatan,Trap,9,1,15,238
253,Sea Bass,11.94,54.3,2/7/2023,Jawa Timur,Gill Net,8,1,10,142
254,Yellowtail,3.11,51.1,4/18/2023,Jawa Barat,Hand Line,4,5,5,58
255,Barramundi,16.65,162,9/15/2023,Kalimantan Selatan,Trawling,6,4,14,124
256,Mackerel,42.41,33.7,7/16/2023,Jawa Barat,Hand Line,10,4,2,317
257,Halibut,23.1,167.4,4/3/2023,Maluku,Gill Net,8,3,16,374
258,Salmon,26.16,17.6,6/19/2023,Jawa Timur,Gill Net,7,3,5,490
259,Mahi-mahi,1.15,16.6,6/29/2023,Papua,Trawling,2,1,2,325
260,Tuna,38.36,26.6,5/7/2023,Jawa Timur,Gill Net,9,2,9,48
261,Salmon,11.2,183.9,3/14/2023,Papua,Purse Seine,10,2,20,51
262,King Fish,34.93,157.6,11/30/2023,Sumatera Utara,Trap,8,3,16,387
263,Pomfret,1.74,48.7,5/19/2023,Jawa Tengah,Hand Line,3,2,2,110
264,Snapper,15.1,136.7,7/18/2023,Sulawesi Selatan,Purse Seine,3,4,7,483
265,Cod,28.44,34.1,1/27/2023,Papua,Hand Line,8,2,7,229
266,Anchovy,37.1,115.6,11/24/2023,Sumatera Utara,Trawling,8,2,11,352
267,Yellowtail,47.7,177.7,12/31/2023,Jawa Barat,Gill Net,2,5,12,226
268,Pomfret,32.67,143.8,2/13/2023,Jawa Tengah,Hand Line,4,2,20,188
269,Halibut,32.37,105.1,3/25/2023,Maluku,Trawling,8,1,8,325
270,Sea Bass,11.04,107.6,1/1/2024,Sumatera Utara,Trap,2,4,18,290
271,Yellowtail,29.72,183,8/5/2023,Lampung,Trap,9,2,10,347
272,Tilapia,25.42,74.1,5/6/2023,Bali,Long Line,2,3,9,237
273,Amberjack,5.33,33.7,10/10/2023,Kalimantan Selatan,Gill Net,3,5,13,388
274,Flounder,47.22,94.2,12/22/2023,Jawa Tengah,Gill Net,4,3,6,120
275,Snapper,25.94,188.5,10/2/2023,Jawa Timur,Gill Net,8,2,5,89
276,Pomfret,12.8,199.2,2/9/2023,Kalimantan Selatan,Trap,9,4,18,135
277,Yellowtail,26.23,140,2/1/2023,Maluku,Gill Net,5,3,10,303
278,Anchovy,18.74,77.9,4/17/2023,Jawa Barat,Long Line,6,5,6,399
279,Anchovy,39.42,137.6,6/18/2023,Papua,Trawling,10,1,17,343
280,Mackerel,28.75,83.9,3/6/2023,Jawa Timur,Gill Net,5,3,4,435
281,Mackerel,13.31,18.4,6/3/2023,Papua,Purse Seine,6,4,8,288
282,Yellowtail,9.66,143.2,8/16/2023,Jawa Timur,Long Line,3,5,9,421
283,Pomfret,34.27,125.1,6/24/2023,Sumatera Utara,Gill Net,9,2,6,296
284,Grouper,18.62,190.8,6/20/2023,Sumatera Utara,Purse Seine,8,4,15,31
285,Sardine,22.35,89.9,4/12/2023,Maluku,Trap,2,3,2,156
286,Yellowtail,42.28,141.2,12/25/2023,Papua,Gill Net,10,2,8,320
287,Flounder,43.29,120.3,7/13/2023,Sumatera Utara,Long Line,6,4,11,238
288,Tuna,21.59,63.4,11/19/2023,Jawa Tengah,Trap,10,2,6,20
289,Mackerel,9.24,55.3,9/13/2023,Bali,Long Line,7,4,2,389
290,Swordfish,26.23,128.8,5/24/2023,Maluku,Trawling,7,5,2,387
291,Mahi-mahi,37.77,136.4,1/28/2023,Sumatera Utara,Trawling,1,4,14,115
292,Cod,2.92,133.1,12/23/2023,Jawa Barat,Trawling,10,2,7,346
293,Cod,27.51,159,10/3/2023,Jawa Barat,Gill Net,9,2,12,197
294,Flounder,49.01,32.1,3/3/2023,Sumatera Utara,Trawling,9,2,14,327
295,Sole,42.38,52.5,5/23/2023,Kalimantan Selatan,Hand Line,6,5,14,238
296,Grouper,15.9,135.1,12/9/2023,Lampung,Long Line,6,4,9,101
297,Barramundi,45.84,92,11/27/2023,Kalimantan Selatan,Gill Net,8,2,9,132
298,Catfish,48.02,68.3,10/8/2023,Kalimantan Selatan,Long Line,3,5,12,335
299,Sea Bass,7.99,67.3,8/23/2023,Papua,Trawling,3,1,14,148
300,Mahi-mahi,38.25,25.5,8/23/2023,Papua,Trawling,10,3,10,463
301,Anchovy,39.48,21.4,4/9/2023,Bali,Trawling,10,1,17,416
302,Halibut,24.12,24.1,10/16/2023,Lampung,Hand Line,9,3,4,423
303,Carp,22.47,86,5/16/2023,Kalimantan Selatan,Long Line,8,2,5,314
304,Sole,44.93,98.4,3/31/2023,Jawa Barat,Gill Net,9,1,11,233
305,Salmon,25.64,189.4,4/13/2023,Kalimantan Selatan,Trawling,7,2,6,135
306,Mahi-mahi,42.58,40.8,5/10/2023,Sulawesi Selatan,Trap,4,5,5,159
307,Yellowtail,31.12,53.2,1/3/2023,Sulawesi Selatan,Purse Seine,7,5,19,123
308,Cod,45.85,174,9/30/2023,Maluku,Trawling,4,3,11,421
309,Salmon,5.99,42.1,3/9/2023,Jawa Barat,Hand Line,4,4,2,49
310,King Fish,12.88,61,1/14/2023,Jawa Timur,Trawling,10,2,16,445
311,Swordfish,5.36,119.9,7/6/2023,Jawa Timur,Purse Seine,1,4,20,172
312,Anchovy,17.96,25.8,5/19/2023,Papua,Trap,7,4,20,369
313,Tuna,1.94,45.6,4/20/2023,Jawa Timur,Purse Seine,8,1,4,359
314,Trout,12.1,112.8,7/6/2023,Jawa Tengah,Trawling,6,5,15,389
315,Grouper,47.95,65.3,7/9/2023,Kalimantan Selatan,Purse Seine,1,2,11,48
316,Herring,15.79,72.7,1/22/2023,Jawa Timur,Long Line,6,3,19,400
317,Tuna,36.44,187.2,3/26/2023,Bali,Hand Line,2,2,2,19
318,Sole,39.43,132.6,3/22/2023,Lampung,Long Line,5,4,14,90
319,Tilapia,24.51,154.6,6/20/2023,Jawa Barat,Gill Net,6,5,11,215
320,Tilapia,43.78,44.5,2/1/2023,Bali,Trawling,9,5,6,466
321,Swordfish,29.29,19.7,10/9/2023,Kalimantan Selatan,Purse Seine,6,5,16,259
322,Grouper,19.37,92.4,9/13/2023,Sumatera Utara,Purse Seine,4,2,11,388
323,Yellowtail,18.15,197.5,5/10/2023,Kalimantan Selatan,Gill Net,10,1,20,233
