market_name,fish_type,date,price_per_kg,supply_kg,demand_level
Muara Baru,Tuna,2023-10-08,57244,1838,Low
Muara Baru,Tuna,2023-10-15,141394,1791,Medium
Muara Baru,Tuna,2023-10-22,37504,111,Low
Muara Baru,Tuna,2023-10-29,153100,1304,High
Muara Baru,Tuna,2023-11-05,193303,413,Medium
Muara Baru,Tuna,2023-11-12,135675,1469,Medium
Muara Baru,Tuna,2023-11-19,69717,888,Medium
Muara Baru,Tuna,2023-11-26,96590,1628,Low
Muara Baru,Tuna,2023-12-03,162188,868,Medium
Muara Baru,Tuna,2023-12-10,170907,466,Low
Muara Baru,Tuna,2023-12-17,63682,982,Medium
Muara Baru,Tuna,2023-12-24,231312,243,Medium
Muara Baru,Tuna,2023-12-31,180799,1791,Medium
Muara Baru,Salmon,2023-01-01,207503,1819,High
Muara Baru,Salmon,2023-01-08,166666,857,Low
Muara Baru,Salmon,2023-01-15,63852,957,High
Muara Baru,Salmon,2023-01-22,243495,198,High
Muara Baru,Salmon,2023-01-29,30311,1236,Low
Muara Baru,Salmon,2023-02-05,120122,1350,High
Muara Baru,Salmon,2023-02-12,75070,1351,Medium
Muara Baru,Salmon,2023-02-19,169956,980,Medium
Muara Baru,Salmon,2023-02-26,205747,933,High
Muara Baru,Salmon,2023-03-05,180280,1548,Low
Muara Baru,Salmon,2023-03-12,130260,1884,Low
Muara Baru,Salmon,2023-03-19,184556,375,Medium
Muara Baru,Salmon,2023-03-26,119087,1581,Low
Muara Baru,Salmon,2023-04-02,204953,113,Medium
Muara Baru,Salmon,2023-04-09,89117,1912,High
Muara Baru,Salmon,2023-04-16,153785,462,Medium
Muara Baru,Salmon,2023-04-23,64814,1818,High
Muara Baru,Salmon,2023-04-30,135192,445,Medium
Muara Baru,Salmon,2023-05-07,246282,1069,Medium
Muara Baru,Salmon,2023-05-14,162026,1288,Low
Muara Baru,Salmon,2023-05-21,242965,842,High
Muara Baru,Salmon,2023-05-28,261562,1397,Low
Muara Baru,Salmon,2023-06-04,110051,1558,Low
Muara Baru,Salmon,2023-06-11,80707,762,Medium
Muara Baru,Salmon,2023-06-18,243396,858,Low
Muara Baru,Salmon,2023-06-25,182311,774,High
Muara Baru,Salmon,2023-07-02,53348,1715,Medium
Muara Baru,Salmon,2023-07-09,149456,1276,Medium
Muara Baru,Salmon,2023-07-16,149147,911,Low
Muara Baru,Salmon,2023-07-23,53546,164,Low
Muara Baru,Salmon,2023-07-30,49298,462,High
Muara Baru,Salmon,2023-08-06,119279,1687,Low
Muara Baru,Salmon,2023-08-13,212633,409,High
Muara Baru,Salmon,2023-08-20,96920,885,Medium
Muara Baru,Salmon,2023-08-27,200945,131,High
Muara Baru,Salmon,2023-09-03,230591,256,Low
Muara Baru,Salmon,2023-09-10,156924,334,Medium
Muara Baru,Salmon,2023-09-17,150275,738,High
Muara Baru,Salmon,2023-09-24,209573,1923,High
Muara Baru,Salmon,2023-10-01,113230,1638,High
Muara Baru,Salmon,2023-10-08,125985,296,Medium
Muara Baru,Salmon,2023-10-15,96847,1683,Low
Muara Baru,Salmon,2023-10-22,221418,723,High
Muara Baru,Salmon,2023-10-29,235293,237,Medium
Muara Baru,Salmon,2023-11-05,122352,1339,Low
Muara Baru,Salmon,2023-11-12,95507,408,Low
Muara Baru,Salmon,2023-11-19,86889,505,Low
Muara Baru,Salmon,2023-11-26,168630,1409,High
Muara Baru,Salmon,2023-12-03,183533,854,Medium
Muara Baru,Salmon,2023-12-10,212376,1337,High
Muara Baru,Salmon,2023-12-17,93950,421,High
Muara Baru,Salmon,2023-12-24,204804,1799,Medium
Muara Baru,Salmon,2023-12-31,156216,1444,High
Muara Baru,Mackerel,2023-01-01,163681,1350,High
Muara Baru,Mackerel,2023-01-08,210233,1473,High
Muara Baru,Mackerel,2023-01-15,105437,1610,Low
Muara Baru,Mackerel,2023-01-22,189094,1112,Medium
Muara Baru,Mackerel,2023-01-29,136565,1377,High
Muara Baru,Mackerel,2023-02-05,161596,1242,Medium
Muara Baru,Mackerel,2023-02-12,187676,1543,Low
Muara Baru,Mackerel,2023-02-19,129402,934,Medium
Muara Baru,Mackerel,2023-02-26,107092,538,Medium
Muara Baru,Mackerel,2023-03-05,125949,980,Low
Muara Baru,Mackerel,2023-03-12,167416,278,Medium
Muara Baru,Mackerel,2023-03-19,154713,1326,Medium
Muara Baru,Mackerel,2023-03-26,167455,1128,High
Muara Baru,Mackerel,2023-04-02,164279,1359,Low
Muara Baru,Mackerel,2023-04-09,163392,654,Low
Muara Baru,Mackerel,2023-04-16,83058,1155,Medium
Muara Baru,Mackerel,2023-04-23,40711,1159,High
Muara Baru,Mackerel,2023-04-30,231980,1095,Medium
Muara Baru,Mackerel,2023-05-07,42752,1903,Medium
Muara Baru,Mackerel,2023-05-14,233793,1671,High
Muara Baru,Mackerel,2023-05-21,29590,395,High
Muara Baru,Mackerel,2023-05-28,126357,415,High
Muara Baru,Mackerel,2023-06-04,91253,1687,High
Muara Baru,Mackerel,2023-06-11,250512,637,Medium
Muara Baru,Mackerel,2023-06-18,263099,1575,High
Muara Baru,Mackerel,2023-06-25,172256,997,High
Muara Baru,Mackerel,2023-07-02,100579,1072,Low
Muara Baru,Mackerel,2023-07-09,187214,1957,High
Muara Baru,Mackerel,2023-07-16,114581,1259,Low
Muara Baru,Mackerel,2023-07-23,252821,1510,Medium
Muara Baru,Mackerel,2023-07-30,242595,233,High
Muara Baru,Mackerel,2023-08-06,215786,1950,Medium
Muara Baru,Mackerel,2023-08-13,117891,1191,Medium
Muara Baru,Mackerel,2023-08-20,130454,1075,Low
Muara Baru,Mackerel,2023-08-27,91156,1711,Medium
Muara Baru,Mackerel,2023-09-03,97838,1077,Low
Muara Baru,Mackerel,2023-09-10,104856,359,Medium
Muara Baru,Mackerel,2023-09-17,213893,404,Medium
Muara Baru,Mackerel,2023-09-24,114184,707,Medium
Muara Baru,Mackerel,2023-10-01,170989,477,High
Muara Baru,Mackerel,2023-10-08,105327,1734,Low
Muara Baru,Mackerel,2023-10-15,164134,1020,Medium
Muara Baru,Mackerel,2023-10-22,144917,898,Low
Muara Baru,Mackerel,2023-10-29,248318,937,Low
Muara Baru,Mackerel,2023-11-05,56907,1491,High
Muara Baru,Mackerel,2023-11-12,150112,1004,Low
Muara Baru,Mackerel,2023-11-19,207008,884,Medium
Muara Baru,Mackerel,2023-11-26,86248,1850,Low
Muara Baru,Mackerel,2023-12-03,102037,787,Low
Muara Baru,Mackerel,2023-12-10,118362,222,Medium
Muara Baru,Mackerel,2023-12-17,224869,841,High
Muara Baru,Mackerel,2023-12-24,103266,1107,Medium
Muara Baru,Mackerel,2023-12-31,168734,1946,High
Muara Baru,Sardine,2023-01-01,216046,924,High
Muara Baru,Sardine,2023-01-08,122666,1466,Medium
Muara Baru,Sardine,2023-01-15,183158,1229,High
Muara Baru,Sardine,2023-01-22,176161,635,Low
Muara Baru,Sardine,2023-01-29,107651,1933,High
Muara Baru,Sardine,2023-02-05,172393,553,Low
Muara Baru,Sardine,2023-02-12,199505,727,Medium
Muara Baru,Sardine,2023-02-19,131616,1840,High
Muara Baru,Sardine,2023-02-26,137313,1828,High
Muara Baru,Sardine,2023-03-05,177528,1732,High
Muara Baru,Sardine,2023-03-12,232153,1921,High
Muara Baru,Sardine,2023-03-19,80099,727,Medium
Muara Baru,Sardine,2023-03-26,140730,969,Medium
Muara Baru,Sardine,2023-04-02,58229,140,High
Muara Baru,Sardine,2023-04-09,81903,522,Low
Muara Baru,Sardine,2023-04-16,149258,1644,Low
Muara Baru,Sardine,2023-04-23,182631,1144,Low
Muara Baru,Sardine,2023-04-30,111927,492,Low
Muara Baru,Sardine,2023-05-07,158984,686,Low
Muara Baru,Sardine,2023-05-14,80911,1690,High
Muara Baru,Sardine,2023-05-21,222217,938,Medium
Muara Baru,Sardine,2023-05-28,72319,1943,Low
Muara Baru,Sardine,2023-06-04,166407,721,Low
Muara Baru,Sardine,2023-06-11,126751,1823,High
Muara Baru,Sardine,2023-06-18,122609,1053,Low
Muara Baru,Sardine,2023-06-25,74514,839,Low
Muara Baru,Sardine,2023-07-02,59514,1764,High
Muara Baru,Sardine,2023-07-09,42346,1498,Medium
Muara Baru,Sardine,2023-07-16,57289,1020,Low
Muara Baru,Sardine,2023-07-23,232392,1313,High
Muara Baru,Sardine,2023-07-30,44285,1489,High
Muara Baru,Sardine,2023-08-06,177828,1291,Low
Muara Baru,Sardine,2023-08-13,125253,830,Medium
Muara Baru,Sardine,2023-08-20,212105,453,Medium
Muara Baru,Sardine,2023-08-27,223220,1254,Low
Muara Baru,Sardine,2023-09-03,62930,535,High
Muara Baru,Sardine,2023-09-10,230250,449,High
Muara Baru,Sardine,2023-09-17,130844,1300,Low
Muara Baru,Sardine,2023-09-24,202873,1039,Medium
Muara Baru,Sardine,2023-10-01,44316,1411,Medium
Muara Baru,Sardine,2023-10-08,125452,1971,Medium
Muara Baru,Sardine,2023-10-15,40621,1818,High
Muara Baru,Sardine,2023-10-22,75008,1381,High
Muara Baru,Sardine,2023-10-29,109437,1647,Medium
Muara Baru,Sardine,2023-11-05,239063,708,Medium
Muara Baru,Sardine,2023-11-12,73571,232,High
Muara Baru,Sardine,2023-11-19,79626,598,Medium
Muara Baru,Sardine,2023-11-26,133009,1390,High
Muara Baru,Sardine,2023-12-03,93338,1435,High
Muara Baru,Sardine,2023-12-10,131885,1218,Low
Muara Baru,Sardine,2023-12-17,226266,511,High
Muara Baru,Sardine,2023-12-24,139935,1573,High
Muara Baru,Sardine,2023-12-31,241485,1979,High
Muara Baru,Snapper,2023-01-01,128773,1760,Low
Muara Baru,Snapper,2023-01-08,164984,1999,Low
Muara Baru,Snapper,2023-01-15,191996,469,Medium
Muara Baru,Snapper,2023-01-22,181676,2000,Low
Muara Baru,Snapper,2023-01-29,208876,1059,Low
Muara Baru,Snapper,2023-02-05,193789,975,High
Muara Baru,Snapper,2023-02-12,81363,683,Low
Muara Baru,Snapper,2023-02-19,89627,120,High
Muara Baru,Snapper,2023-02-26,119436,405,Medium
Muara Baru,Snapper,2023-03-05,46177,1225,Medium
Muara Baru,Snapper,2023-03-12,64700,796,Low
Muara Baru,Snapper,2023-03-19,177389,695,High
Muara Baru,Snapper,2023-03-26,213511,145,Low
Muara Baru,Snapper,2023-04-02,80043,1822,Medium
Muara Baru,Snapper,2023-04-09,125087,948,High
Muara Baru,Snapper,2023-04-16,135484,387,Low
Muara Baru,Snapper,2023-04-23,126861,1790,Medium
Muara Baru,Snapper,2023-04-30,169109,1085,High
Muara Baru,Snapper,2023-05-07,241909,1607,Medium
Muara Baru,Snapper,2023-05-14,113053,674,Medium
Muara Baru,Snapper,2023-05-21,69391,1673,Medium
Muara Baru,Snapper,2023-05-28,200108,1149,Medium
Muara Baru,Snapper,2023-06-04,53127,1313,High
Muara Baru,Snapper,2023-06-11,221628,876,Medium
Muara Baru,Snapper,2023-06-18,212265,1628,Low
Muara Baru,Snapper,2023-06-25,219152,1994,Low
Muara Baru,Snapper,2023-07-02,125344,1593,High
Muara Baru,Snapper,2023-07-09,186193,524,Low
Muara Baru,Snapper,2023-07-16,162792,1883,High
Muara Baru,Snapper,2023-07-23,196346,1361,Low
Muara Baru,Snapper,2023-07-30,107296,1015,Low
Muara Baru,Snapper,2023-08-06,182821,1066,Medium
Muara Baru,Snapper,2023-08-13,53155,464,Medium
Muara Baru,Snapper,2023-08-20,236336,181,Medium
Muara Baru,Snapper,2023-08-27,159114,787,High
Muara Baru,Snapper,2023-09-03,202710,623,Medium
Muara Baru,Snapper,2023-09-10,24513,1058,High
Muara Baru,Snapper,2023-09-17,49339,1615,Low
Muara Baru,Snapper,2023-09-24,218479,228,High
Muara Baru,Snapper,2023-10-01,167038,591,Low
Muara Baru,Snapper,2023-10-08,118129,1768,Medium
Muara Baru,Snapper,2023-10-15,42251,460,Low
Muara Baru,Snapper,2023-10-22,115754,1830,Medium
Muara Baru,Snapper,2023-10-29,113192,1523,Medium
Muara Baru,Snapper,2023-11-05,43359,681,High
Muara Baru,Snapper,2023-11-12,225080,782,Medium
Muara Baru,Snapper,2023-11-19,259438,1434,Low
Muara Baru,Snapper,2023-11-26,184674,615,Medium
Muara Baru,Snapper,2023-12-03,242209,1892,Medium
Muara Baru,Snapper,2023-12-10,242807,316,Low
Muara Baru,Snapper,2023-12-17,227306,534,Medium
Muara Baru,Snapper,2023-12-24,69727,264,Medium
Muara Baru,Snapper,2023-12-31,36522,1913,Low
Muara Baru,Grouper,2023-01-01,144847,1942,Medium
Muara Baru,Grouper,2023-01-08,227217,1786,Medium
Muara Baru,Grouper,2023-01-15,222951,336,High
Muara Baru,Grouper,2023-01-22,169835,1695,Low
Muara Baru,Grouper,2023-01-29,217708,1681,Low
Muara Baru,Grouper,2023-02-05,88225,390,Medium
Muara Baru,Grouper,2023-02-12,198208,1330,Low
Muara Baru,Grouper,2023-02-19,131859,1415,Low
Muara Baru,Grouper,2023-02-26,178986,931,Low
Muara Baru,Grouper,2023-03-05,96754,1598,High
Muara Baru,Grouper,2023-03-12,207888,1841,High
Muara Baru,Grouper,2023-03-19,105009,1604,Medium
Muara Baru,Grouper,2023-03-26,166880,742,High
Muara Baru,Grouper,2023-04-02,168551,764,High
Muara Baru,Grouper,2023-04-09,133850,836,Medium
Muara Baru,Grouper,2023-04-16,207914,639,Medium
Muara Baru,Grouper,2023-04-23,52678,1987,Medium
Muara Baru,Grouper,2023-04-30,123565,1665,Low
Muara Baru,Grouper,2023-05-07,164564,262,Low
Muara Baru,Grouper,2023-05-14,191084,1517,High
Muara Baru,Grouper,2023-05-21,226879,117,Medium
Muara Baru,Grouper,2023-05-28,106020,1616,Medium
Muara Baru,Grouper,2023-06-04,112818,910,Medium
Muara Baru,Grouper,2023-06-11,240128,1538,Medium
Muara Baru,Grouper,2023-06-18,50764,1049,Medium
Muara Baru,Grouper,2023-06-25,188419,476,Medium
Muara Baru,Grouper,2023-07-02,46214,146,High
Muara Baru,Grouper,2023-07-09,191579,781,Medium
Muara Baru,Grouper,2023-07-16,61210,1184,High
Muara Baru,Grouper,2023-07-23,123789,1026,High
Muara Baru,Grouper,2023-07-30,187148,1604,Low
Muara Baru,Grouper,2023-08-06,193553,1723,High
Muara Baru,Grouper,2023-08-13,192457,362,Medium
Muara Baru,Grouper,2023-08-20,187906,370,High
Muara Baru,Grouper,2023-08-27,48393,235,Low
Muara Baru,Grouper,2023-09-03,230380,1497,Low
Muara Baru,Grouper,2023-09-10,159013,1576,Medium
Muara Baru,Grouper,2023-09-17,178293,1520,High
Muara Baru,Grouper,2023-09-24,241820,752,Medium
Muara Baru,Grouper,2023-10-01,249703,1281,High
Muara Baru,Grouper,2023-10-08,238956,1080,Low
Muara Baru,Grouper,2023-10-15,51181,533,Low
Muara Baru,Grouper,2023-10-22,62007,1709,Low
Muara Baru,Grouper,2023-10-29,232982,1343,Low
Muara Baru,Grouper,2023-11-05,147385,369,Low
Muara Baru,Grouper,2023-11-12,179902,1256,High
Muara Baru,Grouper,2023-11-19,210521,377,Medium
Muara Baru,Grouper,2023-11-26,129660,747,High
Muara Baru,Grouper,2023-12-03,68939,1020,High
Muara Baru,Grouper,2023-12-10,229689,699,Medium
Muara Baru,Grouper,2023-12-17,210884,321,High
Muara Baru,Grouper,2023-12-24,192995,1931,Low
Muara Baru,Grouper,2023-12-31,167824,1395,Low
Muara Baru,Barramundi,2023-01-01,145151,254,Low
Muara Baru,Barramundi,2023-01-08,119366,1557,Medium
Muara Baru,Barramundi,2023-01-15,187496,1121,Medium
Muara Baru,Barramundi,2023-01-22,87501,792,High
Muara Baru,Barramundi,2023-01-29,85558,449,High
Muara Baru,Barramundi,2023-02-05,141235,784,High
Muara Baru,Barramundi,2023-02-12,201990,739,Low
Muara Baru,Barramundi,2023-02-19,119599,1689,High
Muara Baru,Barramundi,2023-02-26,141021,1011,Medium
Muara Baru,Barramundi,2023-03-05,91675,1203,Low
Muara Baru,Barramundi,2023-03-12,209557,951,Low
Muara Baru,Barramundi,2023-03-19,221879,1335,Medium
Muara Baru,Barramundi,2023-03-26,142536,1279,Low
Muara Baru,Barramundi,2023-04-02,101637,1549,High
Muara Baru,Barramundi,2023-04-09,83515,967,Low
Muara Baru,Barramundi,2023-04-16,130944,1122,High
Muara Baru,Barramundi,2023-04-23,215529,281,Medium
Muara Baru,Barramundi,2023-04-30,151059,1950,Low
Muara Baru,Barramundi,2023-05-07,134203,175,Medium
Muara Baru,Barramundi,2023-05-14,203418,1684,Medium
Muara Baru,Barramundi,2023-05-21,48979,1393,Low
Muara Baru,Barramundi,2023-05-28,73706,103,Medium
Muara Baru,Barramundi,2023-06-04,210867,497,High
Muara Baru,Barramundi,2023-06-11,202407,1518,High
Muara Baru,Barramundi,2023-06-18,200064,1076,Medium
Muara Baru,Barramundi,2023-06-25,106011,723,High
Muara Baru,Barramundi,2023-07-02,107400,1565,Medium
Muara Baru,Barramundi,2023-07-09,162087,1314,Low
Muara Baru,Barramundi,2023-07-16,117974,328,Low
Muara Baru,Barramundi,2023-07-23,261858,1753,Low
Muara Baru,Barramundi,2023-07-30,99870,1456,Low
Muara Baru,Barramundi,2023-08-06,168262,178,Medium
Muara Baru,Barramundi,2023-08-13,174290,1152,Medium
Muara Baru,Barramundi,2023-08-20,63747,987,High
Muara Baru,Barramundi,2023-08-27,53362,1436,High
Muara Baru,Barramundi,2023-09-03,122109,1946,High
Muara Baru,Barramundi,2023-09-10,47485,716,Low
Muara Baru,Barramundi,2023-09-17,35390,1308,Low
Muara Baru,Barramundi,2023-09-24,170316,1766,High
Muara Baru,Barramundi,2023-10-01,151810,1185,Low
Muara Baru,Barramundi,2023-10-08,242982,651,Low
Muara Baru,Barramundi,2023-10-15,205187,886,Low
Muara Baru,Barramundi,2023-10-22,157195,120,Medium
Muara Baru,Barramundi,2023-10-29,65621,397,Medium
Muara Baru,Barramundi,2023-11-05,198966,638,Low
Muara Baru,Barramundi,2023-11-12,171482,978,High
Muara Baru,Barramundi,2023-11-19,220782,337,Low
Muara Baru,Barramundi,2023-11-26,217130,1734,Medium
Muara Baru,Barramundi,2023-12-03,54774,309,Low
Muara Baru,Barramundi,2023-12-10,167703,1602,Medium
Muara Baru,Barramundi,2023-12-17,114978,1278,High
Muara Baru,Barramundi,2023-12-24,120194,940,High
Muara Baru,Barramundi,2023-12-31,135299,187,High
Muara Baru,Cod,2023-01-01,37591,693,Low
Muara Baru,Cod,2023-01-08,222911,456,Low
Muara Baru,Cod,2023-01-15,169758,1698,High
Muara Baru,Cod,2023-01-22,92751,1582,High
Muara Baru,Cod,2023-01-29,179690,1953,Medium
Muara Baru,Cod,2023-02-05,76234,491,Medium
Muara Baru,Cod,2023-02-12,146784,1618,Low
Muara Baru,Cod,2023-02-19,89820,1584,Medium
Muara Baru,Cod,2023-02-26,191680,368,High
Muara Baru,Cod,2023-03-05,212681,1774,Medium
Muara Baru,Cod,2023-03-12,42555,290,Low
Muara Baru,Cod,2023-03-19,145774,1872,High
Muara Baru,Cod,2023-03-26,114718,1107,Low
Muara Baru,Cod,2023-04-02,41057,130,Medium
Muara Baru,Cod,2023-04-09,95014,618,Medium
Muara Baru,Cod,2023-04-16,245313,181,High
Muara Baru,Cod,2023-04-23,259224,1596,Low
Muara Baru,Cod,2023-04-30,106328,156,High
Muara Baru,Cod,2023-05-07,150429,665,High
Muara Baru,Cod,2023-05-14,118159,1204,High
Muara Baru,Cod,2023-05-21,194845,729,High
Muara Baru,Cod,2023-05-28,146354,1814,High
Muara Baru,Cod,2023-06-04,107348,952,High
Muara Baru,Cod,2023-06-11,99907,649,High
Muara Baru,Cod,2023-06-18,116018,1268,High
Muara Baru,Cod,2023-06-25,129742,228,High
Muara Baru,Cod,2023-07-02,43973,1084,Medium
Muara Baru,Cod,2023-07-09,53529,905,Low
Muara Baru,Cod,2023-07-16,138795,1491,High
Muara Baru,Cod,2023-07-23,51129,941,High
Muara Baru,Cod,2023-07-30,151016,580,Medium
Muara Baru,Cod,2023-08-06,139831,1094,High
Muara Baru,Cod,2023-08-13,195882,139,Medium
Muara Baru,Cod,2023-08-20,248215,390,Medium
Muara Baru,Cod,2023-08-27,138952,1159,Medium
Muara Baru,Cod,2023-09-03,106693,229,High
Muara Baru,Cod,2023-09-10,80223,1710,High
Muara Baru,Cod,2023-09-17,192681,1578,High
Muara Baru,Cod,2023-09-24,153320,1241,Low
Muara Baru,Cod,2023-10-01,68702,1383,High
Muara Baru,Cod,2023-10-08,174054,237,Medium
Muara Baru,Cod,2023-10-15,206974,143,Low
Muara Baru,Cod,2023-10-22,156404,473,Medium
Muara Baru,Cod,2023-10-29,218450,1622,High
Muara Baru,Cod,2023-11-05,74782,1766,High
Muara Baru,Cod,2023-11-12,244838,1139,Low
Muara Baru,Cod,2023-11-19,198399,544,Low
Muara Baru,Cod,2023-11-26,227603,1633,High
Muara Baru,Cod,2023-12-03,39061,818,Low
Muara Baru,Cod,2023-12-10,175387,1380,Low
Muara Baru,Cod,2023-12-17,169805,763,Low
Muara Baru,Cod,2023-12-24,121218,1288,High
Muara Baru,Cod,2023-12-31,231741,1602,Low
Muara Baru,Mahi-mahi,2023-01-01,160890,1497,High
Muara Baru,Mahi-mahi,2023-01-08,161208,1429,Medium
Muara Baru,Mahi-mahi,2023-01-15,206538,228,High
Muara Baru,Mahi-mahi,2023-01-22,159283,1270,Medium
Muara Baru,Mahi-mahi,2023-01-29,132856,1466,Medium
Muara Baru,Mahi-mahi,2023-02-05,96875,1559,High
Muara Baru,Mahi-mahi,2023-02-12,175043,1122,Medium
Muara Baru,Mahi-mahi,2023-02-19,213818,1754,Medium
Muara Baru,Mahi-mahi,2023-02-26,124328,548,Medium
Muara Baru,Mahi-mahi,2023-03-05,137264,818,Low
Muara Baru,Mahi-mahi,2023-03-12,148731,305,Medium
Muara Baru,Mahi-mahi,2023-03-19,108843,1411,Low
Muara Baru,Mahi-mahi,2023-03-26,183306,102,Low
Muara Baru,Mahi-mahi,2023-04-02,77676,1523,Medium
Muara Baru,Mahi-mahi,2023-04-09,259744,1069,Low
Muara Baru,Mahi-mahi,2023-04-16,149107,921,High
Muara Baru,Mahi-mahi,2023-04-23,49986,676,Medium
Muara Baru,Mahi-mahi,2023-04-30,48710,132,Low
Muara Baru,Mahi-mahi,2023-05-07,206584,448,High
Muara Baru,Mahi-mahi,2023-05-14,96273,1292,Low
Muara Baru,Mahi-mahi,2023-05-21,167588,861,High
Muara Baru,Mahi-mahi,2023-05-28,78449,1809,Medium
Muara Baru,Mahi-mahi,2023-06-04,80715,1926,High
Muara Baru,Mahi-mahi,2023-06-11,229906,1596,High
Muara Baru,Mahi-mahi,2023-06-18,159683,991,Low
Muara Baru,Mahi-mahi,2023-06-25,229771,887,Low
Muara Baru,Mahi-mahi,2023-07-02,102498,412,High
Muara Baru,Mahi-mahi,2023-07-09,134655,489,High
Muara Baru,Mahi-mahi,2023-07-16,204805,1031,High
Muara Baru,Mahi-mahi,2023-07-23,222798,1115,Low
Muara Baru,Mahi-mahi,2023-07-30,146996,1034,High
Muara Baru,Mahi-mahi,2023-08-06,187587,1286,Low
Muara Baru,Mahi-mahi,2023-08-13,257477,984,Medium
Muara Baru,Mahi-mahi,2023-08-20,127772,1472,Medium
Muara Baru,Mahi-mahi,2023-08-27,65406,315,Medium
Muara Baru,Mahi-mahi,2023-09-03,161441,1331,Low
Muara Baru,Mahi-mahi,2023-09-10,27941,760,Medium
Muara Baru,Mahi-mahi,2023-09-17,76172,247,Low
Muara Baru,Mahi-mahi,2023-09-24,253239,1654,High
Muara Baru,Mahi-mahi,2023-10-01,97454,799,High
Muara Baru,Mahi-mahi,2023-10-08,122266,731,High
Muara Baru,Mahi-mahi,2023-10-15,31260,1391,Low
Muara Baru,Mahi-mahi,2023-10-22,160495,1071,Low
Muara Baru,Mahi-mahi,2023-10-29,198607,192,High
Muara Baru,Mahi-mahi,2023-11-05,232528,518,High
Muara Baru,Mahi-mahi,2023-11-12,213909,1483,Medium
Muara Baru,Mahi-mahi,2023-11-19,129422,518,High
Muara Baru,Mahi-mahi,2023-11-26,179166,1681,Low
Muara Baru,Mahi-mahi,2023-12-03,216517,376,High
Muara Baru,Mahi-mahi,2023-12-10,101169,2000,Low
Muara Baru,Mahi-mahi,2023-12-17,112527,1165,Low
Muara Baru,Mahi-mahi,2023-12-24,62266,1060,High
Muara Baru,Mahi-mahi,2023-12-31,186042,1112,Medium
Muara Baru,Swordfish,2023-01-01,103334,859,Low
Muara Baru,Swordfish,2023-01-08,195440,119,Low
Muara Baru,Swordfish,2023-01-15,179166,1353,High
Muara Baru,Swordfish,2023-01-22,70118,1530,Medium
Muara Baru,Swordfish,2023-01-29,76150,338,High
Muara Baru,Swordfish,2023-02-05,248367,1256,Low
Muara Baru,Swordfish,2023-02-12,154290,779,High
Muara Baru,Swordfish,2023-02-19,42946,1357,High
Muara Baru,Swordfish,2023-02-26,224508,1572,Medium
Muara Baru,Swordfish,2023-03-05,160853,1449,Low
Muara Baru,Swordfish,2023-03-12,181860,884,Low
Muara Baru,Swordfish,2023-03-19,85296,614,High
Muara Baru,Swordfish,2023-03-26,165336,1421,Medium
Muara Baru,Swordfish,2023-04-02,255419,919,High
Muara Baru,Swordfish,2023-04-09,71007,1473,Medium
Muara Baru,Swordfish,2023-04-16,100598,128,High
Muara Baru,Swordfish,2023-04-23,212534,615,Medium
Muara Baru,Swordfish,2023-04-30,59364,1086,Medium
Muara Baru,Swordfish,2023-05-07,57880,932,High
