goat_id,breed,gender,birth_date,age_months,weight_kg,height_cm,health_status,market_price,owner_id,farm_id,registration_date
GT0089,Boer,Female,3/5/2016,112,37.12,83,Under Treatment,1338,OWN001,FRM017,5/1/2018
GT0090,Nubian,Male,5/30/2024,12,30.69,71,Quarantine,1337,OWN049,FRM008,6/10/2024
GT0091,Toggenburg,Female,12/25/2019,66,56.98,76,Quarantine,235,OWN006,FRM010,6/14/2021
GT0092,Nubian,Female,5/30/2018,85,59.97,64,Under Treatment,1169,OWN036,FRM017,7/21/2018
GT0093,Boer,Female,10/8/2022,32,79.78,80,Under Treatment,920,OWN045,FRM015,11/20/2024
GT0094,Boer,Female,4/30/2024,13,31.34,52,Mild Illness,846,OWN008,FRM018,7/20/2024
GT0095,Oberhasli,Male,10/25/2019,68,27.45,75,Under Treatment,1407,OWN049,FRM017,10/23/2021
GT0096,LaMancha,Female,12/25/2021,41,78.73,57,Under Treatment,665,OWN024,FRM006,11/10/2024
GT0097,Boer,Male,11/17/2015,116,61.02,53,Under Treatment,293,OWN004,FRM018,1/2/2024
GT0098,Boer,Male,2/14/2018,88,56.46,76,Healthy,225,OWN037,FRM010,10/30/2018
GT0099,Alpine,Female,5/26/2016,109,43.63,56,Healthy,717,OWN031,FRM004,4/12/2018
GT0100,Oberhasli,Male,1/7/2017,102,41.05,49,Healthy,510,OWN010,FRM019,7/1/2020
GT0101,Boer,Male,5/12/2023,25,79.6,52,Quarantine,1441,OWN039,FRM020,8/12/2024
GT0102,Nubian,Female,3/30/2020,63,44.28,73,Under Treatment,1405,OWN028,FRM010,6/21/2023
GT0103,LaMancha,Male,8/22/2023,21,54.63,51,Mild Illness,1481,OWN014,FRM009,11/17/2023
GT0104,Toggenburg,Male,9/23/2021,45,25.21,56,Healthy,520,OWN001,FRM014,11/21/2021
GT0105,Alpine,Female,1/19/2021,53,33.93,59,Under Treatment,779,OWN045,FRM015,3/1/2021
GT0106,Saanen,Male,4/3/2019,75,75.05,85,Mild Illness,1070,OWN008,FRM018,4/28/2020
GT0107,Nubian,Male,10/12/2019,68,74.05,54,Healthy,322,OWN011,FRM010,12/7/2023
GT0108,LaMancha,Female,11/25/2022,30,43.54,74,Under Treatment,1024,OWN018,FRM017,3/8/2025
GT0109,LaMancha,Female,8/15/2015,119,43.45,83,Healthy,1084,OWN048,FRM011,5/16/2016
GT0110,LaMancha,Female,7/24/2017,95,16.68,59,Healthy,751,OWN037,FRM002,4/11/2023
GT0111,Oberhasli,Male,1/10/2017,102,45.58,73,Under Treatment,571,OWN038,FRM014,6/27/2022
GT0112,Toggenburg,Female,12/25/2018,78,77.99,75,Under Treatment,1036,OWN022,FRM011,11/14/2019
GT0113,Toggenburg,Male,9/18/2019,69,70.75,66,Quarantine,1214,OWN019,FRM013,9/6/2022
GT0114,Oberhasli,Male,6/27/2021,47,44.56,65,Under Treatment,862,OWN008,FRM013,8/21/2024
GT0115,Oberhasli,Male,12/20/2018,78,57.75,79,Quarantine,1046,OWN004,FRM007,3/10/2025
GT0116,LaMancha,Female,6/15/2015,121,55.47,76,Quarantine,305,OWN014,FRM009,2/18/2023
GT0117,LaMancha,Male,1/12/2018,90,75.3,73,Quarantine,448,OWN002,FRM020,8/6/2021
GT0118,Oberhasli,Male,1/4/2024,17,61.14,64,Healthy,1331,OWN027,FRM003,1/22/2024
GT0119,Nubian,Male,7/31/2023,22,44.99,52,Mild Illness,1220,OWN046,FRM010,7/22/2024
GT0120,LaMancha,Female,3/31/2019,75,42.01,75,Quarantine,699,OWN030,FRM018,2/15/2022
GT0121,Nubian,Female,12/12/2020,54,27.39,83,Mild Illness,342,OWN018,FRM014,3/11/2022
GT0122,Boer,Female,6/14/2020,60,68.34,63,Under Treatment,1402,OWN038,FRM016,8/25/2021
GT0123,Oberhasli,Male,3/29/2023,26,44.03,75,Under Treatment,880,OWN036,FRM018,11/24/2024
GT0124,Alpine,Female,4/22/2019,74,75.64,57,Mild Illness,1371,OWN025,FRM008,6/3/2022
GT0125,Oberhasli,Female,12/21/2015,115,17.84,75,Quarantine,990,OWN043,FRM005,10/16/2020
GT0126,Alpine,Male,5/20/2020,61,23.21,82,Under Treatment,405,OWN029,FRM004,4/22/2024
GT0127,LaMancha,Female,5/14/2024,12,16,54,Quarantine,516,OWN005,FRM016,1/20/2025
GT0128,Oberhasli,Female,2/12/2021,52,37.01,70,Healthy,872,OWN044,FRM018,4/25/2023
GT0129,Alpine,Female,2/6/2016,113,55.74,76,Healthy,1464,OWN005,FRM008,9/5/2018
GT0130,Toggenburg,Female,11/27/2016,103,79.83,50,Quarantine,401,OWN049,FRM004,11/2/2022
GT0131,Alpine,Male,5/31/2024,12,60.11,46,Healthy,864,OWN004,FRM010,11/23/2024
GT0132,Boer,Female,10/13/2017,93,42.99,60,Quarantine,1359,OWN044,FRM006,3/12/2023
GT0133,Nubian,Male,7/26/2016,107,20.13,69,Mild Illness,1219,OWN038,FRM005,12/1/2018
GT0134,Nubian,Female,2/2/2024,16,56.46,74,Under Treatment,219,OWN030,FRM010,1/27/2025
GT0135,Toggenburg,Male,7/20/2017,95,19.8,67,Under Treatment,1068,OWN045,FRM009,10/12/2020
GT0136,Alpine,Female,4/28/2019,74,27.95,69,Quarantine,418,OWN016,FRM013,1/11/2024
GT0137,LaMancha,Female,12/27/2018,78,52.36,63,Healthy,1010,OWN018,FRM001,3/16/2021
GT0138,LaMancha,Male,12/4/2015,115,74.19,76,Under Treatment,671,OWN039,FRM012,7/27/2024
GT0139,Nubian,Male,8/24/2017,94,55.36,53,Healthy,1485,OWN042,FRM002,2/17/2022
GT0140,Boer,Female,1/21/2018,89,17.17,68,Mild Illness,384,OWN019,FRM011,6/10/2020
GT0141,Toggenburg,Female,9/28/2023,20,26.42,53,Under Treatment,1287,OWN033,FRM009,12/17/2023
GT0142,Oberhasli,Male,11/10/2016,104,31.7,75,Under Treatment,893,OWN008,FRM015,10/14/2024
GT0143,Saanen,Male,6/27/2016,108,64.02,59,Quarantine,1341,OWN024,FRM003,4/1/2019
GT0144,Oberhasli,Female,9/21/2018,81,15.9,79,Healthy,1131,OWN024,FRM009,5/20/2023
GT0145,LaMancha,Female,9/8/2018,82,68.46,68,Healthy,678,OWN031,FRM001,2/10/2024
GT0146,LaMancha,Female,1/12/2018,90,74.49,59,Healthy,1150,OWN045,FRM010,5/1/2025
GT0147,Toggenburg,Female,5/30/2023,24,22.58,47,Healthy,823,OWN032,FRM004,10/30/2023
GT0148,Saanen,Male,2/1/2023,28,72.67,53,Quarantine,1129,OWN024,FRM018,9/17/2023
GT0149,Alpine,Male,12/3/2015,115,72.55,51,Quarantine,1460,OWN027,FRM009,12/1/2022
GT0150,Saanen,Female,1/21/2018,89,29.12,73,Mild Illness,942,OWN007,FRM012,6/6/2020
GT0151,LaMancha,Female,10/31/2023,19,18.94,62,Mild Illness,450,OWN030,FRM003,1/30/2024
GT0152,Toggenburg,Male,8/24/2019,70,56.71,83,Healthy,303,OWN022,FRM008,11/30/2020
GT0153,Nubian,Male,1/5/2022,41,19.46,80,Mild Illness,1400,OWN014,FRM008,1/11/2025
GT0154,Boer,Male,4/14/2019,74,66.26,83,Healthy,767,OWN010,FRM005,6/2/2019
GT0155,LaMancha,Female,1/29/2022,40,66.9,52,Healthy,469,OWN001,FRM012,8/10/2024
GT0156,Oberhasli,Male,10/20/2022,31,53.28,46,Mild Illness,743,OWN004,FRM005,2/12/2024
GT0157,Toggenburg,Female,3/29/2017,99,49.2,49,Quarantine,1118,OWN050,FRM012,5/22/2022
GT0158,LaMancha,Male,6/28/2015,120,44.38,59,Healthy,1267,OWN020,FRM015,4/17/2019
GT0159,Toggenburg,Male,12/9/2016,103,18.95,75,Quarantine,1073,OWN044,FRM004,4/1/2021
GT0160,Alpine,Female,7/10/2023,23,19.78,50,Under Treatment,1445,OWN010,FRM003,5/27/2025
GT0161,Nubian,Female,2/15/2016,113,55.58,82,Under Treatment,980,OWN039,FRM017,1/22/2025
GT0162,Boer,Female,5/3/2023,25,47.86,72,Healthy,434,OWN042,FRM018,3/8/2025
GT0163,Toggenburg,Male,9/20/2017,93,42.95,59,Quarantine,894,OWN030,FRM013,1/8/2025
GT0164,Alpine,Male,11/3/2023,19,35.32,65,Under Treatment,966,OWN010,FRM016,4/3/2025
GT0165,Saanen,Male,10/9/2023,20,69.07,50,Quarantine,397,OWN048,FRM012,12/16/2023
GT0166,Oberhasli,Male,8/4/2015,119,51.16,82,Under Treatment,450,OWN027,FRM012,12/20/2019
GT0167,Oberhasli,Female,8/20/2015,119,71.43,48,Under Treatment,1429,OWN020,FRM012,11/19/2021
GT0168,Saanen,Male,8/2/2021,46,25.06,75,Mild Illness,421,OWN023,FRM018,7/24/2023
GT0169,Boer,Male,9/19/2017,93,64.57,81,Mild Illness,1078,OWN036,FRM020,5/14/2021
GT0170,LaMancha,Male,10/5/2020,56,54.58,62,Healthy,569,OWN018,FRM010,3/4/2025
GT0171,Boer,Female,5/8/2023,25,15.4,54,Quarantine,342,OWN010,FRM001,1/5/2024
GT0172,Saanen,Male,6/19/2021,48,39.45,74,Under Treatment,522,OWN024,FRM010,1/16/2022
GT0173,Toggenburg,Female,2/5/2017,101,65.49,81,Healthy,307,OWN010,FRM006,4/24/2021
GT0174,Oberhasli,Male,9/26/2015,117,58.81,62,Quarantine,1068,OWN032,FRM020,3/4/2016
GT0175,Alpine,Female,3/3/2021,51,32.76,77,Healthy,906,OWN028,FRM004,5/31/2021
GT0176,Boer,Female,5/21/2018,85,49.25,64,Healthy,651,OWN026,FRM020,9/13/2018
GT0177,Saanen,Male,12/14/2019,66,28.29,58,Mild Illness,723,OWN019,FRM011,8/15/2024
GT0178,Saanen,Male,11/8/2020,55,47.33,72,Mild Illness,464,OWN025,FRM018,10/14/2023
GT0179,Toggenburg,Male,10/14/2020,56,47.52,67,Healthy,1013,OWN048,FRM002,9/29/2024
GT0180,Alpine,Male,10/31/2016,104,44.88,49,Under Treatment,1379,OWN028,FRM019,5/10/2017
GT0181,Alpine,Female,5/29/2018,85,33.82,70,Healthy,865,OWN011,FRM020,2/2/2021
GT0182,Alpine,Female,12/15/2022,30,20.73,51,Mild Illness,1092,OWN038,FRM013,6/19/2023
GT0183,LaMancha,Male,2/9/2017,101,40.72,64,Under Treatment,653,OWN022,FRM006,6/30/2024
GT0184,Saanen,Male,1/13/2018,89,49.49,57,Under Treatment,919,OWN047,FRM005,9/30/2019
GT0185,Nubian,Male,9/25/2021,44,24.52,57,Mild Illness,1433,OWN010,FRM003,5/1/2024
GT0186,Nubian,Female,11/21/2015,116,45.16,81,Quarantine,1356,OWN042,FRM020,5/14/2017
GT0187,Boer,Female,9/8/2015,118,24.81,49,Quarantine,1105,OWN041,FRM010,3/14/2021
GT0188,Oberhasli,Female,9/11/2021,45,53.44,67,Healthy,835,OWN030,FRM015,3/20/2023
GT0189,Saanen,Male,10/26/2022,31,38.97,63,Healthy,384,OWN040,FRM020,11/29/2024
GT0190,LaMancha,Female,8/10/2019,70,45.08,80,Healthy,1121,OWN037,FRM007,12/31/2024
GT0191,Boer,Female,6/4/2016,109,47.59,48,Quarantine,411,OWN022,FRM003,2/20/2019
GT0192,LaMancha,Male,1/5/2018,90,17.54,73,Quarantine,1273,OWN034,FRM020,12/2/2020
GT0193,Nubian,Female,11/8/2022,31,39.24,63,Quarantine,1037,OWN050,FRM011,11/19/2024
GT0194,Toggenburg,Male,5/3/2016,110,66.3,66,Healthy,875,OWN007,FRM018,2/2/2017
GT0195,Toggenburg,Female,5/22/2019,73,33.47,83,Mild Illness,882,OWN006,FRM019,11/13/2020
GT0196,Toggenburg,Male,7/11/2017,96,74.59,64,Quarantine,464,OWN039,FRM003,3/26/2023
GT0197,Boer,Female,7/12/2021,47,56.83,66,Mild Illness,1278,OWN006,FRM014,9/3/2023
GT0198,LaMancha,Female,3/6/2024,15,16.18,64,Mild Illness,638,OWN022,FRM016,5/15/2024
GT0199,Nubian,Male,5/7/2016,110,80,54,Healthy,805,OWN007,FRM017,9/29/2023
GT0200,Oberhasli,Male,5/15/2017,98,58.03,84,Mild Illness,1423,OWN025,FRM005,8/8/2018
GT0201,Nubian,Male,9/15/2017,93,69.04,84,Mild Illness,1096,OWN003,FRM014,10/2/2018
GT0202,Boer,Male,11/28/2023,18,78.02,84,Under Treatment,1119,OWN015,FRM018,1/29/2024
GT0203,Nubian,Female,2/8/2024,16,77.76,75,Mild Illness,953,OWN044,FRM019,5/11/2024
GT0204,Alpine,Female,10/6/2022,32,65.01,69,Quarantine,531,OWN013,FRM020,7/17/2024
GT0205,Nubian,Female,4/5/2017,99,18.39,75,Under Treatment,1335,OWN007,FRM017,2/17/2019
GT0206,Oberhasli,Male,7/8/2017,96,33.53,55,Under Treatment,1120,OWN033,FRM005,9/6/2019
GT0207,Oberhasli,Female,8/28/2017,94,20.96,59,Quarantine,915,OWN002,FRM014,10/26/2018
GT0208,Saanen,Female,7/6/2022,35,47.63,60,Quarantine,367,OWN024,FRM008,4/13/2024
GT0209,Saanen,Female,7/9/2016,108,75.5,66,Mild Illness,481,OWN003,FRM010,6/4/2019
GT0210,Oberhasli,Female,7/7/2015,120,60.24,53,Quarantine,1118,OWN040,FRM001,6/12/2017
GT0211,Saanen,Male,10/9/2019,68,31.64,54,Quarantine,427,OWN050,FRM010,3/31/2024
GT0212,Nubian,Female,6/25/2015,121,22.92,60,Quarantine,1475,OWN030,FRM003,6/8/2019
GT0213,Saanen,Female,3/14/2020,63,53.79,46,Mild Illness,494,OWN019,FRM014,3/16/2024
GT0214,Saanen,Female,4/9/2017,99,30.64,71,Mild Illness,375,OWN034,FRM012,1/26/2025
GT0215,Saanen,Male,9/6/2022,33,40.38,75,Healthy,992,OWN024,FRM009,12/30/2024
GT0216,Toggenburg,Male,9/30/2020,56,38.21,49,Under Treatment,693,OWN047,FRM004,5/15/2022
GT0217,Oberhasli,Female,12/16/2017,90,23.67,67,Under Treatment,558,OWN050,FRM015,10/29/2020
GT0218,Toggenburg,Female,11/25/2016,103,56.06,53,Healthy,1137,OWN003,FRM010,10/20/2024
GT0219,Nubian,Male,9/28/2017,93,66.42,47,Under Treatment,835,OWN033,FRM013,3/12/2025
GT0220,Oberhasli,Female,7/27/2015,120,31.47,57,Under Treatment,931,OWN050,FRM002,12/13/2019
GT0221,Oberhasli,Female,12/5/2017,91,32.76,68,Quarantine,1019,OWN048,FRM015,12/10/2018
GT0222,Alpine,Female,9/20/2020,57,78.29,76,Quarantine,952,OWN034,FRM009,9/28/2021
GT0223,Oberhasli,Male,1/6/2018,90,62.26,50,Quarantine,1433,OWN012,FRM018,3/25/2022
GT0224,Boer,Female,11/28/2015,115,21.67,65,Under Treatment,827,OWN029,FRM020,8/20/2016
GT0225,Toggenburg,Female,5/18/2016,110,25.83,73,Under Treatment,1115,OWN003,FRM012,10/3/2020
GT0226,LaMancha,Female,11/21/2016,103,32.85,48,Healthy,1031,OWN024,FRM017,4/24/2017
GT0227,Oberhasli,Male,3/6/2024,15,76.93,54,Quarantine,271,OWN009,FRM003,3/5/2025
GT0228,Nubian,Female,4/17/2016,111,38.54,81,Healthy,1439,OWN010,FRM015,9/27/2022
GT0229,Boer,Female,4/4/2022,38,43.86,49,Mild Illness,1284,OWN024,FRM013,6/21/2022
GT0230,Boer,Female,5/16/2022,37,31.22,52,Healthy,581,OWN032,FRM017,7/1/2022
GT0231,Alpine,Male,9/25/2021,44,32.02,61,Quarantine,639,OWN040,FRM010,1/3/2022
GT0232,Toggenburg,Female,7/17/2019,71,28.01,53,Healthy,1125,OWN012,FRM015,11/7/2019
GT0233,Saanen,,9/13/2020,57,58.41,49,Under Treatment,814,OWN011,FRM006,9/24/2023
GT0234,Oberhasli,,5/15/2016,110,48.07,52,Mild Illness,484,OWN016,FRM016,8/9/2024
GT0235,Saanen,,3/22/2017,99,51.01,68,Quarantine,1329,OWN009,FRM020,5/20/2022
GT0236,Saanen,Male,11/2/2022,31,35.1,75,Quarantine,1038,OWN037,FRM003,12/3/2023
GT0237,Nubian,Female,11/7/2023,19,56.75,73,Quarantine,1259,OWN023,FRM005,12/16/2023
GT0238,Oberhasli,Male,4/21/2024,13,64.91,53,Quarantine,1229,OWN004,FRM004,10/6/2024
GT0239,LaMancha,Male,9/17/2023,20,34.77,55,Under Treatment,661,OWN023,FRM017,10/10/2024
GT0240,Boer,Male,8/23/2017,94,31.29,85,Under Treatment,456,OWN041,FRM010,3/22/2019
GT0241,LaMancha,Male,2/2/2018,89,47.67,55,Mild Illness,550,OWN043,FRM020,6/16/2020
GT0242,Toggenburg,Female,8/31/2016,106,69.76,81,Healthy,258,OWN006,FRM002,9/26/2019
GT0243,Toggenburg,Female,10/20/2018,80,57.32,81,Quarantine,1465,OWN041,FRM001,6/13/2021
GT0244,Alpine,Female,3/12/2016,112,56.72,64,Quarantine,701,OWN044,FRM013,10/12/2021
GT0245,Boer,Female,11/15/2023,18,19.74,48,Mild Illness,1100,OWN027,FRM016,2/21/2025
GT0246,Alpine,Male,8/25/2021,45,37.11,54,Under Treatment,853,OWN047,FRM012,10/26/2021
GT0247,Alpine,Male,1/24/2016,113,64.44,77,Healthy,853,OWN016,FRM015,11/16/2023
GT0248,Saanen,Female,5/3/2018,86,44.22,54,Healthy,303,OWN019,FRM013,6/13/2022
GT0249,Oberhasli,Female,10/31/2023,19,31.14,55,Under Treatment,1383,OWN047,FRM011,3/7/2024
GT0250,Nubian,Male,1/10/2023,29,47.39,77,Quarantine,1221,OWN020,FRM016,10/21/2023
GT0251,Saanen,Male,7/9/2021,47,76.44,77,Quarantine,693,OWN014,FRM019,9/5/2022
GT0252,Boer,Male,8/30/2017,94,18.29,76,Quarantine,785,OWN035,FRM001,4/21/2019
GT0253,Oberhasli,Male,3/17/2023,27,43.01,61,Under Treatment,1025,OWN024,FRM002,11/6/2024
GT0254,Alpine,Male,12/20/2020,54,52.07,57,Under Treatment,1333,OWN019,FRM003,8/8/2024
GT0255,Alpine,Female,2/3/2019,77,64.69,62,Healthy,463,OWN007,FRM013,10/19/2022
GT0256,Boer,Female,2/9/2016,113,51.26,68,Mild Illness,607,OWN039,FRM017,1/10/2024
