goat_id,production_date,morning_production_liters,evening_production_liters,milk_quality_grade,fat_content_percent,price_per_liter,total_production_liters
GT9583,2025-05-19,1.46,2.17,A,3.26,4.36,3.63
GT9583,2025-05-18,2.55,1.06,B,3.47,5.63,3.61
GT9583,2025-05-17,2.4,0.93,A,4.86,4.34,3.33
GT9583,2025-05-16,1.41,0.6,C,4.13,3.47,2.01
GT9583,2025-05-15,0.52,0.53,C,4.88,4.48,1.05
GT9583,2025-05-14,2.55,1.92,C,3.64,3.7,4.47
GT9583,2025-05-13,0.73,1.08,C,4.14,4.37,1.81
GT9583,2025-05-12,0.7,2.47,B,4.38,3.32,3.17
GT9583,2025-05-11,2.18,0.71,C,4.3,3.49,2.89
GT9583,2025-05-10,1.78,2.3,C,3.02,5.91,4.08
GT9583,2025-05-09,1.49,0.97,C,5.28,4.04,2.46
GT9583,2025-05-08,2.89,0.79,C,3.82,5.56,3.68
GT9583,2025-05-07,1.84,1.45,B,4.46,5.09,3.29
GT9583,2025-05-06,1.54,0.9,B,3.53,5.19,2.44
GT0137,2025-06-04,0.74,1.0,C,4.17,3.79,1.74
GT0137,2025-06-03,2.92,0.8,B,3.52,3.82,3.7199999999999998
GT0137,2025-06-02,0.81,1.68,A,5.48,5.22,2.49
GT0137,2025-06-01,1.41,1.72,B,5.33,4.2,3.13
GT0137,2025-05-31,2.22,0.36,A,3.42,4.76,2.58
GT0137,2025-05-30,2.11,0.83,C,4.88,5.82,2.94
GT0137,2025-05-29,0.86,1.92,C,4.09,4.58,2.78
GT0137,2025-05-28,1.27,0.79,C,5.31,3.57,2.06
GT0137,2025-05-27,1.38,2.42,A,3.29,4.89,3.8
GT0137,2025-05-26,2.78,1.71,A,5.23,4.68,4.49
GT0137,2025-05-25,0.6,1.35,C,4.11,4.69,1.9500000000000002
GT0137,2025-05-24,1.91,1.48,B,4.44,4.06,3.3899999999999997
GT0137,2025-05-23,1.25,2.45,A,3.44,3.58,3.7
GT0137,2025-05-22,2.12,1.03,A,4.26,5.94,3.1500000000000004
GT0137,2025-05-21,0.79,1.0,B,4.05,3.19,1.79
GT0137,2025-05-20,1.01,2.35,C,5.42,5.78,3.3600000000000003
GT0137,2025-05-19,1.5,1.92,C,4.58,4.27,3.42
GT0137,2025-05-18,2.52,1.56,B,5.02,3.66,4.08
GT0137,2025-05-17,1.8,1.12,A,4.93,4.57,2.92
GT0137,2025-05-16,1.16,1.9,C,5.08,4.62,3.0599999999999996
GT0137,2025-05-15,1.22,1.94,C,5.35,3.86,3.16
GT0137,2025-05-14,1.18,1.45,B,3.53,3.05,2.63
GT0137,2025-05-13,2.22,1.95,B,4.74,4.39,4.17
GT0137,2025-05-12,2.5,1.02,B,3.48,3.77,3.52
GT0137,2025-05-11,2.92,1.65,C,4.7,5.73,4.57
GT0137,2025-05-10,2.15,2.31,C,4.15,4.16,4.46
GT0137,2025-05-09,2.97,0.55,C,4.9,3.02,3.5200000000000005
GT0137,2025-05-08,1.04,0.6,A,5.15,3.5,1.6400000000000001
GT0137,2025-05-07,1.46,2.11,B,4.78,4.49,3.57
GT0137,2025-05-06,1.31,1.17,C,5.13,4.22,2.48
GT2840,2025-06-04,0.5,2.41,B,4.65,3.35,2.91
GT2840,2025-06-03,0.75,0.66,B,4.83,5.69,1.4100000000000001
GT2840,2025-06-02,1.2,0.45,C,4.68,4.15,1.65
GT2840,2025-06-01,2.19,1.27,A,3.01,5.74,3.46
GT2840,2025-05-31,2.07,0.43,C,4.81,3.56,2.5
GT2840,2025-05-30,2.83,1.55,B,4.7,5.04,4.38
GT2840,2025-05-29,1.46,1.98,B,5.23,4.52,3.44
GT2840,2025-05-28,2.04,1.04,B,4.37,4.52,3.08
GT2840,2025-05-27,2.26,1.68,B,5.18,5.62,3.9399999999999995
GT2840,2025-05-26,1.02,1.68,C,3.68,3.62,2.7
GT2840,2025-05-25,1.75,1.68,B,5.39,3.86,3.4299999999999997
GT2840,2025-05-24,1.66,0.32,B,3.21,4.05,1.98
GT2840,2025-05-23,1.99,1.55,A,4.74,3.74,3.54
GT2840,2025-05-22,2.54,1.06,C,4.34,4.48,3.6
GT2840,2025-05-21,2.7,2.06,A,3.35,5.58,4.76
GT2840,2025-05-20,2.74,0.34,B,5.43,5.37,3.08
GT2840,2025-05-19,1.55,2.19,C,4.54,3.16,3.74
GT2840,2025-05-18,1.95,2.25,C,5.38,5.48,4.2
GT2840,2025-05-17,1.31,1.35,A,3.49,3.81,2.66
GT2840,2025-05-16,2.12,1.12,C,4.7,3.13,3.24
GT2840,2025-05-15,2.25,0.54,C,4.16,5.1,2.79
GT2840,2025-05-14,1.24,1.89,B,4.49,5.45,3.13
GT2840,2025-05-13,2.02,0.34,A,3.02,5.46,2.36
GT2840,2025-05-12,1.31,1.6,B,5.0,3.83,2.91
GT2840,2025-05-11,1.48,2.48,B,4.97,4.02,3.96
GT2840,2025-05-10,1.59,0.71,B,3.95,5.41,2.3
GT2840,2025-05-09,1.23,0.3,A,4.25,4.54,1.53
GT2840,2025-05-08,0.73,0.83,A,4.34,3.52,1.56
GT2840,2025-05-07,1.4,2.19,C,3.0,4.39,3.59
GT2840,2025-05-06,1.7,0.64,B,3.5,4.72,2.34
GT6973,2025-06-04,1.49,0.99,B,4.58,3.5,2.48
GT6973,2025-06-03,0.74,2.07,A,5.3,5.25,2.8099999999999996
GT6973,2025-06-02,0.66,1.51,A,4.19,3.05,2.17
GT6973,2025-06-01,1.6,2.08,A,3.52,3.47,3.68
GT6973,2025-05-31,1.2,0.66,B,4.42,3.64,1.8599999999999999
GT6973,2025-05-30,1.49,0.82,C,4.98,5.65,2.31
GT6973,2025-05-29,0.71,1.41,C,3.22,5.3,2.12
GT6973,2025-05-28,1.19,1.36,C,4.87,5.54,2.55
GT6973,2025-05-27,2.31,2.29,A,5.44,3.41,4.6
GT6973,2025-05-26,1.4,1.51,C,4.25,5.15,2.91
GT6973,2025-05-25,2.58,2.07,A,3.18,5.22,4.65
GT6973,2025-05-24,2.68,0.75,B,4.97,3.24,3.43
GT6973,2025-05-23,1.49,0.75,B,3.08,4.39,2.24
GT6973,2025-05-22,1.13,2.04,A,4.52,4.78,3.17
GT6973,2025-05-21,1.03,0.67,C,4.12,4.07,1.7000000000000002
GT6973,2025-05-20,1.99,1.07,A,4.77,4.95,3.06
GT6973,2025-05-19,1.57,1.95,C,3.74,5.51,3.52
GT6973,2025-05-18,0.59,1.68,B,4.03,3.7,2.27
GT6973,2025-05-17,2.53,0.5,A,3.42,3.07,3.03
GT6973,2025-05-16,0.81,0.91,C,4.68,5.1,1.7200000000000002
GT6973,2025-05-15,1.8,0.59,B,4.37,4.12,2.39
GT6973,2025-05-14,0.68,0.56,B,4.9,4.71,1.2400000000000002
GT6973,2025-05-13,1.83,1.21,B,5.09,4.2,3.04
GT6973,2025-05-12,2.99,1.45,C,3.05,5.43,4.44
GT6973,2025-05-11,0.79,0.3,C,5.19,3.14,1.09
GT6973,2025-05-10,1.05,0.48,A,4.67,5.69,1.53
GT6973,2025-05-09,2.44,2.37,A,5.49,3.49,4.8100000000000005
GT6973,2025-05-08,2.51,0.67,C,4.18,3.22,3.1799999999999997
GT6973,2025-05-07,1.7,1.83,A,5.22,3.5,3.5300000000000002
GT6973,2025-05-06,1.22,0.7,A,3.41,5.08,1.92
GT5652,2025-06-04,0.59,2.36,B,5.28,3.17,2.9499999999999997
GT5652,2025-06-03,0.73,0.7,C,4.88,3.4,1.43
GT5652,2025-06-02,0.75,0.74,A,5.07,4.36,1.49
GT5652,2025-06-01,2.86,0.79,B,4.8,3.44,3.65
GT5652,2025-05-31,2.39,0.73,C,4.31,3.56,3.12
GT5652,2025-05-30,0.64,1.15,A,4.54,3.56,1.79
GT5652,2025-05-29,1.93,1.69,B,3.34,4.32,3.62
GT5652,2025-05-28,0.97,0.95,B,3.39,4.87,1.92
GT5652,2025-05-27,1.69,2.06,A,3.42,4.44,3.75
GT5652,2025-05-26,2.96,1.42,C,4.13,3.85,4.38
GT5652,2025-05-25,2.22,1.04,C,4.45,3.79,3.2600000000000002
GT5652,2025-05-24,2.0,0.42,A,4.3,3.88,2.42
GT5652,2025-05-23,0.62,1.98,B,5.19,4.3,2.6
GT5652,2025-05-22,1.92,0.99,C,3.6,5.62,2.91
GT5652,2025-05-21,2.36,1.35,A,5.27,3.19,3.71
GT5652,2025-05-20,2.06,0.95,B,4.01,5.07,3.01
GT5652,2025-05-19,2.27,2.3,B,5.47,4.44,4.57
GT5652,2025-05-18,1.93,1.69,C,3.39,4.28,3.62
GT5652,2025-05-17,0.8,0.44,C,3.56,4.26,1.24
GT5652,2025-05-16,2.53,0.79,A,5.36,4.93,3.32
GT5652,2025-05-15,1.58,1.81,A,5.49,4.82,3.39
GT5652,2025-05-14,1.79,1.53,B,5.39,3.69,3.3200000000000003
GT5652,2025-05-13,2.6,2.01,C,4.5,4.53,4.609999999999999
GT5652,2025-05-12,2.96,0.46,C,5.39,4.66,3.42
GT5652,2025-05-11,0.82,0.81,C,3.89,5.92,1.63
GT5652,2025-05-10,1.58,2.03,C,3.66,4.66,3.61
GT5652,2025-05-09,1.21,0.73,B,5.05,4.44,1.94
GT5652,2025-05-08,2.57,1.54,A,5.17,4.42,4.109999999999999
GT5652,2025-05-07,2.2,0.78,A,3.55,3.85,2.9800000000000004
GT5652,2025-05-06,1.69,2.02,C,4.64,4.74,3.71
GT2483,2025-06-04,2.37,1.95,B,3.91,3.67,4.32
GT2483,2025-06-03,1.96,0.62,B,4.04,5.05,2.58
GT2483,2025-06-02,1.88,2.11,C,3.93,3.71,3.9899999999999998
GT2483,2025-06-01,1.63,2.44,C,3.59,5.59,4.07
GT2483,2025-05-31,0.88,1.9,A,3.83,4.82,2.78
GT2483,2025-05-30,1.85,0.97,B,3.79,5.81,2.8200000000000003
GT2483,2025-05-29,2.87,2.34,B,4.37,4.46,5.21
GT2483,2025-05-28,2.0,2.31,B,4.26,3.16,4.3100000000000005
GT2483,2025-05-27,1.45,2.01,B,5.04,5.85,3.46
GT2483,2025-05-26,2.98,0.69,B,4.77,4.81,3.67
GT2483,2025-05-25,2.23,2.37,A,3.48,4.67,4.6
GT2483,2025-05-24,0.52,2.24,C,3.13,5.81,2.7600000000000002
GT2483,2025-05-23,1.86,1.91,A,4.96,4.52,3.77
GT2483,2025-05-22,2.23,1.57,A,4.55,5.65,3.8
GT2483,2025-05-21,0.99,2.21,B,5.03,5.71,3.2
GT2483,2025-05-20,2.65,1.37,C,4.21,4.45,4.02
GT2483,2025-05-19,0.88,1.42,B,3.39,3.97,2.3
GT2483,2025-05-18,2.67,0.73,C,3.74,4.73,3.4
GT2483,2025-05-17,2.21,1.27,B,4.21,4.32,3.48
GT2483,2025-05-16,2.97,2.0,C,3.5,4.08,4.970000000000001
GT2483,2025-05-15,2.87,1.6,C,4.63,3.73,4.470000000000001
GT2483,2025-05-14,1.0,1.2,A,4.55,4.47,2.2
GT2483,2025-05-13,1.31,1.26,C,4.83,4.44,2.5700000000000003
GT2483,2025-05-12,2.23,0.78,A,4.77,4.94,3.01
GT2483,2025-05-11,1.42,1.56,A,3.64,3.33,2.98
GT2483,2025-05-10,2.5,1.5,B,4.27,5.95,4.0
GT2483,2025-05-09,1.5,0.74,A,3.49,4.17,2.24
GT2483,2025-05-08,1.61,0.83,C,5.13,3.32,2.44
GT2483,2025-05-07,2.9,0.89,B,3.18,4.97,3.79
GT2483,2025-05-06,0.67,1.26,B,3.42,5.61,1.9300000000000002
GT7197,2025-06-04,1.71,1.07,C,5.28,5.27,2.7800000000000002
GT7197,2025-06-03,2.57,0.45,A,3.73,5.24,3.02
GT7197,2025-06-02,2.31,1.59,B,3.72,4.7,3.9000000000000004
GT7197,2025-06-01,1.14,0.41,B,3.07,4.34,1.5499999999999998
GT7197,2025-05-31,2.56,2.37,B,5.03,3.42,4.93
GT7197,2025-05-30,0.58,0.81,C,4.51,3.79,1.3900000000000001
GT7197,2025-05-29,2.21,0.44,A,3.79,4.82,2.65
GT7197,2025-05-28,0.9,0.94,A,4.39,3.75,1.8399999999999999
GT7197,2025-05-27,0.55,1.88,B,5.04,3.46,2.4299999999999997
GT7197,2025-05-26,0.57,0.78,B,4.73,4.95,1.35
GT7197,2025-05-25,1.57,2.24,C,4.24,4.58,3.8100000000000005
GT7197,2025-05-24,2.45,1.72,C,5.11,4.3,4.17
GT7197,2025-05-23,1.28,0.49,A,5.06,3.44,1.77
GT7197,2025-05-22,1.88,2.29,A,3.47,3.66,4.17
GT7197,2025-05-21,0.69,0.55,A,4.51,3.48,1.24
GT7197,2025-05-20,1.93,1.51,A,4.27,5.3,3.44
GT7197,2025-05-19,1.19,1.19,C,3.51,5.85,2.38
GT7197,2025-05-18,2.37,1.27,C,4.08,3.49,3.64
GT7197,2025-05-17,1.39,1.93,B,4.39,4.75,3.32
GT7197,2025-05-16,0.81,1.59,C,3.71,4.15,2.4000000000000004
GT7197,2025-05-15,1.75,2.23,A,5.1,5.74,3.98
GT7197,2025-05-14,2.51,1.68,C,4.23,3.44,4.1899999999999995
GT7197,2025-05-13,0.87,1.51,A,3.75,5.99,2.38
GT7197,2025-05-12,2.65,2.0,A,5.2,4.51,4.65
GT7197,2025-05-11,1.02,1.68,A,4.32,5.25,2.7
GT7197,2025-05-10,2.44,0.96,C,4.0,3.72,3.4
GT7197,2025-05-09,1.24,1.7,C,4.87,3.47,2.94
GT7197,2025-05-08,1.45,1.86,B,5.41,4.35,3.31
GT7197,2025-05-07,2.03,0.91,C,5.27,3.45,2.94
GT7197,2025-05-06,2.86,1.22,B,4.33,3.4,4.08
GT6652,2025-06-04,2.18,0.7,B,3.57,3.49,2.88
GT6652,2025-06-03,2.65,1.98,A,3.8,3.39,4.63
GT6652,2025-06-02,2.73,1.06,B,4.3,3.85,3.79
GT6652,2025-06-01,2.71,0.55,C,3.15,5.38,3.26
GT6652,2025-05-31,1.42,2.27,A,3.84,3.39,3.69
GT6652,2025-05-30,2.18,1.65,B,3.03,5.84,3.83
GT6652,2025-05-29,2.33,1.81,C,4.47,4.04,4.140000000000001
GT6652,2025-05-28,2.52,1.4,B,3.08,3.92,3.92
GT6652,2025-05-27,1.41,2.13,A,4.02,3.83,3.54
GT6652,2025-05-26,2.84,1.19,C,3.45,4.51,4.029999999999999
GT6652,2025-05-25,1.77,0.81,B,4.76,4.58,2.58
GT6652,2025-05-24,0.52,1.25,C,4.03,3.0,1.77
GT6652,2025-05-23,1.29,1.18,B,3.9,3.16,2.4699999999999998
GT6652,2025-05-22,1.0,2.45,B,4.65,5.71,3.45
GT6652,2025-05-21,1.26,2.42,C,4.45,3.34,3.6799999999999997
GT6652,2025-05-20,2.99,1.65,A,4.2,4.31,4.640000000000001
GT6652,2025-05-19,2.96,1.19,A,3.31,5.65,4.15
GT6652,2025-05-18,2.66,1.22,C,4.83,3.64,3.88
GT6652,2025-05-17,1.41,1.82,B,3.96,3.58,3.23
GT6652,2025-05-16,0.77,1.26,C,4.52,5.06,2.0300000000000002
GT6652,2025-05-15,2.72,1.72,B,5.13,3.75,4.44
GT6652,2025-05-14,1.55,2.45,C,3.64,3.96,4.0
GT6652,2025-05-13,0.53,0.5,A,5.15,5.45,1.03
GT6652,2025-05-12,2.22,0.62,A,4.01,3.18,2.8400000000000003
GT6652,2025-05-11,1.62,1.62,B,5.04,3.37,3.24
GT6652,2025-05-10,2.24,0.69,C,5.06,3.88,2.93
GT6652,2025-05-09,2.77,1.49,A,3.68,5.46,4.26
GT6652,2025-05-08,2.25,2.24,B,3.11,4.26,4.49
GT6652,2025-05-07,0.58,0.83,B,5.43,5.89,1.41
GT6652,2025-05-06,2.4,1.42,A,4.62,5.63,3.82
GT5531,2025-06-04,3.0,2.17,A,3.45,5.12,5.17
GT5531,2025-06-03,0.91,0.32,C,3.28,4.73,1.23
GT5531,2025-06-02,2.21,0.53,A,4.19,5.15,2.74
GT5531,2025-06-01,2.77,0.93,B,4.72,5.63,3.7
GT5531,2025-05-31,1.22,0.35,A,4.49,3.19,1.5699999999999998
GT5531,2025-05-30,0.65,0.59,C,4.25,5.14,1.24
GT5531,2025-05-29,2.92,1.23,C,5.14,5.98,4.15
GT5531,2025-05-28,1.29,1.27,C,5.46,5.79,2.56
GT5531,2025-05-27,1.73,0.99,A,5.49,4.36,2.7199999999999998
GT5531,2025-05-26,2.67,2.34,C,3.8,3.87,5.01
GT5531,2025-05-25,2.29,0.66,B,4.8,3.29,2.95
GT5531,2025-05-24,0.7,1.92,C,5.27,5.09,2.62
GT5531,2025-05-23,1.49,2.1,C,5.42,5.58,3.59
GT5531,2025-05-22,1.49,1.11,A,4.86,5.78,2.6
GT5531,2025-05-21,2.73,0.37,B,3.49,4.18,3.1
GT5531,2025-05-20,1.33,1.2,C,3.71,4.65,2.5300000000000002
GT5531,2025-05-19,2.34,2.43,A,3.79,4.85,4.77
GT5531,2025-05-18,2.87,0.4,A,5.35,5.95,3.27
GT5531,2025-05-17,1.91,0.91,C,4.92,3.73,2.82
GT5531,2025-05-16,2.2,1.72,B,4.05,3.95,3.92
GT5531,2025-05-15,1.54,2.42,B,3.99,3.59,3.96
GT5531,2025-05-14,2.23,1.52,A,5.33,3.77,3.75
GT5531,2025-05-13,1.67,0.52,B,4.12,4.83,2.19
GT5531,2025-05-12,1.65,2.49,C,4.69,5.33,4.140000000000001
GT5531,2025-05-11,1.27,1.17,B,3.06,5.55,2.44
GT5531,2025-05-10,0.96,0.99,C,5.46,3.09,1.95
GT5531,2025-05-09,1.87,2.38,C,3.13,5.01,4.25
GT5531,2025-05-08,2.37,1.06,B,4.51,4.21,3.43
GT5531,2025-05-07,1.56,2.3,C,4.59,4.44,3.86
GT5531,2025-05-06,2.85,0.31,A,3.52,3.19,3.16
GT0349,2025-06-04,2.27,1.79,C,3.91,5.61,4.0600000000000005
GT0349,2025-06-03,1.47,1.17,B,4.49,5.54,2.6399999999999997
GT0349,2025-06-02,1.02,1.16,A,4.02,4.72,2.1799999999999997
GT0349,2025-06-01,2.12,2.27,C,4.21,4.04,4.390000000000001
GT0349,2025-05-31,2.63,1.46,C,3.07,4.64,4.09
GT0349,2025-05-30,2.3,2.13,B,5.22,4.92,4.43
GT0349,2025-05-29,0.71,0.78,C,4.3,4.5,1.49
GT0349,2025-05-28,0.93,1.39,A,5.48,5.66,2.32
GT0349,2025-05-27,2.58,0.45,C,3.77,5.66,3.0300000000000002
GT0349,2025-05-26,2.19,2.19,B,4.71,5.45,4.38
GT0349,2025-05-25,1.09,1.21,C,4.88,3.12,2.3
GT0349,2025-05-24,0.86,1.71,A,4.94,3.04,2.57
GT0349,2025-05-23,1.49,1.0,A,4.07,5.32,2.49
GT0349,2025-05-22,2.92,0.79,B,5.37,5.94,3.71
GT0349,2025-05-21,2.75,0.82,B,3.92,4.93,3.57
GT0349,2025-05-20,0.87,0.57,C,4.83,4.28,1.44
GT0349,2025-05-19,2.99,0.88,B,4.46,3.5,3.87
GT0349,2025-05-18,2.59,0.35,B,3.48,3.74,2.94
GT0349,2025-05-17,1.32,0.43,C,5.15,4.83,1.75
GT0349,2025-05-16,1.54,2.27,A,4.7,3.25,3.81
GT0349,2025-05-15,0.69,2.48,C,5.13,4.38,3.17
GT0349,2025-05-14,0.8,0.65,B,3.06,3.7,1.4500000000000002
GT0349,2025-05-13,1.65,1.88,C,4.59,5.57,3.53
GT0349,2025-05-12,2.41,2.47,B,4.25,5.94,4.880000000000001
GT0349,2025-05-11,0.74,0.74,C,3.09,4.6,1.48
GT0349,2025-05-10,0.99,1.33,B,4.64,4.89,2.3200000000000003
GT0349,2025-05-09,1.03,0.93,B,3.87,3.46,1.96
GT0349,2025-05-08,2.74,2.47,B,4.09,5.1,5.210000000000001
GT0349,2025-05-07,2.32,0.31,A,5.14,4.39,2.63
GT0349,2025-05-06,1.19,0.51,A,5.18,3.68,1.7
GT9359,2025-06-04,1.2,2.37,C,5.4,5.59,3.5700000000000003
GT9359,2025-06-03,1.35,2.12,A,4.94,4.86,3.47
GT9359,2025-06-02,1.02,0.69,A,4.62,3.86,1.71
GT9359,2025-06-01,1.25,1.6,B,3.65,3.34,2.85
GT9359,2025-05-31,0.85,0.55,C,4.27,3.02,1.4
GT9359,2025-05-30,2.82,0.62,B,4.43,5.68,3.44
GT9359,2025-05-29,2.34,0.93,C,4.15,5.94,3.27
GT9359,2025-05-28,2.89,1.59,C,5.08,3.56,4.48
GT9359,2025-05-27,2.6,2.29,A,3.75,4.04,4.890000000000001
GT9359,2025-05-26,1.82,1.85,C,3.98,5.41,3.67
GT9359,2025-05-25,2.48,0.82,B,4.19,5.09,3.3
GT9359,2025-05-24,1.8,0.81,C,3.94,3.48,2.6100000000000003
GT9359,2025-05-23,0.94,1.41,B,3.4,5.09,2.3499999999999996
GT9359,2025-05-22,2.42,2.26,B,4.06,5.04,4.68
GT9359,2025-05-21,0.62,2.32,C,4.21,5.01,2.94
GT9359,2025-05-20,2.98,1.59,C,4.62,5.59,4.57
GT9359,2025-05-19,2.77,0.52,A,5.39,5.86,3.29
GT9359,2025-05-18,2.47,0.31,B,3.98,5.69,2.7800000000000002
GT9359,2025-05-17,0.51,2.12,B,3.31,5.78,2.63
GT9359,2025-05-16,2.16,1.53,C,5.28,4.32,3.6900000000000004
GT9359,2025-05-15,1.63,2.02,A,5.2,4.45,3.65
GT9359,2025-05-14,1.86,1.48,A,3.19,5.5,3.34
GT9359,2025-05-13,0.96,1.27,C,5.1,4.97,2.23
GT9359,2025-05-12,2.07,1.78,A,3.08,4.27,3.8499999999999996
GT9359,2025-05-11,1.52,2.07,A,3.96,3.85,3.59
GT9359,2025-05-10,1.75,1.67,A,4.7,5.97,3.42
GT9359,2025-05-09,0.57,2.12,C,4.01,5.24,2.69
GT9359,2025-05-08,1.24,1.65,C,4.36,5.36,2.8899999999999997
GT9359,2025-05-07,2.84,2.1,A,3.76,3.95,4.9399999999999995
GT9359,2025-05-06,1.76,1.25,B,3.53,3.42,3.01
GT3909,2025-06-04,2.1,0.76,C,3.85,3.35,2.8600000000000003
GT3909,2025-06-03,1.92,0.74,B,3.08,3.64,2.66
GT3909,2025-06-02,1.92,1.97,A,3.8,5.55,3.8899999999999997
GT3909,2025-06-01,2.79,1.97,C,4.24,3.34,4.76
