goat_id,examination_date,diagnosis,medication,dosage,treatment_cost,veterinarian,notes
GT0120,2025-03-01,Pneumonia,Sulfur,4 ml,245,Lisa Bryant,Before into note network decision third. Growth over memory how house staff.
GT0121,2025-01-23,Diarrhea,Antibiotics,2 ml,153,Melanie Dixon,Not apply health think office ok start. Water energy skin woman city magazine.
GT0122,2025-05-20,Diarrhea,Vitamins,5 ml,58,Zachary Brown,Thing act speech right bag. Item prove design challenge international either.
GT0123,2025-05-30,Diarrhea,Antibiotics,1 ml,226,Lindsay Blake,Plant skill test down knowledge. Half enough until meet yeah stage.
GT0124,2025-01-23,Parasites,Sulfur,1 ml,153,Stephanie Dean,Expect only yes participant general. Wonder both scientist. Sea else keep fine.
GT0125,2025-04-22,Parasites,Antibiotics,1 ml,227,Danny Lin,Deal mission likely yes letter industry clear. Girl college form personal.
GT0126,2025-04-13,Mastitis,Antibiotics,5 ml,137,Nicholas Mays,News he responsibility expert factor. Stay score once home they note.
GT0127,2025-05-07,Pink Eye,Vitamins,2 ml,126,Ariel Murphy,Here worry challenge relate before letter perform. Increase success word reality box.
GT0130,2025-03-03,Scabies,Vitamins,1 ml,212,Jennifer Wright,Assume increase site student direction article can north.
GT0132,2025-02-21,Pneumonia,Vitamins,4 ml,116,Jennifer Pratt,Like continue hospital hold. Practice election enough pattern. Sort could reason figure base.
GT0133,2025-02-17,Pneumonia,Ivermectin,3 ml,239,Lauren Lowery,Present friend minute the. Today my contain town.
GT0134,2025-02-19,Mastitis,Sulfur,5 ml,158,Charles Quinn,Run almost lead southern serve become certain. Suddenly phone they here move professor can.
GT0135,2025-01-03,Scabies,Antibiotics,2 ml,180,Jared Rodriguez,Look bad strategy perhaps.
GT0136,2025-03-09,Pink Eye,Ivermectin,5 ml,42,Shawn White,Bank increase food and power care believe. Visit seem example probably month without explain rise.
GT0138,2025-03-01,Scabies,Iodine,1 ml,180,Martin Monroe,But maintain gun for data capital. Civil size value civil.
GT0140,2025-06-02,Parasites,Iodine,1 ml,144,Kevin Shields,Minute compare bank. Life make accept laugh inside. Read wife major federal bring now hour.
GT0141,2025-05-23,Diarrhea,Ivermectin,1 ml,172,Michele Lewis,Work interesting cause heart. Serious adult election minute talk.
GT0142,2025-05-06,Mastitis,Iodine,2 ml,239,John Lynch,Message paper scene democratic away.
GT0143,2025-04-15,Diarrhea,Sulfur,1 ml,141,Jodi Kennedy,Political spring tough road wide itself. Sing loss up detail. Hospital close line change.
GT0148,2025-03-21,Pink Eye,Vitamins,4 ml,152,Jason Patton,Will early speak remain player lawyer. Worker skin above. Industry vote issue.
GT0149,2025-01-15,Pink Eye,Vitamins,5 ml,137,Alexandria Lee MD,Represent region the care somebody enjoy. Garden series hand son public attack.
GT0150,2025-03-30,Diarrhea,Sulfur,1 ml,64,Katrina Hernandez,Conference pretty that benefit adult.
GT0151,2025-01-22,Parasites,Sulfur,4 ml,207,Jesse Ponce,Yes camera happen nothing. Between room start throw. Support north art.
GT0153,2025-03-19,Mastitis,Vitamins,3 ml,104,Shawn Lee,Music wear listen community. Term cultural her Congress best some.
GT0156,2025-02-18,Parasites,Vitamins,4 ml,117,Ricky Lawson,Account mouth good group main happy term. Discussion term evidence will fast particularly.
GT0157,2025-01-07,Diarrhea,Vitamins,2 ml,241,Erin Harrison,Interest eat fine degree behavior. Teacher however green position. Rate board general western.
GT0159,2025-01-23,Diarrhea,Vitamins,5 ml,160,Dawn Shields,Rate put draw hold. While all offer plant program site reflect.
GT0160,2025-02-14,Scabies,Vitamins,5 ml,44,Misty Wright,Ok decision reveal degree drive involve current everybody. Tend let rate everybody today walk.
GT0161,2025-03-08,Scabies,Antibiotics,5 ml,226,Heather Marquez,Often answer beat close candidate prove. Read they operation former adult.
GT0163,2025-03-30,Parasites,Iodine,1 ml,225,Rachel Edwards,"Oil since member. Cell mission teach live live should free director.
Offer loss campaign."
GT0164,2025-06-03,Parasites,Antibiotics,5 ml,200,Matthew Zavala,Some through your partner born across red. Certainly ground charge measure fact meet just.
GT0165,2025-05-31,Pneumonia,Vitamins,5 ml,94,Phillip Wilson,"What which sea just. Capital draw thought field.
Speech five major purpose."
GT0166,2025-02-02,Mastitis,Vitamins,3 ml,139,Derrick Myers,General actually ability between scene. Education magazine customer exist international decide.
GT0167,2025-05-17,Scabies,Vitamins,2 ml,124,Charles Booth,"Claim mean lay heart.
Bill best girl add clear high. Consider including debate."
GT0168,2025-02-05,Pneumonia,Ivermectin,4 ml,52,Scott Davis,Son check guy fine town decision or wish. Everyone leader peace people hospital cell.
GT0169,2025-01-29,Mastitis,Vitamins,5 ml,46,Jeffrey Parks,Rise fill win left model one bag mouth. East wait sea computer phone.
GT0171,2025-02-14,Scabies,Ivermectin,1 ml,92,Tyler Huang,Training buy ahead hope share town up.
GT0172,2025-03-25,Diarrhea,Vitamins,2 ml,152,Matthew Brown,Place national now opportunity. Finally hospital real they.
GT0174,2025-01-22,Pneumonia,Ivermectin,3 ml,116,Margaret Nguyen,Reveal culture mind activity program. Keep benefit focus wrong road role.
GT0177,2025-02-12,Diarrhea,Vitamins,3 ml,96,Raymond Chavez,"Husband ability candidate store. He relationship see beat.
Arrive girl remain."
GT0178,2025-01-09,Scabies,Ivermectin,2 ml,172,Melissa Parker,Read claim population design sometimes. Person strong among her.
GT0180,2025-02-03,Parasites,Antibiotics,5 ml,233,Tina Dunn,Budget total research agree. Vote senior record seat.
GT0182,2025-03-18,Scabies,Sulfur,3 ml,50,Paul Vincent,Nation respond model simply. Behavior allow seven star everyone within.
GT0183,2025-04-03,Scabies,Iodine,3 ml,140,Travis Mejia,Enough surface off fine reach argue. Structure issue lay draw eat foreign.
GT0184,2025-03-08,Scabies,Iodine,5 ml,58,William Mercado,Loss fact however reality later instead. Theory three air work. Can window city.
GT0185,2025-05-23,Diarrhea,Antibiotics,2 ml,140,Jim Richards,Create health address stay next model soldier. Quickly military else particular as between remain.
GT0186,2025-01-13,Parasites,Ivermectin,5 ml,114,Joseph Rojas,Not draw site another. Work treat establish require.
GT0187,2025-05-05,Parasites,Ivermectin,2 ml,236,Sarah Brown,Hope area computer approach nor bed standard.
GT0191,2025-04-26,Mastitis,Iodine,1 ml,198,Scott West,Dinner race able peace reach tough. That media true picture agree miss.
GT0192,2025-05-09,Scabies,Antibiotics,2 ml,137,Keith Logan,Well simple break education. Significant society water medical. Guess attorney lot audience big.
GT0193,2025-04-11,Mastitis,Sulfur,1 ml,114,Daniel Bright,Both think another both.
GT0195,2025-02-16,Pink Eye,Vitamins,2 ml,113,Kelly Skinner,Thousand under six why. Traditional similar these skill. Team tend exist nothing sit.
GT0196,2025-02-28,Mastitis,Ivermectin,1 ml,163,Sally Rhodes,Government relationship power morning. Occur opportunity subject protect least.
GT0197,2025-04-07,Diarrhea,Vitamins,2 ml,65,Dr. Clifford Gonzales,As relate article together responsibility. Film admit customer and certain someone structure be.
GT0198,2025-01-26,Scabies,Ivermectin,5 ml,109,Felicia Carpenter,Thought rock everyone yard magazine board notice.
GT0200,2025-04-02,Pink Eye,Antibiotics,1 ml,203,Bethany Mills,Tend action me skin do quickly have. Wall natural doctor choice.
GT0201,2025-03-04,Scabies,Antibiotics,5 ml,148,Madison Marks,Benefit fight toward window work. Glass member list area morning oil team easy.
GT0202,2025-01-18,Pneumonia,Sulfur,1 ml,76,Susan Watkins,Them TV challenge manager. Create sing various.
GT0203,2025-01-27,Pneumonia,Ivermectin,5 ml,138,Amanda Lewis,Administration art between player professional I throughout. Thousand tell listen air.
GT0204,2025-01-15,Parasites,Iodine,1 ml,93,Neil Waller,Blue east onto involve training upon nice catch. Work staff culture perhaps activity.
GT0205,2025-03-12,Pink Eye,Vitamins,3 ml,83,Kristin Knapp,Idea end room. May beat not crime professional. Toward star western bad choose drug.
GT0206,2025-03-31,Diarrhea,Antibiotics,4 ml,192,Joseph Gonzalez,Him senior may easy course describe. Also public company picture than project.
GT0207,2025-01-04,Pneumonia,Iodine,1 ml,168,Amanda Poole,Money artist color may beautiful likely reflect. Identify out recognize guess room probably.
GT0208,2025-03-18,Diarrhea,Antibiotics,1 ml,147,Jacqueline Madden,Store decade heavy. Artist vote than international particular together friend.
GT0209,2025-03-02,Mastitis,Iodine,3 ml,59,Debbie Gates,Control white often those. Shoulder above federal staff response class student.
GT0210,2025-05-14,Pink Eye,Sulfur,4 ml,99,Crystal Ellis,Through artist game every enter.
GT0211,2025-03-12,Scabies,Iodine,3 ml,192,Christopher Matthews,Carry attention happen thus detail. Common this measure risk radio baby focus. Often try tax.
GT0212,2025-04-27,Diarrhea,Iodine,3 ml,56,Keith Marshall,Billion new Congress Republican cold history wide.
GT0213,2025-04-20,Pink Eye,Antibiotics,4 ml,41,Amber Wood,Position firm although family you stage nice. Above put fast back. Mean push option pretty.
GT0214,2025-02-03,Diarrhea,Vitamins,5 ml,233,Brittany Willis,Project character anyone ball. Which actually we game whole.
GT0216,2025-01-17,Diarrhea,Iodine,2 ml,140,James Henson,Film power student. They view can increase make yourself lead.
GT0217,2025-02-05,Mastitis,Vitamins,2 ml,193,David Thompson,Break beautiful go protect dark cut hand. Reveal store even determine away ground.
GT0219,2025-02-11,Pink Eye,Ivermectin,1 ml,82,Mark Rios,Practice why world wind. Ask key scene lose.
GT0220,2025-01-03,Pink Eye,Ivermectin,4 ml,56,Katherine Kennedy,Suddenly few crime. Process visit something material.
GT0221,2025-03-13,Parasites,Antibiotics,5 ml,45,Jason Myers,News rate capital place range sister entire chance.
GT0222,2025-01-31,Parasites,Ivermectin,1 ml,150,Shawn Haas,Situation actually woman consider hospital cut century several. Democrat minute soon protect.
GT0223,2025-01-26,Parasites,Vitamins,1 ml,99,Brandon Murphy,Force only recent include see catch. Teacher nice better others eat baby.
GT0224,2025-03-05,Mastitis,Sulfur,5 ml,192,Aaron Riley,Available not loss record. Skill happy reach ten born. Kitchen present dog.
GT0225,2025-05-18,Mastitis,Sulfur,2 ml,146,Nicholas Wagner,Attention plan into sport all. Growth one just anything. Month decision public.
GT0227,2025-03-10,Pneumonia,Iodine,1 ml,120,Justin Duarte,Skill these their nor them page television. Make raise economic available plan young.
GT0229,2025-04-28,Scabies,Ivermectin,4 ml,211,Jessica Cervantes,Sport bring tax.
GT0231,2025-02-09,Parasites,Antibiotics,1 ml,152,Erica Poole,Write training measure deep pretty institution couple government.
GT0233,2025-03-18,Scabies,Iodine,4 ml,221,Lawrence Edwards MD,Than class hotel moment. Attack son response director place.
GT0234,2025-02-16,Parasites,Ivermectin,4 ml,198,Michael Daniels,Many hospital hot brother save seek protect. Gun state spend north. Heavy cup over various issue.
GT0235,2025-01-24,Scabies,Ivermectin,4 ml,58,Melinda Murphy,Dark these reason computer or case. Mouth probably research reflect every garden.
GT0236,2025-05-11,Pink Eye,Vitamins,5 ml,41,Kristine Cook,Traditional fly economic. Long know edge where thus room. Among government force woman race.
GT0237,2025-04-04,Parasites,Sulfur,4 ml,53,Michelle Acosta,Decade year yeah church cut past report. South over perhaps lawyer. Beyond result voice.
GT0238,2025-01-31,Pink Eye,Sulfur,4 ml,136,Shelby Sutton,Group whether real four. Agent dinner nation. Fine at race outside call single produce production.
GT0239,2025-02-25,Diarrhea,Vitamins,1 ml,200,Colleen Howell,Over kitchen second thank memory decide film. Fact listen left.
GT0240,2025-05-05,Diarrhea,Sulfur,1 ml,128,Walter Townsend PhD,"It enough life.
Far ahead discussion price. Some fall bad within store cause."
GT0241,2025-01-24,Pneumonia,Iodine,3 ml,248,Nicholas Parks,Fill general production Mr. Ready authority well must financial major expert.
GT0243,2025-04-02,Pink Eye,Iodine,5 ml,192,Daniel Green,Project know ready success catch. Oil drug agency home.
GT0244,2025-01-02,Pneumonia,Vitamins,3 ml,195,Carmen Savage,Seem guy home same. Fast section could attack here movement. Chance focus white pass.
GT0245,2025-05-26,Scabies,Vitamins,3 ml,39,Jessica Diaz,Nature most you grow major cold weight. Concern between buy too management.
GT0246,2025-01-08,Pneumonia,Iodine,5 ml,155,Jeffrey Smith,Here he good perform. Military hospital free build front.
GT0249,2025-05-19,Diarrhea,Vitamins,3 ml,81,Travis Zimmerman,"Particular left all my ground behind.
Bar dog short budget lose. Out most in past information two."
GT0250,2025-05-30,Pink Eye,Sulfur,5 ml,216,Jessica Terrell,Election serious message score. Class picture class prepare create quite.
GT0251,2025-03-23,Pneumonia,Vitamins,1 ml,69,Brandon Smith,Former positive important sort. International above simple. During discuss continue whom him use.
GT0252,2025-01-18,Diarrhea,Vitamins,2 ml,151,Andrew Davis,Case impact direction establish. Feeling which walk while receive attorney ground.
GT0253,2025-03-18,Diarrhea,Sulfur,4 ml,85,Amanda Alvarez,However region language music audience. Government official trade position half free.
GT0254,2025-03-13,Parasites,Vitamins,3 ml,69,Jennifer Hale,Agency professor again consumer social. Lawyer low chair. Change child spring.
GT0256,2025-04-24,Pneumonia,Vitamins,1 ml,202,Teresa Silva,"Entire finish too capital.
High growth catch smile good out. Yes specific lose money term worry."
GT0257,2025-01-17,Diarrhea,Iodine,2 ml,71,Brad Navarro,Theory list relationship service. Story shoulder candidate director.
GT0258,2025-03-02,Parasites,Ivermectin,2 ml,122,Mrs. Emily Soto MD,Senior attention model quickly. Nature report act. Blue guy claim west choose.
GT0259,2025-01-22,Pink Eye,Ivermectin,5 ml,130,Joseph Anderson,Sell ground evening player. Like heavy yeah little.
GT0260,2025-01-24,Pink Eye,Vitamins,1 ml,241,Brenda Lowery,Name probably authority current certain pay page.
GT0261,2025-04-13,Diarrhea,Antibiotics,3 ml,108,Denise Gutierrez,Coach door catch firm include agreement compare. By painting style.
GT0263,2025-01-23,Pink Eye,Vitamins,4 ml,216,Jason Trujillo,Spring data defense total. Class however goal fear pattern issue.
GT0264,2025-01-06,Mastitis,Iodine,4 ml,149,Kelly Church,Everyone summer stage plan both score. Special character movement. Difficult treatment adult.
GT0265,2025-04-07,Parasites,Ivermectin,3 ml,119,Robert Williams,"Including large despite represent.
Near per white method. Feeling conference agree own strategy."
GT0266,2025-01-25,Mastitis,Sulfur,5 ml,239,Regina Hawkins,Day alone author detail method. Age rate generation herself student.
GT0267,2025-03-04,Mastitis,Iodine,2 ml,136,Angel Gallegos,Money stock well man term.
GT0268,2025-05-19,Mastitis,Antibiotics,3 ml,70,Michael Malone,Happen return course your mouth. Long admit board when.
GT0269,2025-05-10,Pneumonia,Antibiotics,2 ml,117,Nicole Ramirez,Area air impact. Play write age worry provide.
GT0270,2025-05-17,Pink Eye,Antibiotics,5 ml,248,Joseph Grimes,Throughout most or quickly. Moment region morning green science type.
GT0271,2025-04-21,Pink Eye,Sulfur,1 ml,29,Ian Hughes,Use their there explain indicate sound few. Yes that third without image.
GT0272,2025-05-30,Pneumonia,Antibiotics,3 ml,46,Brenda Taylor,Resource sign area top out buy author. Assume return affect she site fire.
GT0273,2025-02-22,Scabies,Sulfur,2 ml,146,Brent Lee,Where inside goal mouth open report. Together wait shake small prepare.
GT0274,2025-03-25,Scabies,Vitamins,5 ml,248,Jacob Blanchard,Manager reality indicate wonder stuff fight. Director significant never stage mind long scene.
GT0276,2025-03-07,Diarrhea,Ivermectin,5 ml,72,Michael Bell,Approach task shake box bag share. Attention free discover which ability director nation.
GT0277,2025-01-27,Parasites,Ivermectin,3 ml,27,Kenneth Garcia,Including into its. Across believe hair available. Senior blue focus apply.
GT0278,2025-05-14,Mastitis,Iodine,3 ml,211,Marc Dominguez,Black skill support case improve. East list hit executive.
GT0279,2025-03-28,Pink Eye,Sulfur,3 ml,64,Jose Jackson,Door see religious clear factor. Rise feel avoid structure eat stage professor.
GT0280,2025-01-10,Diarrhea,Ivermectin,3 ml,186,Caitlin Kim,Beat Mr election itself quality read respond large.
GT0283,2025-02-17,Pneumonia,Sulfur,1 ml,230,Rick Burton,Need wish computer large. Interesting national ten. Campaign others wind debate.
GT0284,2025-01-31,Scabies,Ivermectin,4 ml,57,Timothy Hayden,Cup floor act degree. Range give stock final there study form.
GT0285,2025-01-13,Diarrhea,Vitamins,4 ml,186,Bonnie Mitchell,Generation manager top citizen hold. Public attention take. Whom bag poor carry list order agree.
GT0288,2025-05-03,Scabies,Antibiotics,2 ml,33,Matthew Preston,Painting address raise again. Environmental what professor.
GT0289,2025-05-18,Parasites,Sulfur,1 ml,53,Steve Johnson,Stay still stage once serve. System thank edge affect blood nearly.
GT0290,2025-02-03,Mastitis,Iodine,2 ml,136,Kayla Smith,Position education message fight far.
